,model,detectfn,npar,logLik,AIC,AICc,dAICc,AICcwt,,,,
Nemegt.hhn.DHab.nonU.LamW,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-137.0330156,286.066,296.566,0,0.974,,25.05,7.21,
Nemegt.hhn.DHab.nonU.LamTopoW,D~stdGC lambda0~Topo + Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,7,-136.9054381,287.811,303.811,7.245,0.026,,,,
Nemegt.hhn,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-150.2310667,306.462,308.644,12.078,0,,19.57,2.87,0.280020439
Nemegt.hhn.D.nonU,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,4,-149.0351886,306.07,310.07,13.504,0,,,,
Nemegt.hhn.DHab,D~stdGC lambda0~1 sigma~1,hazard halfnormal,4,-150.104505,308.209,312.209,15.643,0,,,,
Nemegt.hhn.DHab.nonU.GB,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,hazard halfnormal,5,-148.4980444,306.996,313.663,17.097,0,,,,
Nemegt.hhn.DHab.nonU,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,5,-149.0042497,308.008,314.675,18.109,0,,,,
Nemegt.hhn.detrgd,D~1 lambda0~stdRgd sigma~stdRgd,hazard halfnormal,5,-149.6055425,309.211,315.878,19.312,0,,,,
Nemegt.hhn.DHab.detrgd10,D~stdGC lambda0~stdRgd sigma~1,hazard halfnormal,5,-149.7037396,309.407,316.074,19.508,0,,,,
Nemegt.hhn.DHab.detrgd01,D~stdGC lambda0~1 sigma~stdRgd,hazard halfnormal,5,-150.0374272,310.075,316.742,20.176,0,,,,
Nemegt.hhn.DHab.nonU.LamTopo,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-147.132583,306.265,316.765,20.199,0,,,,
Nemegt.hhn.DHab.nonU.GBGC,D~stdGC lambda0~1 sigma~1 noneuc~stdGC + stdBC - 1,hazard halfnormal,6,-148.3923453,308.785,319.285,22.719,0,,,,
,,,,,,,,,,,,
Noyon.hhn.DHab.nonU.GB,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,hazard halfnormal,5,-212.7953368,435.591,443.091,0,0.4385,,14.22,0.48,
Noyon.hhn.DHab.nonU.GBGC,D~stdGC lambda0~1 sigma~1 noneuc~stdGC + stdBC - 1,hazard halfnormal,6,-209.9678575,431.936,443.936,0.845,0.2874,,,,
Noyon.hhn.DHab.nonU,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,5,-213.3764199,436.753,444.253,1.162,0.2453,,,,
Noyon.hhn.DHab.Topo10.nonU,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-212.9177287,437.835,449.835,6.744,0.0151,,,,
Noyon.hhn.DHab.DetW.nonU,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-213.0127785,438.026,450.026,6.935,0.0137,,,,
Noyon.hhn.DHab.Topo10W.nonU,D~stdGC lambda0~Water + Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,7,-212.7890803,439.578,458.245,15.154,0,,,,
Noyon.hhn,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-225.6932937,457.387,459.787,16.696,0,,16.51,1.96,0.138703816
Noyon.hhn.D.nonU,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,4,-224.4962784,456.993,461.437,18.346,0,,,,
