,model,detectfn,npar,logLik,AIC,AICc,dAICc,AICcwt,Area,Nhat,SE,LCL,UCL,,D,D_LCL,D_UCL,,,,,,Area,N,D,LCL,UCL
Nemegt.hhn.DHab.nonU.LamW,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-137.0330156,286.066,296.566,0,0.974,2145.5,25.05,7.21,12.86292,48.79412,,1.167560009,0.599530179,2.27425402,,,,,Nemegt,2145.5,16.0654,0.748795153,0.708135912,0.973175484
Nemegt.hhn.DHab.nonU.LamTopoW,D~stdGC lambda0~Topo + Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,7,-136.9054381,287.811,303.811,7.245,0.026,2145.5,,,,,,,,,,,,,Noyon,2481.75,18.49373,0.74518908,0.727761862,0.885706054
Nemegt.hhn,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-150.2310667,306.462,308.644,12.078,0,2145.5,19.63316,2.884393,16.50908,29.22466,,0.915085528,0.769474715,1.362137497,19.63316    2.884393 ,,,,Tost,2116.5,23.79494,1.124258918,1.04681786,1.311500591
Nemegt.hhn.D.nonU,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,4,-149.0351886,306.07,310.07,13.504,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab,D~stdGC lambda0~1 sigma~1,hazard halfnormal,4,-150.104505,308.209,312.209,15.643,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.nonU.GB,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,hazard halfnormal,5,-148.4980444,306.996,313.663,17.097,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.nonU,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,5,-149.0042497,308.008,314.675,18.109,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.detrgd,D~1 lambda0~stdRgd sigma~stdRgd,hazard halfnormal,5,-149.6055425,309.211,315.878,19.312,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.detrgd10,D~stdGC lambda0~stdRgd sigma~1,hazard halfnormal,5,-149.7037396,309.407,316.074,19.508,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.detrgd01,D~stdGC lambda0~1 sigma~stdRgd,hazard halfnormal,5,-150.0374272,310.075,316.742,20.176,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.nonU.LamTopo,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-147.132583,306.265,316.765,20.199,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.nonU.GBGC,D~stdGC lambda0~1 sigma~1 noneuc~stdGC + stdBC - 1,hazard halfnormal,6,-148.3923453,308.785,319.285,22.719,0,2145.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.nonU.GB,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,hazard halfnormal,5,-212.7953368,435.591,443.091,0,0.4385,2481.75,14.22,0.48,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.nonU.GBGC,D~stdGC lambda0~1 sigma~1 noneuc~stdGC + stdBC - 1,hazard halfnormal,6,-209.9678575,431.936,443.936,0.845,0.2874,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.nonU,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,5,-213.3764199,436.753,444.253,1.162,0.2453,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.Topo10.nonU,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-212.9177287,437.835,449.835,6.744,0.0151,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.DetW.nonU,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-213.0127785,438.026,450.026,6.935,0.0137,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.Topo10W.nonU,D~stdGC lambda0~Water + Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,7,-212.7890803,439.578,458.245,15.154,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-225.6932937,457.387,459.787,16.696,0,2481.75,16.51,1.96,,,0.138703816,,,,,,,,,,,,,
Noyon.hhn.D.nonU,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,4,-224.4962784,456.993,461.437,18.346,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.DetRgd01,D~stdGC lambda0~1 sigma~stdRgd,hazard halfnormal,5,-222.2085683,454.417,461.917,18.826,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.detTopo10,D~1 lambda0~Topo sigma~1,hazard halfnormal,4,-225.3857375,458.771,463.216,20.125,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.detrgd,D~1 lambda0~stdRgd sigma~stdRgd,hazard halfnormal,5,-222.8732758,455.747,463.247,20.156,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab,D~stdGC lambda0~1 sigma~1,hazard halfnormal,4,-225.5707619,459.142,463.586,20.495,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.detWater,D~1 lambda0~Water sigma~1,hazard halfnormal,4,-225.6886072,459.377,463.822,20.731,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.detTopoWater,D~1 lambda0~Topo + Water sigma~1,hazard halfnormal,5,-225.3600817,460.72,468.22,25.129,0,2481.75,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,model,detectfn,npar,logLik,AIC,AICc,dAICc,AICcwt,,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.Topo10,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-226.8014922,465.603,471.603,0,0.3643,2116.5,28.74,5.77,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.GBGC,D~stdGC lambda0~1 sigma~1 noneuc~stdGC + stdBC - 1,hazard halfnormal,6,-227.2176401,466.435,472.435,0.832,0.2403,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.W,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-227.3048413,466.61,472.61,1.007,0.2202,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.GB,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,hazard halfnormal,5,-229.7685259,469.537,473.537,1.934,0.1385,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.T01W,D~stdGC lambda0~Topo + Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,7,-226.7909722,467.582,476.197,4.594,0.0366,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.D.nonU,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,4,-243.6438606,495.288,497.788,26.185,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,5,-248.1241352,506.248,510.248,38.645,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-252.9428418,511.886,513.297,41.694,0,2116.5,26.11,2.76,,,0.100727691,,,,,,,,,,,,,
Tost.hhn.detTopo10,D~1 lambda0~Topo sigma~1,hazard halfnormal,4,-251.7274623,511.455,513.955,42.352,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.detWater,D~1 lambda0~Water sigma~1,hazard halfnormal,4,-252.1300586,512.26,514.76,43.157,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab,D~stdGC lambda0~1 sigma~1,hazard halfnormal,4,-252.6629929,513.326,515.826,44.223,0,2116.5,,,,,,,,,,,,,,,,,,
