,model,detectfn,npar,logLik,AIC,AICc,dAICc,AICcwt,Area,Nhat,SE,LCL,UCL,,D,D_LCL,D_UCL,,,,,,Area,N,D,LCL,UCL
Nemegt.hhn.DHab.nonU.LamW2xR,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-95.80272,203.605,217.605,0,0.9933,2145.5,25.05,7.21,12.86292,48.79412,,1.167560009,0.599530179,2.27425402,,,,,Nemegt,2145.5,16.0654,0.748795153,0.708135912,0.973175484
Nemegt.hhn.DHab.nonU.GB2xR,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,hazard halfnormal,5,-104.51365,219.027,227.599,9.994,0.0067,2145.5,,,,,,,,,,,,,Noyon,2481.75,18.49373,0.74518908,0.727761862,0.885706054
Nemegt.hhn.D.nonU2xR,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,4,-108.39895,224.798,229.798,12.193,0,2145.5,19.63316,2.884393,16.50908,29.22466,,0.915085528,0.769474715,1.362137497,19.63316    2.884393 ,,,,Tost,2116.5,23.79494,1.124258918,1.04681786,1.311500591
Nemegt.hhn2xR,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-112.1593,230.319,232.985,15.38,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab2xR,D~stdGC lambda0~1 sigma~1,hazard halfnormal,4,-110.79137,229.583,234.583,16.978,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.nonU2xR,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,5,-108.30814,226.616,235.188,17.583,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.detrgd2xR,D~1 lambda0~stdRgd sigma~stdRgd,hazard halfnormal,5,-110.07663,230.153,238.725,21.12,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.nonU.LamTopoW2R,D~stdGC lambda0~Topo + Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,8,-93.50698,203.014,239.014,21.409,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.detrgd012xR,D~stdGC lambda0~1 sigma~stdRgd,hazard halfnormal,5,-110.3258,230.652,239.223,21.618,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.detrgd102xR,D~stdGC lambda0~stdRgd sigma~1,hazard halfnormal,5,-110.78739,231.575,240.146,22.541,0,2145.5,,,,,,,,,,,,,,,,,,
Nemegt.hhn.DHab.nonU.LamTopoR,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,7,-104.1533,222.307,244.707,27.102,0,2145.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.nonU.GBx,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,hazard halfnormal,5,-176.064,362.128,369.628,0,0.9515,2481.75,14.22,0.48,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.Topo10.nonUx,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,7,-172.3641,358.728,377.395,7.767,0.0196,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.DetRgd01x,D~stdGC lambda0~1 sigma~stdRgd,hazard halfnormal,5,-180.3536,370.707,378.207,8.579,0.013,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.nonU.GBGCx,D~stdGC lambda0~1 sigma~1 noneuc~stdGC + stdBC - 1,hazard halfnormal,6,-177.4573,366.915,378.915,9.287,0.0092,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.nonUx,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,5,-181.0206,372.041,379.541,9.913,0.0067,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.D.nonUx,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,hazard halfnormal,4,-184.2369,376.474,380.918,11.29,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhnx,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-186.7425,379.485,381.885,12.257,0,2481.75,16.51,1.96,,,0.138703816,,,,,,,,,,,,,
Noyon.hhn.detrgdx,D~1 lambda0~stdRgd sigma~stdRgd,hazard halfnormal,5,-182.4111,374.822,382.322,12.694,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHabx,D~stdGC lambda0~1 sigma~1,hazard halfnormal,4,-186.718,381.436,385.88,16.252,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.detWaterx,D~1 lambda0~Water sigma~1,hazard halfnormal,4,-186.7239,381.448,385.892,16.264,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.DetW.nonUx,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,hazard halfnormal,6,-180.9506,373.901,385.901,16.273,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.detTopo10x,D~1 lambda0~Topo sigma~1,hazard halfnormal,5,-184.4184,378.837,386.337,16.709,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.DetRgd10x,D~stdGC lambda0~stdRgd sigma~1,hazard halfnormal,5,-185.2851,380.57,388.07,18.442,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.DHab.Topo10W.nonUx,D~stdGC lambda0~Water + Topo sigma~1 noneuc~stdGC - 1,hazard halfnormal,8,-172.3318,360.664,389.464,19.836,0,2481.75,,,,,,,,,,,,,,,,,,
Noyon.hhn.detTopoWaterx,D~1 lambda0~Topo + Water sigma~1,hazard halfnormal,6,-184.3494,380.699,392.699,23.071,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.GBx,D~stdGC lambda0~1 sigma~1 noneuc~stdBC - 1,halfnormal,5,-200.2975,410.595,418.095,0,0.9879,2116.5,28.74,5.77,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.Wx,D~stdGC lambda0~Water sigma~1 noneuc~stdGC - 1,halfnormal,6,-201.4499,414.9,426.9,8.805,0.0121,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhnx,D~1 lambda0~1 sigma~1,halfnormal,3,-210.3068,426.614,429.014,10.919,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.D.nonUx,D~1 lambda0~1 sigma~1 noneuc~stdGC - 1,halfnormal,4,-209.059,426.118,430.562,12.467,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.Topo10x,D~stdGC lambda0~Topo sigma~1 noneuc~stdGC - 1,halfnormal,7,-199.5065,413.013,431.68,13.585,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.detWaterx,D~1 lambda0~Water sigma~1,halfnormal,4,-209.9633,427.927,432.371,14.276,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHabx,D~stdGC lambda0~1 sigma~1,halfnormal,4,-210.1179,428.236,432.68,14.585,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.detTopo10x,D~1 lambda0~Topo sigma~1,halfnormal,5,-208.4021,426.804,434.304,16.209,0,2116.5,26.11,2.76,,,0.100727691,,,,,,,,,,,,,
Tost.hhn.DHab.nonUx,D~stdGC lambda0~1 sigma~1 noneuc~stdGC - 1,halfnormal,5,-208.8541,427.708,435.208,17.113,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHabx.LamWatx,D~stdGC lambda0~Water sigma~1,halfnormal,5,-209.7944,429.589,437.089,18.994,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.LamTopox,D~stdGC lambda0~Topo sigma~1,halfnormal,6,-208.3172,428.634,440.634,22.539,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.T01Wx,D~stdGC lambda0~Topo + Water sigma~1 noneuc~stdGC - 1,halfnormal,8,-199.0747,414.149,442.949,24.854,0,2116.5,,,,,,,,,,,,,,,,,,
Tost.hhn.DHab.nonU.GBGCx,D~stdGC lambda0~1 sigma~1 noneuc~stdGC + stdBC - 1,halfnormal,6,-225.7247,463.449,469.449,51.354,0,2116.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
