"ID","X","Y","Rgd"
"NemegtSLTADD1",730363.1,4834546,5
"NemegtSLTADD2",735499.8,4829676,6
"NemegtSLTADD3",719645.6,4827372,4
"NemegtSLTADD4",712332.4,4832861,4
"NemegtSLTADD5",657476.3,4829669,13
"NemegtSLTADD6",630080.4,4835907,9
"NemegtSLTADD7",621393.8,4843254,10
"NemegtSLTADD8",616609.1,4837188,9
"NemegtSLTADD9",606037.1,4831607,6
"NemegtSLTADD10",612461,4829172,8
"NemegtSLTADD11",607762.4,4824698,5
"NemegtSLTADD12",623464.7,4827227,5
"NemegtSLTADD13",615800.3,4822124,5
"NemegtSLTADD14",613404.8,4815395,4
"NemegtSLTADD15",685895,4833884,5
"NemegtSLTADD16",727806,4828713,13
"NemegtSLTADD17",715011.3,4820258,10
