#ID,X,Y,Effort,/,Rgd,Topo,Water,Winter
"NemegtSLT014",745288,4832200,43,"/",49.18,"Saddle","No",1
"NemegtSLT023",741565.5,4836709.9,44,"/",43.53,"Canyon","No",1
"NemegtSLT017",732925.8,4838204.9,44,"/",34.6,"Canyon","No",1
"NemegtSLT015",739461.5,4832174.7,44,"/",79.01,"Saddle","No",1
"NemegtSLT102",742139,4833950,45,"/",58.2,"Canyon","yes",1
"NemegtSLT018",746447,4836260,45,"/",47.31,"Canyon","No",1
"NemegtSLT036",704013.2,4834170.5,47,"/",38.57,"Saddle","No",1
"NemegtSLT032",711165.8,4836508.1,47,"/",45.43,"Saddle","No",1
"NemegtSLT006",699924.5,4831379.1,47,"/",46.9,"Canyon","No",1
"NemegtSLT012",693220.6,4832131.6,46,"/",36.25,"Saddle","No",1
"NemegtSLT021",721443.9,4834555.6,46,"/",49.95,"Canyon","No",1
"NemegtSLT026",737825.7,4835092.3,45,"/",55.57,"Canyon","No",1
"NemegtSLT001",698670.5,4836560.9,48,"/",48.9,"Canyon","No",1
"NemegtSLT041",695384.8,4834794.4,48,"/",29.36,"Canyon","No",1
"NemegtSLT005",640062.4,4839291,51,"/",66.75,"Canyon","No",1
"NemegtSLT103",646922.3,4840854,50,"/",37.63,"Canyon","No",1
"NemegtSLT016",651558.6,4837850.7,50,"/",93.21,"Saddle","No",1
"NemegtSLT029",632360,4838389.5,51,"/",51.85,"Saddle","No",1
"NemegtSLT025",647100.2,4838155.5,51,"/",53.5,"Saddle","No",1
"NemegtSLT003",669114,4837170.6,49,"/",60.9,"Canyon","No",1
"NemegtSLT040",684111.6,4838028.1,48,"/",32.68,"Saddle","No",1
"NemegtSLT022",652531.6,4834511.4,58,"/",32.91,"Saddle","No",1
"NemegtSLT019",655579.2,4833442.6,58,"/",57.41,"Canyon","No",1
"NemegtSLT031",661279.1,4833699.8,57,"/",107.53,"Saddle","No",1
"NemegtSLT033",678824.7,4833778.9,56,"/",54.67,"Saddle","No",1
"NemegtSLT030",671250.7,4834662.2,56,"/",31.7,"Saddle","No",1
"NemegtSLT007",666012.7,4834581.2,56,"/",62.19,"Saddle","No",1
"NemegtSLT039",653352.6,4841104.2,55,"/",67.01,"Canyon","No",1
"NemegtSLT008",657537.3,4838879.1,55,"/",34.81,"Canyon","No",1
"NemegtSLT104",661681.3,4838662.5,55,"/",75.09,"Canyon","No",1
"NemegtSLT035",647312.6,4844900.7,54,"/",122.49,"Canyon","No",1
"NemegtSLT027",643255.1,4843348.9,54,"/",41.63,"Canyon","No",1
"NemegtSLT101",637181.4,4842366.8,53,"/",76.54,"Canyon","No",1
"NemegtSLT020",632213.1,4842388.7,53,"/",98.13,"Canyon","No",1
"NemegtSLT009",626888.2,4841984.2,53,"/",49.56,"Canyon","yes",1
"NemegtSLT037",620800.4,4835210.8,52,"/",30.32,"Saddle","No",1
"NemegtSLT024",618559,4832789.9,52,"/",69.61,"Saddle","No",1
"NemegtSLT034",628269.4,4832311.2,52,"/",41.12,"Saddle","No",1
"NemegtAC2",638675,4834340,50,"/",9.22,"Steppe","No",1
