#Session,ID,Occasion,Detector,Sex
1,Waa,1,NemegtSLT006,NA
1,Hurle,1,NemegtSLT007,NA
1,Jukhan,1,NemegtSLT007,NA
1,Bayarma,1,NemegtSLT007,NA
1,Hurle,1,NemegtSLT007,NA
1,Hurle,1,NemegtSLT008,NA
1,IdereGerle,1,NemegtSLT014,NA
1,Sumbe,1,NemegtSLT014,NA
1,Sumbe,1,NemegtSLT015,NA
1,IdereGerle,1,NemegtSLT017,NA
1,Hurle,1,NemegtSLT019,NA
1,Hurle,1,NemegtSLT019,NA
1,Bayarma,1,NemegtSLT019,NA
1,Davaa,1,NemegtSLT021,NA
1,Scrawny,1,NemegtSLT023,NA
1,Sumbe,1,NemegtSLT023,NA
1,Amga,1,NemegtSLT024,NA
1,IdereGerle,1,NemegtSLT026,NA
1,Puji,1,NemegtSLT027,NA
1,Hurle,1,NemegtSLT030,NA
1,Hurle,1,NemegtSLT030,NA
1,Jukhan,1,NemegtSLT030,NA
1,Jukhan,1,NemegtSLT030,NA
1,Hurle,1,NemegtSLT031,NA
1,Waa,1,NemegtSLT036,NA
1,Scarface,1,NemegtSLT036,NA
1,Puji,1,NemegtSLT039,NA
1,Puji,1,NemegtSLT039,NA
1,Waa,1,NemegtSLT041,NA
1,Waa,1,NemegtSLT041,NA
1,Waa,1,NemegtSLT041,NA
1,Waa,1,NemegtSLT041,NA
1,Aylagch,1,NemegtSLT101,NA
1,Puji,1,NemegtSLT101,NA
1,Puji,1,NemegtSLT101,NA
1,Puji,1,NemegtSLT101,NA
1,Pundit,1,NemegtSLT102,NA
1,Pundit,1,NemegtSLT102,NA
1,Sumbe,1,NemegtSLT102,NA
1,Scrawny,1,NemegtSLT102,NA
1,IdereGerle,1,NemegtSLT102,NA
1,Scrawny,1,NemegtSLT102,NA
1,Sumbe,1,NemegtSLT102,NA
1,Scrawny,1,NemegtSLT102,NA
1,Scrawny,1,NemegtSLT102,NA
1,Scrawny,1,NemegtSLT102,NA
1,Sumbe,1,NemegtSLT102,NA
1,Scrawny,1,NemegtSLT102,NA
1,Sumbe,1,NemegtSLT102,NA
1,Scrawny,1,NemegtSLT102,NA
