#Session,ID,Occasion,Detector,Sex
1,Siri,1,NoyonSLT003,NA
1,Gina,1,NoyonSLT006,NA
1,Arnica,1,NoyonSLT006,NA
1,Arnica,1,NoyonSLT006,NA
1,Gina,1,NoyonSLT006,NA
1,Gina,1,NoyonSLT006,NA
1,Gina,1,NoyonSLT006,NA
1,Siri,1,NoyonSLT007,NA
1,Jen,1,NoyonSLT007,NA
1,Siri,1,NoyonSLT007,NA
1,Jen,1,NoyonSLT007,NA
1,Jen,1,NoyonSLT007,NA
1,Jen,1,NoyonSLT007,NA
1,Brad,1,NoyonSLT009,NA
1,Abi,1,NoyonSLT014,NA
1,Abi,1,NoyonSLT014,NA
1,Matt,1,NoyonSLT014,NA
1,Deborah,1,NoyonSLT015,NA
1,Kimberley,1,NoyonSLT015,NA
1,Brad,1,NoyonSLT015,NA
1,Brad,1,NoyonSLT015,NA
1,Abi,1,NoyonSLT018,NA
1,Matt,1,NoyonSLT018,NA
1,Matt,1,NoyonSLT019,NA
1,Marika,1,NoyonSLT020,NA
1,Matt,1,NoyonSLT020,NA
1,Antonia,1,NoyonSLT022,NA
1,Brad,1,NoyonSLT022,NA
1,Deborah,1,NoyonSLT022,NA
1,Brad,1,NoyonSLT022,NA
1,Antonia,1,NoyonSLT022,NA
1,Brad,1,NoyonSLT022,NA
1,Deborah,1,NoyonSLT022,NA
1,Deborah,1,NoyonSLT022,NA
1,Siri,1,NoyonSLT023,NA
1,Katie,1,NoyonSLT023,NA
1,Matt,1,NoyonSLT024,NA
1,Arnica,1,NoyonSLT024,NA
1,Matt,1,NoyonSLT024,NA
1,Marika,1,NoyonSLT025,NA
1,Gina,1,NoyonSLT025,NA
1,Arnica,1,NoyonSLT025,NA
1,Gina,1,NoyonSLT025,NA
1,Gina,1,NoyonSLT025,NA
1,Arnica,1,NoyonSLT025,NA
1,Gina,1,NoyonSLT025,NA
1,Gina,1,NoyonSLT025,NA
1,Gina,1,NoyonSLT025,NA
1,Gina,1,NoyonSLT025,NA
1,Matt,1,NoyonSLT033,NA
1,Abi,1,NoyonSLT033,NA
1,Matt,1,NoyonSLT033,NA
1,Siri,1,NoyonSLT034,NA
1,Siri,1,NoyonSLT034,NA
1,Matt,1,NoyonSLT035,NA
1,Matt,1,NoyonSLT035,NA
1,Matt,1,NoyonSLT035,NA
1,Matt,1,NoyonSLT035,NA
1,Kimberley,1,NoyonSLT037,NA
1,Deborah,1,NoyonSLT037,NA
1,Katie,1,NoyonSLT040,NA
1,Siri,1,NoyonSLT040,NA
1,Kimberley,1,NoyonSLT040,NA
1,Siri,1,NoyonSLT041,NA
1,Jen,1,NoyonSLT041,NA
1,Siri,1,NoyonSLT041,NA
1,Brad,1,NoyonSLT102,NA
1,Brad,1,NoyonSLT102,NA
1,Siri,1,NoyonSLT103,NA
1,Matt,1,NoyonSLT103,NA
1,Scarface,1,NoyonSLT103,NA
1,Siri,1,NoyonSLT104,NA
1,Brad,1,NoyonSLT104,NA
1,Siri,1,NoyonSLT105a,NA
1,Brad,1,NoyonSLT105,NA
1,Katie,1,NoyonSLT105,NA
1,Brad,1,NoyonSLT105,NA
1,Brad,1,NoyonSLT105,NA
1,Matt,1,NoyonSLT107,NA
1,Matt,1,NoyonSLT107,NA
1,Arnica,1,NoyonSLT108,NA
1,Amber,1,NoyonSLT108,NA
1,Matt,1,NoyonSLT108,NA
1,Amber,1,NoyonSLT108,NA
1,Matt,1,NoyonSLT108,NA
