,model,detectfn,npar,logLik,AIC,AICc,dAIC,AICwt
TNNfit.DGrid.a0Waterxsess_topo.sig1,D~stdGC a0~Topo + Water * session sigma~1,hazard halfnormal,11,-490.2666736,1002.533,1011.637,0,0.9209
TNNfit.DGrid.a0Waterxsess.sig1,D~stdGC a0~Water * session sigma~1,hazard halfnormal,9,-494.7213482,1007.443,1013.249,4.91,0.0791
TNNfit.DGrid.a0Topo.sig1,D~stdGC a0~Topo sigma~1,hazard halfnormal,6,-502.4492621,1016.899,1019.369,14.366,0
TNNfit.DGrid.a0Topo_sess.sig1,D~stdGC a0~Topo + session sigma~1,hazard halfnormal,8,-500.7515007,1017.503,1022.003,14.97,0
TNNfit.DGrid.a0Water_topo.sig1,D~stdGC a0~Water + Topo sigma~1,hazard halfnormal,7,-501.8245511,1017.649,1021.043,15.116,0
TNNfit.DGrid_Sess.a0Topo.sig1,D~stdGC + session a0~Topo sigma~1,hazard halfnormal,8,-502.4376856,1020.875,1025.375,18.342,0
TNNfit.DGrid.a0Water.sig1,D~stdGC a0~Water sigma~1,hazard halfnormal,5,-506.6688905,1023.338,1025.052,20.805,0
TNNfit.DGrid.a0TopoSess.sigsess,D~stdGC a0~Topo * session sigma~session,hazard halfnormal,14,-497.8283972,1023.657,1039.811,21.124,0
TNNfit.DGridxSess.a0Topo.sig1,D~stdGC * session a0~Topo sigma~1,hazard halfnormal,10,-502.4200865,1024.84,1032.174,22.307,0
TNNfit.DGrid.a0TopoSess.sig1,D~stdGC a0~Topo * session sigma~1,hazard halfnormal,12,-500.4308426,1024.862,1036.005,22.329,0
TNNfit.DSess.a0TopoSess.sigSess,D~session a0~Topo * session sigma~session,hazard halfnormal,15,-497.7720784,1025.544,1044.744,23.011,0
TNNfit.D1.LamSess.sig1,D~1 lambda0~session sigma~1,hazard halfnormal,5,-507.9235067,1025.847,1027.561,23.314,0
TNN.DGrid.LamTopo.Sig1,D~rmeanGC + rmeanGCdev:session + session lambda0~Topo sigma~1,hazard halfnormal,11,-502.4200865,1026.84,1035.944,24.307,0
TNNfit.DGrid_Sess.a0TopoXSess.sigsess,D~stdGC + session a0~Topo * session sigma~session,hazard halfnormal,16,-497.7445177,1027.489,1050.156,24.956,0
TNNfit.DGrid_Sess.a0Topo.Sess.sigsess,D~stdGC + session a0~Topo * session sigma~session,hazard halfnormal,16,-497.7445177,1027.489,1050.156,24.956,0
TNNfit.Dsess.Lamsess.sigsess,D~session lambda0~session sigma~session,hazard halfnormal,9,-504.829275,1027.659,1033.465,25.126,0
TNNfit.D1.Lam1s.sig1,D~1 lambda0~1 sigma~1,hazard halfnormal,3,-511.1774518,1028.355,1029.004,25.822,0
TNNfit.DGrid_Sess.a0Sess.sigsess,D~stdGC + session a0~session sigma~session,hazard halfnormal,10,-504.4039636,1028.808,1036.141,26.275,0
TNN.DGridXsess.DetTopoXsess,D~rmeanGCdev * session lambda0~Topo * session sigma~session,hazard halfnormal,18,-497.473665,1030.947,1062.038,28.414,0
TNN.DGridXsess.LamTopoXsess,D~rmeanGCdev * session lambda0~Topo * session sigma~1,hazard halfnormal,16,-500.3207273,1032.641,1055.308,30.108,0
TNNfit.DGridXSess.a0Sess.sigsess,D~stdGC * session a0~session sigma~session,hazard halfnormal,12,-504.3930661,1032.786,1043.929,30.253,0
TNNfit.DGridSess.lamSess.SigSess,D~rmeanGC + rmeanGCdev:session + session lambda0~session sigma~session,hazard halfnormal,13,-504.3930661,1034.786,1048.268,32.253,0
