"","x","y"
"1071",321262.5272,3123250.081
"1289",318262.5272,3124250.081
"1290",319262.5272,3124250.081
"1291",320262.5272,3124250.081
"1292",321262.5272,3124250.081
"1293",322262.5272,3124250.081
"1505",313262.5272,3125250.081
"1506",314262.5272,3125250.081
"1507",315262.5272,3125250.081
"1508",316262.5272,3125250.081
"1509",317262.5272,3125250.081
"1510",318262.5272,3125250.081
"1511",319262.5272,3125250.081
"1512",320262.5272,3125250.081
"1513",321262.5272,3125250.081
"1514",322262.5272,3125250.081
"1515",323262.5272,3125250.081
"1516",324262.5272,3125250.081
"1722",309262.5272,3126250.081
"1723",310262.5272,3126250.081
"1725",312262.5272,3126250.081
"1726",313262.5272,3126250.081
"1727",314262.5272,3126250.081
"1728",315262.5272,3126250.081
"1729",316262.5272,3126250.081
"1730",317262.5272,3126250.081
"1731",318262.5272,3126250.081
"1732",319262.5272,3126250.081
"1733",320262.5272,3126250.081
"1734",321262.5272,3126250.081
"1735",322262.5272,3126250.081
"1736",323262.5272,3126250.081
"1737",324262.5272,3126250.081
"1738",325262.5272,3126250.081
"1940",306262.5272,3127250.081
"1941",307262.5272,3127250.081
"1942",308262.5272,3127250.081
"1943",309262.5272,3127250.081
"1944",310262.5272,3127250.081
"1945",311262.5272,3127250.081
"1946",312262.5272,3127250.081
"1947",313262.5272,3127250.081
"1948",314262.5272,3127250.081
"1949",315262.5272,3127250.081
"1950",316262.5272,3127250.081
"1951",317262.5272,3127250.081
"1952",318262.5272,3127250.081
"1953",319262.5272,3127250.081
"1954",320262.5272,3127250.081
"1955",321262.5272,3127250.081
"1956",322262.5272,3127250.081
"1957",323262.5272,3127250.081
"1958",324262.5272,3127250.081
"1959",325262.5272,3127250.081
"1960",326262.5272,3127250.081
"1961",327262.5272,3127250.081
"2157",302262.5272,3128250.081
"2158",303262.5272,3128250.081
"2159",304262.5272,3128250.081
"2160",305262.5272,3128250.081
"2161",306262.5272,3128250.081
"2162",307262.5272,3128250.081
"2163",308262.5272,3128250.081
"2164",309262.5272,3128250.081
"2165",310262.5272,3128250.081
"2166",311262.5272,3128250.081
"2167",312262.5272,3128250.081
"2168",313262.5272,3128250.081
"2169",314262.5272,3128250.081
"2170",315262.5272,3128250.081
"2171",316262.5272,3128250.081
"2172",317262.5272,3128250.081
"2173",318262.5272,3128250.081
"2174",319262.5272,3128250.081
"2175",320262.5272,3128250.081
"2176",321262.5272,3128250.081
"2177",322262.5272,3128250.081
"2178",323262.5272,3128250.081
"2179",324262.5272,3128250.081
"2180",325262.5272,3128250.081
"2181",326262.5272,3128250.081
"2182",327262.5272,3128250.081
"2183",328262.5272,3128250.081
"2184",329262.5272,3128250.081
"2375",299262.5272,3129250.081
"2376",300262.5272,3129250.081
"2377",301262.5272,3129250.081
"2378",302262.5272,3129250.081
"2379",303262.5272,3129250.081
"2380",304262.5272,3129250.081
"2381",305262.5272,3129250.081
"2382",306262.5272,3129250.081
"2383",307262.5272,3129250.081
"2384",308262.5272,3129250.081
"2385",309262.5272,3129250.081
"2386",310262.5272,3129250.081
"2387",311262.5272,3129250.081
"2388",312262.5272,3129250.081
"2389",313262.5272,3129250.081
