FID,D,x,y
0,0.000188119,321262.5272,3123250.081
1,7.49E-05,318262.5272,3124250.081
2,0.000112957,319262.5272,3124250.081
3,0.00016652,320262.5272,3124250.081
4,0.000169518,321262.5272,3124250.081
5,0.000173806,322262.5272,3124250.081
6,8.26E-05,313262.5272,3125250.081
7,0.000118393,314262.5272,3125250.081
8,0.000135949,315262.5272,3125250.081
9,4.66E-05,316262.5272,3125250.081
10,4.19E-05,317262.5272,3125250.081
11,4.88E-05,318262.5272,3125250.081
12,7.65E-05,319262.5272,3125250.081
13,0.000151139,320262.5272,3125250.081
14,0.000191838,321262.5272,3125250.081
15,0.00013236,322262.5272,3125250.081
16,0.000154301,323262.5272,3125250.081
17,7.57E-05,324262.5272,3125250.081
18,0.000103179,309262.5272,3126250.081
19,5.32E-05,310262.5272,3126250.081
20,3.27E-05,312262.5272,3126250.081
21,0.000133447,313262.5272,3126250.081
22,0.000182661,314262.5272,3126250.081
23,0.000177385,315262.5272,3126250.081
24,0.000109063,316262.5272,3126250.081
25,8.96E-05,317262.5272,3126250.081
26,6.63E-05,318262.5272,3126250.081
27,0.000171886,319262.5272,3126250.081
28,0.000193631,320262.5272,3126250.081
29,0.00015642,321262.5272,3126250.081
30,0.00010143,322262.5272,3126250.081
31,8.82E-05,323262.5272,3126250.081
32,7.52E-05,324262.5272,3126250.081
33,0.000126968,325262.5272,3126250.081
34,0.000182808,306262.5272,3127250.081
35,0.000169126,307262.5272,3127250.081
36,0.000194937,308262.5272,3127250.081
37,0.000188308,309262.5272,3127250.081
38,0.000128402,310262.5272,3127250.081
39,4.76E-05,311262.5272,3127250.081
40,2.68E-05,312262.5272,3127250.081
41,6.47E-05,313262.5272,3127250.081
42,0.000169712,314262.5272,3127250.081
43,0.000182711,315262.5272,3127250.081
44,0.000192406,316262.5272,3127250.081
45,0.000162914,317262.5272,3127250.081
46,0.000164736,318262.5272,3127250.081
47,0.000190609,319262.5272,3127250.081
48,0.000166454,320262.5272,3127250.081
49,0.000125105,321262.5272,3127250.081
50,5.98E-05,322262.5272,3127250.081
51,4.69E-05,323262.5272,3127250.081
52,4.31E-05,324262.5272,3127250.081
53,0.00010578,325262.5272,3127250.081
54,0.000184597,326262.5272,3127250.081
55,0.000145119,327262.5272,3127250.081
56,0.000153764,302262.5272,3128250.081
57,0.000168,303262.5272,3128250.081
58,0.000194563,304262.5272,3128250.081
59,0.000195774,305262.5272,3128250.081
60,0.000168994,306262.5272,3128250.081
61,0.000174169,307262.5272,3128250.081
62,0.000195304,308262.5272,3128250.081
63,0.000191406,309262.5272,3128250.081
64,0.000116183,310262.5272,3128250.081
65,0.000100845,311262.5272,3128250.081
66,2.84E-05,312262.5272,3128250.081
67,8.81E-05,313262.5272,3128250.081
68,0.000165975,314262.5272,3128250.081
69,0.000195728,315262.5272,3128250.081
70,0.000170167,316262.5272,3128250.081
71,0.00018423,317262.5272,3128250.081
72,0.000194795,318262.5272,3128250.081
73,0.000173927,319262.5272,3128250.081
74,0.000125782,320262.5272,3128250.081
75,7.30E-05,321262.5272,3128250.081
76,2.21E-05,322262.5272,3128250.081
77,3.02E-05,323262.5272,3128250.081
78,5.64E-05,324262.5272,3128250.081
79,0.000127813,325262.5272,3128250.081
80,0.000193858,326262.5272,3128250.081
81,0.000194579,327262.5272,3128250.081
82,0.000158724,328262.5272,3128250.081
83,7.31E-05,329262.5272,3128250.081
84,2.46E-05,299262.5272,3129250.081
85,2.75E-05,300262.5272,3129250.081
86,5.80E-05,301262.5272,3129250.081
87,5.60E-05,302262.5272,3129250.081
88,0.000104519,303262.5272,3129250.081
89,0.000191809,304262.5272,3129250.081
90,0.000165151,305262.5272,3129250.081
91,0.000195238,306262.5272,3129250.081
92,0.000178115,307262.5272,3129250.081
93,0.000195699,308262.5272,3129250.081
94,0.000195804,309262.5272,3129250.081
95,0.000195877,310262.5272,3129250.081
96,0.000102845,311262.5272,3129250.081
97,6.95E-05,312262.5272,3129250.081
98,0.000136613,313262.5272,3129250.081
99,0.000179694,314262.5272,3129250.081
100,0.000192956,315262.5272,3129250.081
101,0.000195852,316262.5272,3129250.081
102,0.000191437,317262.5272,3129250.081
103,0.000141801,318262.5272,3129250.081
104,0.000109488,319262.5272,3129250.081
105,9.52E-05,320262.5272,3129250.081
106,3.27E-05,321262.5272,3129250.081
107,1.19E-05,322262.5272,3129250.081
108,6.78E-05,323262.5272,3129250.081
109,0.000131689,324262.5272,3129250.081
110,0.000154149,325262.5272,3129250.081
111,0.000141474,326262.5272,3129250.081
112,0.000176299,327262.5272,3129250.081
113,0.000177044,328262.5272,3129250.081
114,0.000116523,329262.5272,3129250.081
115,0.000195826,330262.5272,3129250.081
116,9.70E-05,303262.5272,3130250.081
117,9.05E-05,304262.5272,3130250.081
118,0.000120433,305262.5272,3130250.081
119,0.000185966,306262.5272,3130250.081
120,0.000144719,307262.5272,3130250.081
121,0.000143264,308262.5272,3130250.081
122,0.000158505,309262.5272,3130250.081
123,0.000192032,310262.5272,3130250.081
124,0.000113296,311262.5272,3130250.081
125,6.99E-05,312262.5272,3130250.081
126,9.18E-05,313262.5272,3130250.081
127,0.000180013,314262.5272,3130250.081
128,0.000193003,315262.5272,3130250.081
129,0.000195627,316262.5272,3130250.081
130,0.000177892,317262.5272,3130250.081
131,0.000125105,318262.5272,3130250.081
132,6.35E-05,319262.5272,3130250.081
133,0.000130848,320262.5272,3130250.081
134,3.69E-05,321262.5272,3130250.081
135,9.66E-05,322262.5272,3130250.081
136,0.000103098,323262.5272,3130250.081
137,0.00015153,324262.5272,3130250.081
138,0.000195482,325262.5272,3130250.081
139,0.00017453,326262.5272,3130250.081
140,0.000184958,327262.5272,3130250.081
141,0.000194658,328262.5272,3130250.081
