FID,Field1,Rgd,Alt,StdRgd,StdAlt,D.0,x,y
0,1071,45.908699,4368,0.174381105,-0.647266371,0.000188119,321262.5272,3123250.081
1,1289,54.9175987,3200,0.608704285,-2.217252235,7.49E-05,318262.5272,3124250.081
2,1290,52.335701,3436,0.484229815,-1.900029064,0.000112957,319262.5272,3124250.081
3,1291,55.4756012,3771,0.635605841,-1.449733461,0.00016652,320262.5272,3124250.081
4,1292,51.4916992,4545,0.443540101,-0.409348992,0.000169518,321262.5272,3124250.081
5,1293,40.0764008,4511,-0.106796661,-0.455050635,0.000173806,322262.5272,3124250.081
6,1505,61.8470001,3251,0.942773899,-2.14869977,8.26E-05,313262.5272,3125250.081
7,1506,61.0587006,3468,0.904769619,-1.857015753,0.000118393,314262.5272,3125250.081
8,1507,57.7276001,3572,0.744175739,-1.717222491,0.000135949,315262.5272,3125250.081
9,1508,50.4570999,2985,0.393661595,-2.506247921,4.66E-05,316262.5272,3125250.081
10,1509,47.0424995,2942,0.229042147,-2.564047058,4.19E-05,317262.5272,3125250.081
11,1510,52.1365013,3004,0.474626306,-2.480708767,4.88E-05,318262.5272,3125250.081
12,1511,57.4438019,3211,0.730493698,-2.202466409,7.65E-05,319262.5272,3125250.081
13,1512,57.394001,3666,0.728092774,-1.590870889,0.000151139,320262.5272,3125250.081
14,1513,50.8544006,4312,0.412815644,-0.722539666,0.000191838,321262.5272,3125250.081
15,1514,41.9547005,4788,-0.016242973,-0.082716659,0.00013236,322262.5272,3125250.081
16,1515,40.271801,4652,-0.097376328,-0.265523232,0.000154301,323262.5272,3125250.081
17,1516,39.3190994,5133,-0.143306509,0.381020604,7.57E-05,324262.5272,3125250.081
18,1722,63.3774986,3378,1.016559933,-1.977990691,0.000103179,309262.5272,3126250.081
19,1723,70.0623016,3041,1.338837346,-2.430974626,5.32E-05,310262.5272,3126250.081
20,1725,66.5037003,2847,1.167275548,-2.691742826,3.27E-05,312262.5272,3126250.081
21,1726,58.7979012,3557,0.795775445,-1.73738498,0.000133447,313262.5272,3126250.081
22,1727,58.0726013,3908,0.760808405,-1.265582721,0.000182661,314262.5272,3126250.081
23,1728,56.0227013,3858,0.661981787,-1.33279102,0.000177385,315262.5272,3126250.081
24,1729,47.9599991,3413,0.273275222,-1.930944882,0.000109063,316262.5272,3126250.081
25,1730,42.3111992,3295,0.000943993,-2.089556467,8.96E-05,317262.5272,3126250.081
26,1731,54.5517006,3141,0.59106417,-2.296558028,6.63E-05,318262.5272,3126250.081
27,1732,58.5592003,3812,0.784267566,-1.394622656,0.000171886,319262.5272,3126250.081
28,1733,57.2711983,4063,0.722172399,-1.057236995,0.000193631,320262.5272,3126250.081
29,1734,53.9104004,4638,0.560146794,-0.284341556,0.00015642,321262.5272,3126250.081
30,1735,45.4757996,4971,0.153510827,0.163265715,0.00010143,322262.5272,3126250.081
31,1736,35.2939987,5052,-0.337358456,0.27214316,8.82E-05,323262.5272,3126250.081
32,1737,35.8988991,5136,-0.308195931,0.385053102,7.52E-05,324262.5272,3126250.081
33,1738,43.4842987,4820,0.057499657,-0.039703348,0.000126968,325262.5272,3126250.081
34,1940,53.6813011,4429,0.549101812,-0.565272246,0.000182808,306262.5272,3127250.081
35,1941,45.8754005,4548,0.172775769,-0.405316494,0.000169126,307262.5272,3127250.081
36,1942,47.5345993,4238,0.252766503,-0.822007948,0.000194937,308262.5272,3127250.081
37,1943,55.3651009,3973,0.630278571,-1.178211933,0.000188308,309262.5272,3127250.081
38,1944,65.7514038,3527,1.131006989,-1.77770996,0.000128402,310262.5272,3127250.081
39,1945,69.1996994,2994,1.297250899,-2.494150427,4.76E-05,311262.5272,3127250.081
40,1946,62.4373016,2775,0.971232605,-2.788522777,2.68E-05,312262.5272,3127250.081
41,1947,57.7790985,3129,0.746658501,-2.31268802,6.47E-05,313262.5272,3127250.081
42,1948,55.7779007,3795,0.650179838,-1.417473477,0.000169712,314262.5272,3127250.081
43,1949,56.2436981,4430,0.672636144,-0.56392808,0.000182711,315262.5272,3127250.081
44,1950,57.6108017,4037,0.738544835,-1.09218531,0.000192406,316262.5272,3127250.081
45,1951,52.1725006,3745,0.476361849,-1.484681776,0.000162914,317262.5272,3127250.081
46,1952,54.3252983,3758,0.580149211,-1.467207618,0.000164736,318262.5272,3127250.081
47,1953,56.1530991,4006,0.668268325,-1.133854455,0.000190609,319262.5272,3127250.081
48,1954,51.7125015,4568,0.454185081,-0.378433175,0.000166454,320262.5272,3127250.081
