#Session,ID,Occasion,Detector
3,Waa,1,NemegtSLT006
3,Hurle,1,NemegtSLT007
3,Jukhan,1,NemegtSLT007
3,Bayarma,1,NemegtSLT007
3,Hurle,1,NemegtSLT007
3,Chimge,1,NemegtSLT008
3,Hurle,1,NemegtSLT008
3,IdereGerle,1,NemegtSLT014
3,Sumbe,1,NemegtSLT014
3,Sumbe,1,NemegtSLT015
3,IdereGerle,1,NemegtSLT017
3,Chimge,1,NemegtSLT019
3,Hurle,1,NemegtSLT019
3,Hurle,1,NemegtSLT019
3,Bayarma,1,NemegtSLT019
3,Davaa,1,NemegtSLT021
3,Scrawny,1,NemegtSLT023
3,Sumbe,1,NemegtSLT023
3,Amga,1,NemegtSLT024
3,Sandigul,1,NemegtSLT024
3,IdereGerle,1,NemegtSLT026
3,Puji,1,NemegtSLT027
3,Hurle,1,NemegtSLT030
3,Hurle,1,NemegtSLT030
3,Jukhan,1,NemegtSLT030
3,Jukhan,1,NemegtSLT030
3,Hurle,1,NemegtSLT031
3,Scarface,1,NemegtSLT033
3,Waa,1,NemegtSLT036
3,Scarface,1,NemegtSLT036
3,Puji,1,NemegtSLT039
3,Puji,1,NemegtSLT039
3,Waa,1,NemegtSLT041
3,Waa,1,NemegtSLT041
3,Waa,1,NemegtSLT041
3,Waa,1,NemegtSLT041
3,Aylagch,1,NemegtSLT101
3,Puji,1,NemegtSLT101
3,Puji,1,NemegtSLT101
3,Puji,1,NemegtSLT101
3,Pundit,1,NemegtSLT102
3,Pundit,1,NemegtSLT102
3,Sumbe,1,NemegtSLT102
3,Scrawny,1,NemegtSLT102
3,IdereGerle,1,NemegtSLT102
3,Scrawny,1,NemegtSLT102
3,Sumbe,1,NemegtSLT102
3,Scrawny,1,NemegtSLT102
3,Scrawny,1,NemegtSLT102
3,Scrawny,1,NemegtSLT102
3,Sumbe,1,NemegtSLT102
3,Scrawny,1,NemegtSLT102
3,Sumbe,1,NemegtSLT102
3,Scrawny,1,NemegtSLT102
