#Session,ID,Occasion,Detector
3,Waa,1,SLT006
3,Hurle,1,SLT007
3,Jukhan,1,SLT007
3,Bayarma,1,SLT007
3,Hurle,1,SLT007
3,Chimge,1,SLT008
3,Hurle,1,SLT008
3,IdereGerle,1,SLT014
3,Sumbe,1,SLT014
3,Sumbe,1,SLT015
3,IdereGerle,1,SLT017
3,Chimge,1,SLT019
3,Hurle,1,SLT019
3,Hurle,1,SLT019
3,Bayarma,1,SLT019
3,Davaa,1,SLT021
3,Scrawny,1,SLT023
3,Sumbe,1,SLT023
3,Amga,1,SLT024
3,Sandigul,1,SLT024
3,IdereGerle,1,SLT026
3,Puji,1,SLT027
3,Hurle,1,SLT030
3,Hurle,1,SLT030
3,Jukhan,1,SLT030
3,Jukhan,1,SLT030
3,Hurle,1,SLT031
3,Scarface,1,SLT033
3,Waa,1,SLT036
3,Scarface,1,SLT036
3,Puji,1,SLT039
3,Puji,1,SLT039
3,Waa,1,SLT041
3,Waa,1,SLT041
3,Waa,1,SLT041
3,Waa,1,SLT041
3,Aylagch,1,SLT101
3,Puji,1,SLT101
3,Puji,1,SLT101
3,Puji,1,SLT101
3,Pundit,1,SLT102
3,Pundit,1,SLT102
3,Sumbe,1,SLT102
3,Scrawny,1,SLT102
3,IdereGerle,1,SLT102
3,Scrawny,1,SLT102
3,Sumbe,1,SLT102
3,Scrawny,1,SLT102
3,Scrawny,1,SLT102
3,Scrawny,1,SLT102
3,Sumbe,1,SLT102
3,Scrawny,1,SLT102
3,Sumbe,1,SLT102
3,Scrawny,1,SLT102
