#ID,X,Y,Effort,/,Topo,Brokenness,Grass,Rgd,Water
SLT014,745288,4832200,43,/,Saddle,3,1,49.18,No
SLT023,741565.5,4836709.9,44,/,Canyon,3,1,43.53,No
SLT017,732925.8,4838204.9,44,/,Canyon,3,1,34.6,No
SLT015,739461.5,4832174.7,44,/,Saddle,3,1,79.01,No
SLT102,742139,4833950,45,/,Canyon,4,0,58.2,yes
SLT018,746447,4836260,45,/,Canyon,2,1,47.31,No
SLT036,704013.2,4834170.5,47,/,Saddle,3,1,38.57,No
SLT032,711165.8,4836508.1,47,/,Saddle,2,1,45.43,No
SLT006,699924.5,4831379.1,47,/,Canyon,3,1,46.9,No
SLT012,693220.6,4832131.6,46,/,Saddle,2,1,36.25,No
SLT021,721443.9,4834555.6,46,/,Canyon,4,1,49.95,No
SLT026,737825.7,4835092.3,45,/,Canyon,2,1,55.57,No
SLT001,698670.5,4836560.9,48,/,Canyon,3,1,48.9,No
SLT041,695384.8,4834794.4,48,/,Canyon,2,1,29.36,No
SLT005,640062.4,4839291,51,/,Canyon,3,1,66.75,No
SLT103,646922.3,4840854,50,/,Canyon,2,1,37.63,No
SLT016,651558.6,4837850.7,50,/,Saddle,2,1,93.21,No
SLT029,632360,4838389.5,51,/,Saddle,2,1,51.85,No
SLT025,647100.2,4838155.5,51,/,Saddle,3,1,53.5,No
SLT003,669114,4837170.6,49,/,Canyon,2,1,60.9,No
SLT040,684111.6,4838028.1,48,/,Saddle,2,1,32.68,No
SLT022,652531.6,4834511.4,58,/,Saddle,2,1,32.91,No
SLT019,655579.2,4833442.6,58,/,Canyon,4,1,57.41,No
SLT031,661279.1,4833699.8,57,/,Saddle,3,1,107.53,No
SLT033,678824.7,4833778.9,56,/,Saddle,2,1,54.67,No
SLT030,671250.7,4834662.2,56,/,Saddle,2,1,31.7,No
SLT007,666012.7,4834581.2,56,/,Saddle,3,1,62.19,No
SLT039,653352.6,4841104.2,55,/,Canyon,3,1,67.01,No
SLT008,657537.3,4838879.1,55,/,Canyon,2,1,34.81,No
SLT104,661681.3,4838662.5,55,/,Canyon,2,1,75.09,No
SLT035,647312.6,4844900.7,54,/,Canyon,4,1,122.49,No
SLT027,643255.1,4843348.9,54,/,Canyon,3,1,41.63,No
SLT101,637181.4,4842366.8,53,/,Canyon,3,1,76.54,No
SLT020,632213.1,4842388.7,53,/,Canyon,4,1,98.13,No
SLT009,626888.2,4841984.2,53,/,Canyon,4,1,49.56,yes
SLT037,620800.4,4835210.8,52,/,Saddle,2,1,30.32,No
SLT024,618559,4832789.9,52,/,Saddle,2,1,69.61,No
SLT034,628269.4,4832311.2,52,/,Saddle,2,1,41.12,No
AC2,638675,4834340,50,/,Steppe,1,0,9.22,No
