#Session,ID,Occasion,Detector,Sex
1,Waa,1,SLT006,NA
1,Hurle,1,SLT007,NA
1,Jukhan,1,SLT007,NA
1,Bayarma,1,SLT007,NA
1,Hurle,1,SLT007,NA
1,Hurle,1,SLT008,NA
1,IdereGerle,1,SLT014,NA
1,Sumbe,1,SLT014,NA
1,Sumbe,1,SLT015,NA
1,IdereGerle,1,SLT017,NA
1,Hurle,1,SLT019,NA
1,Hurle,1,SLT019,NA
1,Bayarma,1,SLT019,NA
1,Davaa,1,SLT021,NA
1,Scrawny,1,SLT023,NA
1,Sumbe,1,SLT023,NA
1,Amga,1,SLT024,NA
1,IdereGerle,1,SLT026,NA
1,Puji,1,SLT027,NA
1,Hurle,1,SLT030,NA
1,Hurle,1,SLT030,NA
1,Jukhan,1,SLT030,NA
1,Jukhan,1,SLT030,NA
1,Hurle,1,SLT031,NA
1,Scarface,1,SLT033,NA
1,Waa,1,SLT036,NA
1,Scarface,1,SLT036,NA
1,Puji,1,SLT039,NA
1,Puji,1,SLT039,NA
1,Waa,1,SLT041,NA
1,Waa,1,SLT041,NA
1,Waa,1,SLT041,NA
1,Waa,1,SLT041,NA
1,Aylagch,1,SLT101,NA
1,Puji,1,SLT101,NA
1,Puji,1,SLT101,NA
1,Puji,1,SLT101,NA
1,Pundit,1,SLT102,NA
1,Pundit,1,SLT102,NA
1,Sumbe,1,SLT102,NA
1,Scrawny,1,SLT102,NA
1,IdereGerle,1,SLT102,NA
1,Scrawny,1,SLT102,NA
1,Sumbe,1,SLT102,NA
1,Scrawny,1,SLT102,NA
1,Scrawny,1,SLT102,NA
1,Scrawny,1,SLT102,NA
1,Sumbe,1,SLT102,NA
1,Scrawny,1,SLT102,NA
1,Sumbe,1,SLT102,NA
1,Scrawny,1,SLT102,NA
