"","x","y"
"54",316696.9022,3124753.206
"55",319903.1522,3124753.206
"56",323109.4022,3124753.206
"114",303871.9022,3127959.456
"115",307078.1522,3127959.456
"116",310284.4022,3127959.456
"117",313490.6522,3127959.456
"118",316696.9022,3127959.456
"119",319903.1522,3127959.456
"120",323109.4022,3127959.456
"121",326315.6522,3127959.456
"178",303871.9022,3131165.706
"179",307078.1522,3131165.706
"180",310284.4022,3131165.706
"181",313490.6522,3131165.706
"182",316696.9022,3131165.706
"183",319903.1522,3131165.706
"184",323109.4022,3131165.706
"185",326315.6522,3131165.706
"235",281428.1522,3134371.956
"236",284634.4022,3134371.956
"237",287840.6522,3134371.956
"238",291046.9022,3134371.956
"241",300665.6522,3134371.956
"242",303871.9022,3134371.956
"243",307078.1522,3134371.956
"244",310284.4022,3134371.956
"245",313490.6522,3134371.956
"246",316696.9022,3134371.956
"247",319903.1522,3134371.956
"248",323109.4022,3134371.956
"298",278221.9022,3137578.206
"299",281428.1522,3137578.206
"300",284634.4022,3137578.206
"301",287840.6522,3137578.206
"304",297459.4022,3137578.206
"305",300665.6522,3137578.206
"306",303871.9022,3137578.206
"307",307078.1522,3137578.206
"308",310284.4022,3137578.206
"361",275015.6522,3140784.456
"362",278221.9022,3140784.456
"363",281428.1522,3140784.456
"364",284634.4022,3140784.456
"365",287840.6522,3140784.456
"366",291046.9022,3140784.456
"368",297459.4022,3140784.456
"369",300665.6522,3140784.456
"370",303871.9022,3140784.456
"371",307078.1522,3140784.456
"372",310284.4022,3140784.456
"373",313490.6522,3140784.456
"425",275015.6522,3143990.706
"426",278221.9022,3143990.706
"427",281428.1522,3143990.706
"428",284634.4022,3143990.706
"429",287840.6522,3143990.706
"430",291046.9022,3143990.706
"432",297459.4022,3143990.706
"433",300665.6522,3143990.706
"434",303871.9022,3143990.706
"435",307078.1522,3143990.706
"436",310284.4022,3143990.706
"437",313490.6522,3143990.706
"488",271809.4022,3147196.956
"489",275015.6522,3147196.956
"490",278221.9022,3147196.956
"491",281428.1522,3147196.956
"492",284634.4022,3147196.956
"497",300665.6522,3147196.956
"498",303871.9022,3147196.956
"499",307078.1522,3147196.956
"500",310284.4022,3147196.956
"501",313490.6522,3147196.956
"541",236540.6522,3150403.206
"542",239746.9022,3150403.206
"543",242953.1522,3150403.206
"544",246159.4022,3150403.206
"545",249365.6522,3150403.206
"546",252571.9022,3150403.206
"547",255778.1522,3150403.206
"548",258984.4022,3150403.206
"549",262190.6522,3150403.206
"551",268603.1522,3150403.206
"553",275015.6522,3150403.206
"554",278221.9022,3150403.206
"555",281428.1522,3150403.206
"556",284634.4022,3150403.206
"557",287840.6522,3150403.206
"558",291046.9022,3150403.206
"560",297459.4022,3150403.206
"563",307078.1522,3150403.206
"564",310284.4022,3150403.206
"565",313490.6522,3150403.206
"603",230128.1522,3153609.456
"604",233334.4022,3153609.456
"605",236540.6522,3153609.456
"606",239746.9022,3153609.456
"608",246159.4022,3153609.456
"609",249365.6522,3153609.456
"610",252571.9022,3153609.456
"611",255778.1522,3153609.456
"612",258984.4022,3153609.456
"614",265396.9022,3153609.456
"615",268603.1522,3153609.456
"616",271809.4022,3153609.456
"617",275015.6522,3153609.456
"618",278221.9022,3153609.456
"619",281428.1522,3153609.456
"620",284634.4022,3153609.456
"621",287840.6522,3153609.456
"623",294253.1522,3153609.456
"625",300665.6522,3153609.456
"626",303871.9022,3153609.456
"627",307078.1522,3153609.456
"628",310284.4022,3153609.456
"629",313490.6522,3153609.456
"630",316696.9022,3153609.456
"666",226921.9022,3156815.706
"667",230128.1522,3156815.706
"668",233334.4022,3156815.706
"669",236540.6522,3156815.706
"670",239746.9022,3156815.706
"672",246159.4022,3156815.706
"673",249365.6522,3156815.706
"674",252571.9022,3156815.706
"675",255778.1522,3156815.706
"676",258984.4022,3156815.706
"678",265396.9022,3156815.706
"679",268603.1522,3156815.706
"680",271809.4022,3156815.706
"681",275015.6522,3156815.706
"682",278221.9022,3156815.706
"683",281428.1522,3156815.706
"684",284634.4022,3156815.706
"687",294253.1522,3156815.706
"688",297459.4022,3156815.706
"689",300665.6522,3156815.706
"690",303871.9022,3156815.706
"691",307078.1522,3156815.706
"692",310284.4022,3156815.706
"693",313490.6522,3156815.706
"694",316696.9022,3156815.706
"695",319903.1522,3156815.706
"729",223715.6522,3160021.956
"730",226921.9022,3160021.956
"731",230128.1522,3160021.956
"732",233334.4022,3160021.956
"736",246159.4022,3160021.956
"737",249365.6522,3160021.956
"738",252571.9022,3160021.956
"739",255778.1522,3160021.956
"742",265396.9022,3160021.956
"743",268603.1522,3160021.956
"744",271809.4022,3160021.956
"745",275015.6522,3160021.956
"746",278221.9022,3160021.956
"749",287840.6522,3160021.956
"750",291046.9022,3160021.956
"751",294253.1522,3160021.956
"752",297459.4022,3160021.956
"753",300665.6522,3160021.956
"754",303871.9022,3160021.956
"755",307078.1522,3160021.956
"756",310284.4022,3160021.956
"757",313490.6522,3160021.956
"758",316696.9022,3160021.956
"759",319903.1522,3160021.956
"790",214096.9022,3163228.206
"791",217303.1522,3163228.206
"792",220509.4022,3163228.206
"793",223715.6522,3163228.206
"795",230128.1522,3163228.206
"796",233334.4022,3163228.206
"797",236540.6522,3163228.206
"798",239746.9022,3163228.206
"799",242953.1522,3163228.206
"801",249365.6522,3163228.206
"802",252571.9022,3163228.206
"803",255778.1522,3163228.206
"804",258984.4022,3163228.206
"805",262190.6522,3163228.206
"806",265396.9022,3163228.206
"807",268603.1522,3163228.206
"808",271809.4022,3163228.206
"809",275015.6522,3163228.206
"810",278221.9022,3163228.206
"811",281428.1522,3163228.206
"812",284634.4022,3163228.206
"813",287840.6522,3163228.206
"814",291046.9022,3163228.206
"815",294253.1522,3163228.206
"816",297459.4022,3163228.206
"817",300665.6522,3163228.206
"818",303871.9022,3163228.206
"819",307078.1522,3163228.206
"820",310284.4022,3163228.206
"821",313490.6522,3163228.206
"822",316696.9022,3163228.206
"823",319903.1522,3163228.206
"850",201271.9022,3166434.456
"853",210890.6522,3166434.456
"854",214096.9022,3166434.456
"855",217303.1522,3166434.456
"856",220509.4022,3166434.456
"857",223715.6522,3166434.456
"858",226921.9022,3166434.456
"859",230128.1522,3166434.456
"860",233334.4022,3166434.456
"861",236540.6522,3166434.456
"862",239746.9022,3166434.456
"863",242953.1522,3166434.456
"864",246159.4022,3166434.456
"865",249365.6522,3166434.456
"866",252571.9022,3166434.456
"867",255778.1522,3166434.456
"868",258984.4022,3166434.456
"869",262190.6522,3166434.456
"870",265396.9022,3166434.456
"871",268603.1522,3166434.456
"872",271809.4022,3166434.456
"873",275015.6522,3166434.456
"874",278221.9022,3166434.456
"875",281428.1522,3166434.456
"882",303871.9022,3166434.456
"883",307078.1522,3166434.456
"884",310284.4022,3166434.456
"885",313490.6522,3166434.456
"886",316696.9022,3166434.456
"887",319903.1522,3166434.456
"888",323109.4022,3166434.456
"908",182034.4022,3169640.706
"909",185240.6522,3169640.706
"910",188446.9022,3169640.706
"913",198065.6522,3169640.706
"914",201271.9022,3169640.706
"915",204478.1522,3169640.706
"916",207684.4022,3169640.706
"917",210890.6522,3169640.706
"918",214096.9022,3169640.706
"919",217303.1522,3169640.706
"920",220509.4022,3169640.706
"921",223715.6522,3169640.706
"922",226921.9022,3169640.706
"923",230128.1522,3169640.706
"924",233334.4022,3169640.706
"925",236540.6522,3169640.706
"926",239746.9022,3169640.706
"927",242953.1522,3169640.706
"928",246159.4022,3169640.706
"929",249365.6522,3169640.706
"930",252571.9022,3169640.706
"931",255778.1522,3169640.706
"932",258984.4022,3169640.706
"933",262190.6522,3169640.706
"934",265396.9022,3169640.706
"935",268603.1522,3169640.706
"936",271809.4022,3169640.706
"947",307078.1522,3169640.706
"948",310284.4022,3169640.706
"949",313490.6522,3169640.706
"950",316696.9022,3169640.706
"951",319903.1522,3169640.706
"969",172415.6522,3172846.956
"970",175621.9022,3172846.956
"971",178828.1522,3172846.956
"972",182034.4022,3172846.956
"973",185240.6522,3172846.956
"974",188446.9022,3172846.956
"975",191653.1522,3172846.956
"976",194859.4022,3172846.956
"977",198065.6522,3172846.956
"978",201271.9022,3172846.956
"979",204478.1522,3172846.956
"980",207684.4022,3172846.956
"981",210890.6522,3172846.956
"982",214096.9022,3172846.956
"983",217303.1522,3172846.956
"984",220509.4022,3172846.956
"985",223715.6522,3172846.956
"986",226921.9022,3172846.956
