# Session ,ID,Occasion ,X,Y
1,F10,1,229821.8083,3176060.1380
1,F10,1,230026.4644,3176398.9330
1,F12,1,226288.9999,3180412.8872
1,F12,1,226348.2023,3180338.2143
1,F12,1,226257.6146,3179976.8148
1,F17,1,226356.6724,3180298.7719
1,F17,1,223942.4183,3186642.2243
1,F2,1,196022.8872,3193043.0156
1,F2,1,197322.9263,3193713.1934
1,F2,1,197237.1877,3194177.7775
1,F24,1,267894.6780,3172816.6711
1,F25,1,190646.1857,3209556.0015
1,F30,1,216176.4973,3232282.2489
1,F30,1,215764.4990,3231540.1456
1,F31,1,209635.7602,3230082.7105
1,F31,1,209482.7216,3230007.2404
1,F32,1,229943.8015,3176223.0086
1,F33,1,209181.1397,3230091.2049
1,F33,1,208197.7284,3233992.1648
1,F33,1,215334.5677,3231598.1681
1,F34,1,212616.8562,3175636.5069
1,F34,1,225081.2298,3184472.0347
1,F5,1,174032.2172,3202002.4039
1,F5,1,171447.9533,3201788.2100
1,F5,1,170456.3058,3201593.7760
1,F7,1,205712.8442,3176117.5226
1,F7,1,205696.1374,3176165.3431
1,F7,1,204528.3887,3179733.7932
1,F7,1,202140.7348,3182122.0879
1,F7,1,204092.1284,3183031.3552
1,F7,1,204339.7731,3180710.5339
1,F9,1,187006.4236,3185597.1432
1,F9,1,196864.8118,3193493.3486
1,M29,1,203678.4387,3181692.6841
1,M1,1,229464.0679,3174531.3088
1,M1,1,231937.8093,3177220.7399
1,M1,1,230475.6147,3177016.2300
1,M1,1,233959.6941,3179204.8960
1,M1,1,232671.6556,3180176.7251
1,M1,1,232644.4411,3180135.6025
1,M11,1,209048.9695,3231111.0995
1,M11,1,209061.2259,3231147.7740
1,M11,1,219315.6019,3232553.2657
1,M13,1,208798.1387,3229768.8418
1,M13,1,211435.6804,3235433.5245
1,M13,1,212108.4788,3235918.4882
1,M13,1,213323.6907,3236336.7975
1,M13,1,212526.9668,3232980.0123
1,M14,1,198170.7917,3193426.2619
1,M15,1,190477.2229,3209203.7228
1,M15,1,190453.3447,3209028.5977
1,M16,1,233558.2416,3185615.6483
1,M16,1,225864.2888,3183977.9302
1,M18,1,212170.3302,3235978.4352
1,M18,1,207027.1606,3230913.4068
1,M19,1,226712.3889,3211497.4021
1,M19,1,227006.6065,3211550.1250
1,M20,1,213500.5666,3231656.7098
1,M21,1,233064.3204,3186199.6590
1,M22,1,233191.1968,3185137.5436
1,M23,1,269296.9897,3172566.4766
1,M23,1,253249.3038,3175354.8408
1,M26,1,196558.4007,3193490.4346
1,M27,1,205255.7839,3178350.0503
1,M28,1,195817.1282,3227141.2005
1,M3,1,174046.4123,3201996.8927
1,M3,1,176285.9296,3201066.4962
1,M3,1,171291.7151,3201800.2006
1,M3,1,172899.5738,3202011.9199
1,M3,1,170770.2277,3201656.3809
1,M3,1,169995.4802,3201563.9178
1,M3,1,170776.7137,3202055.9556
1,M4,1,205607.9914,3176221.7389
1,M4,1,204826.4171,3179113.8233
1,M4,1,204016.2990,3183799.6326
1,M4,1,204307.6175,3180419.6540
1,M4,1,203888.5025,3180260.6327
1,M6,1,216578.3791,3175264.6130
1,M6,1,218879.8426,3173243.1443
1,M8,1,182596.1192,3197033.9416
1,M8,1,177910.4729,3201328.3270
