# Session 	ID	Occasion 	X	Y
1	M18	1	207027.16060	3230913.40680
1	F31	1	209635.76020	3230082.71050
1	F31	1	209482.72160	3230007.24040
1	F33	1	209181.13970	3230091.20490
1	M13	1	208798.13870	3229768.84180
1	M11	1	209048.96950	3231111.09950
1	M11	1	209061.22590	3231147.77400
1	M13	1	212526.96680	3232980.01230
1	M20	1	213500.56660	3231656.70980
1	F33	1	208197.72840	3233992.16480
1	M13	1	211435.68040	3235433.52450
1	M13	1	212108.47880	3235918.48820
1	M13	1	213323.69070	3236336.79750
1	M18	1	212170.33020	3235978.43520
1	M28	1	195817.12820	3227141.20050
1	M8	1	177910.47288	3201328.32704
1	F5	1	171447.95330	3201788.21000
1	M3	1	171291.71510	3201800.20060
1	F5	1	174032.21720	3202002.40390
1	M3	1	174046.41230	3201996.89270
1	M3	1	176285.92960	3201066.49620
1	M3	1	170776.71370	3202055.95560
1	F5	1	170456.30580	3201593.77600
1	M3	1	170770.22770	3201656.38090
1	M3	1	169995.48020	3201563.91780
1	M3	1	172899.57380	3202011.91990
1	M8	1	182596.11920	3197033.94160
1	F9	1	187006.42360	3185597.14320
1	F2	1	196022.88720	3193043.01560
1	F9	1	196864.81180	3193493.34860
1	M26	1	196558.40070	3193490.43460
1	M14	1	198170.79170	3193426.26190
1	F2	1	197322.92630	3193713.19340
1	F2	1	197237.18770	3194177.77750
1	F7	1	205712.84420	3176117.52260
1	F7	1	205696.13740	3176165.34310
1	M27	1	205255.78390	3178350.05030
1	M4	1	205607.99140	3176221.73890
1	F7	1	204528.38870	3179733.79320
1	M4	1	204826.41710	3179113.82330
1	M?29	1	203678.43870	3181692.68410
1	F7	1	202140.73480	3182122.08790
1	F7	1	204092.12840	3183031.35520
1	M4	1	204016.29900	3183799.63260
1	F7	1	204339.77310	3180710.53390
1	M4	1	204307.61750	3180419.65400
1	M4	1	203888.50250	3180260.63270
1	F34	1	212616.85620	3175636.50690
1	M6	1	216578.37910	3175264.61300
1	M6	1	218879.84260	3173243.14430
1	F10	1	229821.80830	3176060.13800
1	F10	1	230026.46440	3176398.93300
1	F32	1	229943.80150	3176223.00860
1	M1	1	230475.61470	3177016.23000
1	M1	1	231937.80930	3177220.73990
1	M1	1	229464.06790	3174531.30880
1	M1	1	232671.65560	3180176.72510
1	M1	1	232644.44110	3180135.60250
1	M1	1	233959.69410	3179204.89600
1	M22	1	233191.19680	3185137.54360
1	M16	1	233558.24160	3185615.64830
1	M21	1	233064.32040	3186199.65900
1	M19	1	226712.38890	3211497.40210
1	M19	1	227006.60650	3211550.12500
1	M23	1	253249.30380	3175354.84080
1	M23	1	269296.98970	3172566.47660
1	F24	1	267894.67800	3172816.67110
1	F30	1	216176.49730	3232282.24890
1	F30	1	215764.49900	3231540.14560
1	F33	1	215334.56770	3231598.16810
1	M11	1	219315.60190	3232553.26570
1	F12	1	226288.99990	3180412.88720
1	F12	1	226348.20230	3180338.21430
1	F12	1	226257.61460	3179976.81480
1	F17	1	226356.67240	3180298.77190
1	F34	1	225081.22980	3184472.03470
1	F17	1	223942.41830	3186642.22430
1	M16	1	225864.28880	3183977.93020
1	F25	1	190646.18570	3209556.00150
1	M15	1	190477.22290	3209203.72280
1	M15	1	190453.34470	3209028.59770
