#Session	ID	Occasion 	X	Y
1	M18	1	207121.8906	3230885.5783
1	F31	1	209625.7336	3230083.5326
1	F31	1	209482.7216	3230007.2404
1	F33	1	209181.1397	3230091.2049
1	M13	1	208786.5113	3229746.2523
1	M11	1	209002.6063	3231016.5734
1	M11	1	209161.6553	3231624.4128
1	M20	1	213517.1870	3231734.3624
1	M13	1	212670.0367	3232881.4955
1	F33	1	208171.4764	3233967.9880
1	M13	1	211317.2496	3235388.6866
1	M13	1	212093.7501	3235901.5075
1	M18	1	212263.5665	3236021.7084
1	M13	1	213323.6907	3236336.7975
1	M28	1	195766.1039	3227151.3836
1	M08	1	177525.1394	3201424.1228
1	M03	1	171550.0208	3201807.1391
1	F05	1	171500.7820	3201784.9488
1	M03	1	171291.7150	3201800.2005
1	F05	1	174160.5407	3202047.9030
1	M03	1	173760.5444	3202006.4916
1	M03	1	176301.2004	3200909.9483
1	M03	1	170810.3342	3201706.8509
1	F05	1	170309.0549	3201581.2505
1	M03	1	169903.3919	3201551.8235
1	M03	1	172853.4764	3201896.6629
1	M08	1	182565.1795	3196683.4343
1	F09	1	187083.4087	3185593.4110
1	F02	1	195904.1504	3193079.6051
1	M26	1	196706.2084	3193538.3635
1	F09	1	196912.5171	3193488.0254
1	M14	1	198170.7917	3193426.2619
1	F02	1	197342.8528	3193705.1816
1	F02	1	197098.2205	3194102.8756
1	F07	1	205984.7867	3175772.0992
1	M04	1	205463.0781	3176394.6812
1	M27	1	205259.4715	3177787.9401
1	F07	1	204528.5494	3179740.1247
1	M04	1	204923.7262	3179005.8700
1	M29	1	203735.0845	3181734.4125
1	F07	1	202140.7348	3182122.0879
1	F07	1	204028.8898	3183097.1130
1	F07	1	204099.6941	3183420.0114
1	M04	1	203840.7418	3184168.4040
1	F07	1	204229.7719	3180923.0102
1	M04	1	204288.1127	3180528.1035
1	M04	1	203881.3302	3180036.0746
1	F34	1	212695.8186	3175821.6419
1	M06	1	216803.2545	3175396.9710
1	M06	1	218904.9037	3173435.9769
1	F10	1	229795.9108	3176019.1535
1	F32	1	229929.2526	3176181.7423
1	F10	1	230032.6345	3176414.7340
1	M01	1	230498.7934	3177029.8806
1	M01	1	231459.6895	3177273.1627
1	M01	1	229621.3638	3174321.1778
1	M01	1	232764.1134	3180239.3535
1	M01	1	232644.4411	3180135.6025
1	M01	1	233752.3198	3179244.0198
1	M22	1	233235.9313	3185172.1411
1	M21	1	232970.5977	3186160.3095
1	M16	1	233443.1958	3185826.8067
1	M19	1	226424.3573	3211554.4003
1	M19	1	227354.4517	3211522.7126
1	M23	1	253381.4090	3175250.5644
1	M23	1	269238.5369	3172410.0404
1	F24	1	267894.6780	3172816.6711
1	F30	1	216124.5838	3232155.3126
1	F30	1	215687.9692	3231495.0763
1	F33	1	215334.5677	3231598.1681
1	M11	1	219702.5051	3232598.6377
1	F17	1	226376.1482	3180715.0622
1	F12	1	226312.6839	3180545.2523
1	F12	1	226255.5283	3180087.7795
1	F12	1	225998.3401	3180021.6489
1	F34	1	225116.2466	3184500.4650
1	F17	1	223969.8586	3186638.4014
1	M16	1	225731.6741	3184030.2977
1	F25	1	190595.2467	3209528.4942
1	M15	1	190491.6386	3209294.1385
1	M15	1	190332.8892	3208870.0372
