FID,Field1,x,y,Rgd,Alt
0,1071,321262.527200000010000,3123250.080999999800000,45.9086990,4368.0000000
1,1289,318262.527200000010000,3124250.080999999800000,54.9175987,3200.0000000
2,1290,319262.527200000010000,3124250.080999999800000,52.3357010,3436.0000000
3,1291,320262.527200000010000,3124250.080999999800000,55.4756012,3771.0000000
4,1292,321262.527200000010000,3124250.080999999800000,51.4916992,4545.0000000
5,1293,322262.527200000010000,3124250.080999999800000,40.0764008,4511.0000000
6,1505,313262.527200000010000,3125250.080999999800000,61.8470001,3251.0000000
7,1506,314262.527200000010000,3125250.080999999800000,61.0587006,3468.0000000
8,1507,315262.527200000010000,3125250.080999999800000,57.7276001,3572.0000000
9,1508,316262.527200000010000,3125250.080999999800000,50.4570999,2985.0000000
10,1509,317262.527200000010000,3125250.080999999800000,47.0424995,2942.0000000
11,1510,318262.527200000010000,3125250.080999999800000,52.1365013,3004.0000000
12,1511,319262.527200000010000,3125250.080999999800000,57.4438019,3211.0000000
13,1512,320262.527200000010000,3125250.080999999800000,57.3940010,3666.0000000
14,1513,321262.527200000010000,3125250.080999999800000,50.8544006,4312.0000000
15,1514,322262.527200000010000,3125250.080999999800000,41.9547005,4788.0000000
16,1515,323262.527200000010000,3125250.080999999800000,40.2718010,4652.0000000
17,1516,324262.527200000010000,3125250.080999999800000,39.3190994,5133.0000000
18,1722,309262.527200000010000,3126250.080999999800000,63.3774986,3378.0000000
19,1723,310262.527200000010000,3126250.080999999800000,70.0623016,3041.0000000
20,1725,312262.527200000010000,3126250.080999999800000,66.5037003,2847.0000000
21,1726,313262.527200000010000,3126250.080999999800000,58.7979012,3557.0000000
22,1727,314262.527200000010000,3126250.080999999800000,58.0726013,3908.0000000
23,1728,315262.527200000010000,3126250.080999999800000,56.0227013,3858.0000000
24,1729,316262.527200000010000,3126250.080999999800000,47.9599991,3413.0000000
25,1730,317262.527200000010000,3126250.080999999800000,42.3111992,3295.0000000
26,1731,318262.527200000010000,3126250.080999999800000,54.5517006,3141.0000000
27,1732,319262.527200000010000,3126250.080999999800000,58.5592003,3812.0000000
28,1733,320262.527200000010000,3126250.080999999800000,57.2711983,4063.0000000
29,1734,321262.527200000010000,3126250.080999999800000,53.9104004,4638.0000000
30,1735,322262.527200000010000,3126250.080999999800000,45.4757996,4971.0000000
31,1736,323262.527200000010000,3126250.080999999800000,35.2939987,5052.0000000
32,1737,324262.527200000010000,3126250.080999999800000,35.8988991,5136.0000000
33,1738,325262.527200000010000,3126250.080999999800000,43.4842987,4820.0000000
34,1940,306262.527200000010000,3127250.080999999800000,53.6813011,4429.0000000
35,1941,307262.527200000010000,3127250.080999999800000,45.8754005,4548.0000000
36,1942,308262.527200000010000,3127250.080999999800000,47.5345993,4238.0000000
37,1943,309262.527200000010000,3127250.080999999800000,55.3651009,3973.0000000
38,1944,310262.527200000010000,3127250.080999999800000,65.7514038,3527.0000000
39,1945,311262.527200000010000,3127250.080999999800000,69.1996994,2994.0000000
40,1946,312262.527200000010000,3127250.080999999800000,62.4373016,2775.0000000
41,1947,313262.527200000010000,3127250.080999999800000,57.7790985,3129.0000000
42,1948,314262.527200000010000,3127250.080999999800000,55.7779007,3795.0000000
43,1949,315262.527200000010000,3127250.080999999800000,56.2436981,4430.0000000
44,1950,316262.527200000010000,3127250.080999999800000,57.6108017,4037.0000000
45,1951,317262.527200000010000,3127250.080999999800000,52.1725006,3745.0000000
46,1952,318262.527200000010000,3127250.080999999800000,54.3252983,3758.0000000
47,1953,319262.527200000010000,3127250.080999999800000,56.1530991,4006.0000000
48,1954,320262.527200000010000,3127250.080999999800000,51.7125015,4568.0000000
49,1955,321262.527200000010000,3127250.080999999800000,55.6563988,4831.0000000
50,1956,322262.527200000010000,3127250.080999999800000,50.8573990,5246.0000000
51,1957,323262.527200000010000,3127250.080999999800000,42.8526001,5351.0000000
52,1958,324262.527200000010000,3127250.080999999800000,41.4422989,5385.0000000
53,1959,325262.527200000010000,3127250.080999999800000,43.8180008,4945.0000000
54,1960,326262.527200000010000,3127250.080999999800000,50.5573997,4410.0000000
55,1961,327262.527200000010000,3127250.080999999800000,60.3105011,3628.0000000
56,2157,302262.527200000010000,3128250.080999999800000,53.6436005,3683.0000000
57,2158,303262.527200000010000,3128250.080999999800000,52.4677010,3782.0000000
58,2159,304262.527200000010000,3128250.080999999800000,53.5186996,4088.0000000
59,2160,305262.527200000010000,3128250.080999999800000,50.5364990,4146.0000000
60,2161,306262.527200000010000,3128250.080999999800000,47.7570000,4549.0000000
61,2162,307262.527200000010000,3128250.080999999800000,38.8947983,4508.0000000
62,2163,308262.527200000010000,3128250.080999999800000,35.0517006,4223.0000000
63,2164,309262.527200000010000,3128250.080999999800000,50.4915009,4019.0000000
64,2165,310262.527200000010000,3128250.080999999800000,67.1230011,3455.0000000
65,2166,311262.527200000010000,3128250.080999999800000,66.6276016,3364.0000000
66,2167,312262.527200000010000,3128250.080999999800000,54.8097992,2796.0000000
67,2168,313262.527200000010000,3128250.080999999800000,52.2938004,3286.0000000
68,2169,314262.527200000010000,3128250.080999999800000,51.4850998,3767.0000000
69,2170,315262.527200000010000,3128250.080999999800000,47.1082993,4197.0000000
70,2171,316262.527200000010000,3128250.080999999800000,48.3026009,4540.0000000
71,2172,317262.527200000010000,3128250.080999999800000,49.0525017,4414.0000000
72,2173,318262.527200000010000,3128250.080999999800000,52.1442986,4243.0000000
73,2174,319262.527200000010000,3128250.080999999800000,52.2526016,4510.0000000
74,2175,320262.527200000010000,3128250.080999999800000,47.8656998,4827.0000000
75,2176,321262.527200000010000,3128250.080999999800000,52.0519981,5151.0000000
76,2177,322262.527200000010000,3128250.080999999800000,52.6971016,5629.0000000
77,2178,323262.527200000010000,3128250.080999999800000,46.6416016,5521.0000000
