#PolyID	X	Y	Usage	/	Topography	Habitats	Altitude
T001	218332.7362	3237204.051	1965.53	/	Valleybott	GLSC	4706.8
T001	218244.1444	3237319.491	1965.53	/	Valleybott	GLSC	4706.8
T001	218141.4466	3237702.701	1965.53	/	Valleybott	GLSC	4706.8
T001	218132.2708	3237836.839	1965.53	/	Valleybott	GLSC	4706.8
T001	218037.8643	3237993.171	1965.53	/	Valleybott	GLSC	4706.8
T001	217882.9952	3238169.563	1965.53	/	Valleybott	GLSC	4706.8
T001	217782.8004	3238297.41	1965.53	/	Valleybott	GLSC	4706.8
T001	217709.8627	3238465.721	1965.53	/	Valleybott	GLSC	4706.8
T001	217675.6472	3238725.112	1965.53	/	Valleybott	GLSC	4706.8
T002	218103.8445	3239851.824	422.75	/	Lstrailopen	Grassland	4777.2
T002	218064.7073	3239843.392	422.75	/	Lstrailopen	Grassland	4777.2
T002	217952.9581	3239866.302	422.75	/	Lstrailopen	Grassland	4777.2
T002	217930.6186	3239910.857	422.75	/	Lstrailopen	Grassland	4777.2
T002	217920.2711	3239997.406	422.75	/	Lstrailopen	Grassland	4777.2
T002	217916.9117	3240031.96	422.75	/	Lstrailopen	Grassland	4777.2
T002	217850.1651	3240013.048	422.75	/	Lstrailopen	Grassland	4777.2
T003	218693.6537	3240877.703	928.65	/	Valleybott	Grassland	4819.5
T003	218626.6752	3240765.682	928.65	/	Valleybott	Grassland	4819.5
T003	218563.8004	3240713.481	928.65	/	Valleybott	Grassland	4819.5
T003	218353.6865	3240582.537	928.65	/	Valleybott	Grassland	4819.5
T003	218167.809	3240469.053	928.65	/	Valleybott	Grassland	4819.5
T003	218022.2182	3240387.585	928.65	/	Valleybott	Grassland	4819.5
T003	217965.4127	3240355.443	928.65	/	Valleybott	Grassland	4819.5
T004	217273.8761	3242469.838	2180.59	/	Valleybott	Grassland	4842.7
T004	217359.7582	3242397.241	2180.59	/	Valleybott	Grassland	4842.7
T004	217582.2169	3242208.202	2180.59	/	Valleybott	Grassland	4842.7
