#PolyID,X,Y,Usage,/,Topography,Habitats,Altitude,Start,Stop,,
B1_T1,218332.7362,3237204.051,1965.53,/,Valley bottom ,"Grassland, Scrubland",4706.8,CHANGE,,1,001
B1_T1,218296.4692,3237256.305,-,/,-,-,-,,,1,001
B1_T1,218262.4409,3237291.886,-,/,-,-,-,,,1,001
B1_T1,218244.1444,3237319.491,-,/,-,-,-,,,1,001
B1_T1,218206.6839,3237439.208,-,/,-,-,-,,,1,001
B1_T1,218181.1851,3237488.536,-,/,-,-,-,,,1,001
B1_T1,218176.84,3237509.389,-,/,-,-,-,,,1,001
B1_T1,218149.9273,3237559.245,-,/,-,-,-,,,1,001
B1_T1,218149.311,3237591.694,-,/,-,-,-,,,1,001
B1_T1,218137.8835,3237616.702,-,/,-,-,-,,,1,001
B1_T1,218132.3811,3237638.904,-,/,-,-,-,,,1,001
B1_T1,218141.4466,3237702.701,-,/,-,-,-,,,1,001
B1_T1,218154.8325,3237739.714,-,/,-,-,-,,,1,001
B1_T1,218157.0177,3237761.121,-,/,-,-,-,,,1,001
B1_T1,218145.9012,3237806.272,-,/,-,-,-,,,1,001
B1_T1,218132.2708,3237836.839,-,/,-,-,-,,,1,001
B1_T1,218126.6439,3237866.195,-,/,-,-,-,,,1,001
B1_T1,218135.2069,3237908.366,-,/,-,-,-,,,1,001
B1_T1,218146.7564,3237937.418,-,/,-,-,-,,,1,001
B1_T1,218142.2359,3237958.089,-,/,-,-,-,,,1,001
B1_T1,218109.0844,3238011.522,-,/,-,-,-,,,1,001
B1_T1,218089.4704,3238016.471,-,/,-,-,-,,,1,001
B1_T1,218077.7945,3238015.597,-,/,-,-,-,,,1,001
B1_T1,218037.8643,3237993.171,-,/,-,-,-,,,1,001
B1_T1,218002.1645,3237997.338,-,/,-,-,-,,,1,001
B1_T1,217962.7837,3238009.629,-,/,-,-,-,,,1,001
B1_T1,217929.33,3238056.086,-,/,-,-,-,,,1,001
B1_T1,217901.1593,3238087.312,-,/,-,-,-,,,1,001
B1_T1,217882.9952,3238169.563,-,/,-,-,-,,,1,001
B1_T1,217866.991,3238221.79,-,/,-,-,-,,,1,001
B1_T1,217837.5355,3238252.155,-,/,-,-,-,,,1,001
B1_T1,217809.0537,3238268.492,-,/,-,-,-,,,1,001
B1_T1,217793.1853,3238289.965,-,/,-,-,-,,,1,001
B1_T1,217782.8004,3238297.41,-,/,-,-,-,,,1,001
B1_T1,217745.0389,3238366.441,-,/,-,-,-,,,1,001
B1_T1,217741.807,3238387.406,-,/,-,-,-,,,1,001
B1_T1,217720.7287,3238422.743,-,/,-,-,-,,,1,001
B1_T1,217709.8627,3238465.721,-,/,-,-,-,,,1,001
B1_T1,217678.7396,3238520.556,-,/,-,-,-,,,1,001
B1_T1,217676.9322,3238560.158,-,/,-,-,-,,,1,001
B1_T1,217679.7465,3238585.52,-,/,-,-,-,,,1,001
B1_T1,217673.7151,3238636.98,-,/,-,-,-,,,1,001
B1_T1,217675.6472,3238725.112,-,/,-,-,-,,,1,001
B1_T1,217679.8513,3238742.062,-,/,-,-,-,,,1,001
B1_T1,217678.6647,3238762.949,-,/,-,-,-,,,1,001
B1_T1,217651.7537,3238843.232,-,/,-,-,-,CHANGE,,1,001
