#PolyID,X,Y,Usage ,/,Topography,Habitats,Altitude
1,218332.7362,3237204.051,1965.65,/,Valley_bottom,Grassland_Scrubland,4706.84
1,218262.4409,3237291.886,-,/,-,-,-
1,218206.6839,3237439.208,-,/,-,-,-
1,218176.84,3237509.389,-,/,-,-,-
1,218149.311,3237591.694,-,/,-,-,-
1,218132.3811,3237638.904,-,/,-,-,-
1,218154.8325,3237739.714,-,/,-,-,-
1,218156.0851,3237770.238,-,/,-,-,-
1,218132.2708,3237836.839,-,/,-,-,-
1,218135.2069,3237908.366,-,/,-,-,-
1,218142.2358,3237958.089,-,/,-,-,-
1,218089.4704,3238016.471,-,/,-,-,-
1,218037.8643,3237993.171,-,/,-,-,-
1,217962.7837,3238009.629,-,/,-,-,-
1,217901.1593,3238087.312,-,/,-,-,-
1,217866.9911,3238221.79,-,/,-,-,-
1,217809.0538,3238268.492,-,/,-,-,-
1,217782.8004,3238297.41,-,/,-,-,-
1,217741.8071,3238387.406,-,/,-,-,-
1,217709.8628,3238465.721,-,/,-,-,-
1,217676.9322,3238560.158,-,/,-,-,-
1,217673.7152,3238636.98,-,/,-,-,-
1,217675.6473,3238725.112,-,/,-,-,-
1,217678.6648,3238762.949,-,/,-,-,-
2,218103.8445,3239851.824,422.75,/,Livestock_trail_Open,Grassland ,4777.2
2,218064.7073,3239843.393,-,/,-,-,-
2,217996.764,3239837.06,-,/,-,-,-
2,217952.9581,3239866.302,-,/,-,-,-
2,217924.8901,3239908.051,-,/,-,-,-
2,217932.7939,3239942.373,-,/,-,-,-
2,217920.2711,3239997.406,-,/,-,-,-
2,217912.2301,3240038.167,-,/,-,-,-
2,217865.1675,3240026.445,-,/,-,-,-
3,218693.6537,3240877.703,928.65,/,Valley_bottom,Grassland ,4819.5
3,218663.2101,3240825.657,-,/,-,-,-
3,218626.6752,3240765.682,-,/,-,-,-
3,218563.8004,3240713.481,-,/,-,-,-
3,218484.5388,3240657.427,-,/,-,-,-
3,218428.7925,3240646.559,-,/,-,-,-
3,218353.6865,3240582.536,-,/,-,-,-
3,218300.7695,3240535.456,-,/,-,-,-
3,218200.8911,3240503.718,-,/,-,-,-
3,218167.809,3240469.053,-,/,-,-,-
3,218049.0905,3240394.052,-,/,-,-,-
3,217965.4127,3240355.443,-,/,-,-,-
4,217273.8762,3242469.838,2180.61,/,Valley_bottom,Grassland ,4841.7
4,217359.7582,3242397.241,-,/,-,-,-
4,217411.8392,3242350.764,-,/,-,-,-
4,217465.0234,3242315.204,-,/,-,-,-
4,217560.6004,3242225.114,-,/,-,-,-
4,217602.0537,3242198.736,-,/,-,-,-
4,217632.5563,3242166.047,-,/,-,-,-
4,217644.7885,3242139.902,-,/,-,-,-
4,217691.7072,3242055.494,-,/,-,-,-
4,217787.8385,3241959.655,-,/,-,-,-
4,217837.9798,3241890.047,-,/,-,-,-
4,217886.4112,3241829.054,-,/,-,-,-
4,217924.8861,3241687.409,-,/,-,-,-
4,217973.5133,3241540.854,-,/,-,-,-
4,218019.5989,3241419.33,-,/,-,-,-
4,218028.6611,3241314.225,-,/,-,-,-
4,218059.6689,3241251.099,-,/,-,-,-
4,218085.6937,3241208.637,-,/,-,-,-
4,218084.5617,3241081.997,-,/,-,-,-
4,218065.2989,3241034.763,-,/,-,-,-
4,218024.9464,3240938.637,-,/,-,-,-
4,217981.6723,3240880.923,-,/,-,-,-
4,217931.891,3240812.341,-,/,-,-,-
4,217940.8728,3240762.863,-,/,-,-,-
4,217920.7579,3240714.841,-,/,-,-,-
4,217925.3472,3240648.343,-,/,-,-,-
5,217597.9901,3243999.138,1867.88,/,Valley_bottom,Grassland ,5009.51
5,217584.1752,3243981.488,-,/,-,-,-
5,217571.0281,3243948.395,-,/,-,-,-
5,217518.1971,3243888.298,-,/,-,-,-
5,217479.1927,3243847.311,-,/,-,-,-
5,217424.5597,3243812.804,-,/,-,-,-
5,217360.4464,3243783.553,-,/,-,-,-
5,217330.2261,3243773.611,-,/,-,-,-
5,217271.6348,3243781.224,-,/,-,-,-
5,217208.4972,3243781.39,-,/,-,-,-
