#PolyID,X,Y,Usage ,/,Topography,Habitats,Altitude
B1_T1,218332.73623,3237204.05144,1965.65,/,Valley bottom,Grassland_Scrubland,4706.84
B1_T1,218262.44093,3237291.88594,-,/,-,-,-
B1_T1,218206.68393,3237439.20787,-,/,-,-,-
B1_T1,218176.84002,3237509.38876,-,/,-,-,-
B1_T1,218149.31098,3237591.69383,-,/,-,-,-
B1_T1,218132.38114,3237638.90379,-,/,-,-,-
B1_T1,218154.83245,3237739.71358,-,/,-,-,-
B1_T1,218156.08513,3237770.23816,-,/,-,-,-
B1_T1,218132.27082,3237836.83893,-,/,-,-,-
B1_T1,218135.20690,3237908.36638,-,/,-,-,-
B1_T1,218142.23584,3237958.08937,-,/,-,-,-
B1_T1,218089.47040,3238016.47062,-,/,-,-,-
B1_T1,218037.86433,3237993.17137,-,/,-,-,-
B1_T1,217962.78373,3238009.62906,-,/,-,-,-
B1_T1,217901.15928,3238087.31167,-,/,-,-,-
B1_T1,217866.99108,3238221.79013,-,/,-,-,-
B1_T1,217809.05382,3238268.49168,-,/,-,-,-
B1_T1,217782.80043,3238297.41034,-,/,-,-,-
B1_T1,217741.80712,3238387.40592,-,/,-,-,-
B1_T1,217709.86281,3238465.72137,-,/,-,-,-
B1_T1,217676.93224,3238560.15757,-,/,-,-,-
B1_T1,217673.71520,3238636.98002,-,/,-,-,-
B1_T1,217675.64726,3238725.11232,-,/,-,-,-
B1_T1,217678.66481,3238762.94859,-,/,-,-,-
B1_T2,218103.84449,3239851.82428,422.75,/,Livestock trail_Open,Grassland ,4777.20
B1_T2,218064.70726,3239843.39250,-,/,-,-,-
B1_T2,217996.76400,3239837.05994,-,/,-,-,-
B1_T2,217952.95805,3239866.30187,-,/,-,-,-
B1_T2,217924.89006,3239908.05138,-,/,-,-,-
B1_T2,217932.79392,3239942.37254,-,/,-,-,-
B1_T2,217920.27111,3239997.40608,-,/,-,-,-
B1_T2,217912.23012,3240038.16656,-,/,-,-,-
B1_T2,217865.16745,3240026.44488,-,/,-,-,-
