#Session,ID,Occasion,Detector,Sex
1,Siri,1,SLT003,NA
1,Gina,1,SLT006,NA
1,Arnica,1,SLT006,NA
1,Arnica,1,SLT006,NA
1,Gina,1,SLT006,NA
1,Gina,1,SLT006,NA
1,Gina,1,SLT006,NA
1,Siri,1,SLT007,NA
1,Jen,1,SLT007,NA
1,Siri,1,SLT007,NA
1,Jen,1,SLT007,NA
1,Jen,1,SLT007,NA
1,Jen,1,SLT007,NA
1,Brad,1,SLT009,NA
1,Abi,1,SLT014,NA
1,Abi,1,SLT014,NA
1,Matt,1,SLT014,NA
1,Deborah,1,SLT015,NA
1,Kimberley,1,SLT015,NA
1,Brad,1,SLT015,NA
1,Brad,1,SLT015,NA
1,Abi,1,SLT018,NA
1,Matt,1,SLT018,NA
1,Matt,1,SLT019,NA
1,Marika,1,SLT020,NA
1,Matt,1,SLT020,NA
1,Antonia,1,SLT022,NA
1,Brad,1,SLT022,NA
1,Deborah,1,SLT022,NA
1,Brad,1,SLT022,NA
1,Antonia,1,SLT022,NA
1,Brad,1,SLT022,NA
1,Deborah,1,SLT022,NA
1,Deborah,1,SLT022,NA
1,Siri,1,SLT023,NA
1,Katie,1,SLT023,NA
1,Matt,1,SLT024,NA
1,Arnica,1,SLT024,NA
1,Matt,1,SLT024,NA
1,Marika,1,SLT025,NA
1,Gina,1,SLT025,NA
1,Arnica,1,SLT025,NA
1,Gina,1,SLT025,NA
1,Gina,1,SLT025,NA
1,Arnica,1,SLT025,NA
1,Gina,1,SLT025,NA
1,Gina,1,SLT025,NA
1,Gina,1,SLT025,NA
1,Gina,1,SLT025,NA
1,Matt,1,SLT033,NA
1,Abi,1,SLT033,NA
1,Matt,1,SLT033,NA
1,Siri,1,SLT034,NA
1,Siri,1,SLT034,NA
1,Matt,1,SLT035,NA
1,Matt,1,SLT035,NA
1,Matt,1,SLT035,NA
1,Matt,1,SLT035,NA
1,Kimberley,1,SLT037,NA
1,Deborah,1,SLT037,NA
1,Katie,1,SLT040,NA
1,Siri,1,SLT040,NA
1,Kimberley,1,SLT040,NA
1,Siri,1,SLT041,NA
1,Jen,1,SLT041,NA
1,Siri,1,SLT041,NA
1,Brad,1,SLT102,NA
1,Brad,1,SLT102,NA
1,Siri,1,SLT103,NA
1,Matt,1,SLT103,NA
1,Scarface,1,SLT103,NA
1,Siri,1,SLT104,NA
1,Brad,1,SLT104,NA
1,Siri,1,SLT105a,NA
1,Brad,1,SLT105,NA
1,Katie,1,SLT105,NA
1,Brad,1,SLT105,NA
1,Brad,1,SLT105,NA
1,Matt,1,SLT107,NA
1,Matt,1,SLT107,NA
1,Arnica,1,SLT108,NA
1,Amber,1,SLT108,NA
1,Matt,1,SLT108,NA
1,Amber,1,SLT108,NA
1,Matt,1,SLT108,NA
