#ID,X,Y,Effort,/,Topo,Substrate,Brokenness,Rgd,Water
SLT035,704393.7885,4778480.042,91,/,Saddle,Stone,3,20.2147007,No
SLT027,746665.2259,4779338.501,88,/,Saddle,Soil,2,8.3117304,No
SLT033,735886.8731,4788699.351,88,/,Canyon,Soil,4,7.48174,No
SLT107,722714.1753,4792665.671,89,/,Saddle,Stones,3,11.6861,No
SLT108,713576.2115,4786070.534,90,/,Saddle,Stones,3,12.2320004,No
SLT024,718003.3436,4784187.073,88,/,Saddle,Soil,3,11.9937,No
SLT020,707048.1213,4787718.371,87,/,Saddle,Stones,2,16.0562,No
SLT016,727458.2659,4783012.233,91,/,Saddle,Soil,2,8.3252401,No
SLT006,716211.3914,4794681.175,90,/,Saddle,gravel,3,12.8013,No
SLT025,711104.4206,4795797.736,90,/,Saddle,stones,3,14.2848997,No
SLT037,730140.7825,4773841.843,90,/,Saddle,gravel,1,7.4882698,No
SLT105a,734906.0466,4774184.605,90,/,Saddle,stones,4,3.3761499,No
SLT041,739874.9413,4768407.162,90,/,Saddle,stones,4,4.9391999,No
SLT040,730601.4814,4770396.3,92,/,Saddle,Soil,3,10.6897001,No
SLT022,727135.9548,4775983.803,89,/,Saddle,Stones,1,6.8218598,No
SLT009,723394.5992,4775473.289,90,/,Saddle,gravel,2,12.0167999,No
SLT019,754660.3703,4776247.751,88,/,Saddle,gravel,4,10.4362001,No
SLT039,755857.543,4770054.178,90,/,Saddle,stones,3,11.9169998,No
SLT023,748101.7307,4775107.049,90,/,Saddle,soil,2,4.74156,No
SLT104,733896.9835,4770075.837,91,/,Saddle,gravel,3,8.1658096,No
SLT015,726962.225,4771825.377,91,/,Canyon,Soil,4,13.7279997,No
SLT034,751521.1546,4773001.498,91,/,Saddle,soil,4,7.4780598,No
SLT105,746380.5287,4771307.498,91,/,Saddle,gravel,4,5.0511799,No
SLT007,743015.6772,4774133.74,80,/,Canyon,stones,4,3.33741,yes
SLT003,740612.6011,4778983.449,92,/,Saddle,stones,2,6.5189199,yes
SLT102,732335.147,4779440.627,92,/,Canyon,soil,4,5.5848699,yes
SLT014,729558.4683,4790274.614,93,/,Saddle,Soil,2,8.5665903,No
SLT103,742343.583,4790670.932,92,/,Saddle,stones,2,9.16782,No
SLT018,737404.9225,4790596.352,93,/,Canyon,soil,4,8.3662004,No
NoyonA1,692234.24,4794440.855,90,/,Steppe,Soil,1,6,No
