#Session,ID,Occasion,Detector
1,1,1,5
1,1,1,7
1,1,1,7
1,2,1,1
1,2,1,2
1,3,1,1
1,4,1,2
1,5,1,2
1,6,1,1
1,7,1,1
1,7,1,2
1,7,1,7
1,7,1,7
1,8,1,1
2,4,1,23
2,4,1,36
2,9,1,54
2,9,1,54
2,9,1,36
2,2,1,54
2,2,1,56
2,2,1,82
2,2,1,36
2,10,1,63
2,10,1,36
2,11,1,49
2,11,1,49
2,12,1,56
2,13,1,54
2,13,1,56
2,14,1,58
2,15,1,58
2,16,1,72
2,17,1,77
2,18,1,78
2,19,1,78
2,20,1,80
2,21,1,84
3,22,1,131
3,22,1,122
3,22,1,118
3,23,1,125
3,24,1,132
3,24,1,127
3,25,1,127
4,26,1,180
4,26,1,142
4,26,1,169
4,26,1,140
4,26,1,142
4,26,1,174
4,26,1,187
4,26,1,142
4,26,1,169
4,26,1,168
4,27,1,160
4,27,1,149
4,27,1,149
4,27,1,145
4,28,1,174
4,28,1,181
4,28,1,180
4,28,1,190
4,30,1,170
4,30,1,190
5,31,1,225
5,31,1,219
5,31,1,206
5,31,1,229
5,31,1,229
5,31,1,229
5,31,1,223
5,33,1,200
5,33,1,196
5,34,1,219
5,34,1,226
5,34,1,229
5,34,1,219
5,34,1,226
5,34,1,228
5,34,1,229
5,34,1,226
5,34,1,229
5,34,1,229
5,34,1,196
5,34,1,223
5,34,1,219
5,34,1,223
5,34,1,229
5,34,1,229
5,34,1,211
9,38,1,360
10,39,1,375
11,40,1,428
12,41,1,438
12,42,1,442
12,43,1,466
