LOC_ID,Trap_ID,Area,Session,Station_ID,Year,Setup Date,Take Down Date,Camera Trype,Lure,X_Coord,Y_Coord,x_Coord (m),y_Coord (m),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,No. of Active days,,LURE TYPE,HABITAT,TERRAIN,Habitat_2,Terrain_2
1,1,KNP_2010,1,KNP04_SLF05,2010,4-Dec-10,3-Jan-11,Reconyx,yes,75.03582,36.87077,503193,4080537,1+U2P2:V2CD1P2:S2CDP2:W2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,fish+skunk,Stream bed,,scrub,draw
2,2,KNP_2010,1,KNP04_SLF02,2010,4-Dec-10,3-Jan-11,Reconyx,no,75.03044,36.8615,502713,4079509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,none,Stream bed/Forest,,forest,draw
3,3,KNP_2010,1,KNP11_SLF03,2010,5-Dec-10,3-Jan-11,Reconyx,no,75.29762,36.84535,526535,4077758,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,none,Stream bed,,barren,draw
4,4,KNP_2010,1,KNP11_SLF06,2010,5-Dec-10,3-Jan-11,Reconyx,yes,75.2874,36.83177,525628,4076249,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,fish+castor,Grassland,,pasture,ridge
5,5,KNP_2010,1,KNP01_SLF01,2010,6-Dec-10,3-Jan-11,Reconyx,no,74.95966,36.86993,496405,4080444,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,none,Grassland,,pasture,ridge
6,6,KNP_2010,1,KNP01_SLT10,2010,6-Dec-10,3-Jan-11,Cam Trekker,yes,74.9988,36.86357,499893,4079738,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,fish+castor,Forest,,forest,draw
7,7,KNP_2010,1,KNP01_SLF04,2010,6-Dec-10,3-Jan-11,Reconyx,no,74.95912,36.88739,496357,4082381,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,none,Valley (Stream bed),,pasture,draw
8,8,KNP_2010,1,KNP03_SLT27,2010,7-Dec-10,3-Jan-11,Cam Trekker,yes,75.03206,36.85764,502858,4079081,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,fish+skunk,Grassland,,pasture,ridge
9,9,KNP_2010,1,KNP07_SLT47,2010,7-Dec-10,3-Jan-11,Cam Trekker,no,75.13404,36.86558,511947,4079969,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,none,Grassland,,pasture,ridge
10,10,KNP_2010,1,KNP08_SLT08,2010,7-Dec-10,3-Jan-11,Cam Trekker,yes,75.16695,36.8812,514878,4081707,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,Scrub+stream bed,,scrub,draw
