#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain,Site
11,508740,4095458,10,/,Reconyx,no,none,Pasture,draw,KNP_2011
12,499804,4089899,10,/,Reconyx,yes,Castor,Pasture,ridge,KNP_2011
13,503482,4092938,11,/,Reconyx,no,none,Pasture,draw,KNP_2011
14,502425,4091159,11,/,Reconyx,yes,Castor,Pasture,Cliff_base,KNP_2011
15,501809,4089965,10,/,Reconyx,no,none,Pasture,draw,KNP_2011
16,509578,4094619,10,/,Reconyx,yes,Skunk,Pasture,valley_plateau,KNP_2011
17,513605,4091991,10,/,Reconyx,yes,Castor,Pasture,draw,KNP_2011
18,511632,4093254,10,/,Reconyx,yes,Castor,Pasture,Cliff_base,KNP_2011
19,515103,4091091,10,/,Reconyx,yes,Castor,Pasture,draw,KNP_2011
20,515978,4090649,10,/,Reconyx,no,none,Pasture,ridge,KNP_2011
21,501417,4086884,11,/,Reconyx,yes,Skunk,Scrub,draw,KNP_2011
22,500913,4089356,11,/,Reconyx,yes,Castor,Pasture,draw,KNP_2011
23,501451,4087920,10,/,Reconyx,yes,Skunk,Pasture,valley,KNP_2011
24,512923,4086489,11,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
25,513487,4085534,11,/,Reconyx,no,none,Pasture,ridge,KNP_2011
26,516967,4088127,10,/,Reconyx,yes,Skunk,Pasture,valley_draw,KNP_2011
27,518601,4085928,10,/,Reconyx,no,none,Pasture,ridge,KNP_2011
28,522258,4086920,10,/,Reconyx,yes,Castor,Pasture,ridge,KNP_2011
29,520872,4086214,10,/,Reconyx,no,none,Pasture,ridge,KNP_2011
30,528457,4088641,10,/,Reconyx,no,none,Pasture,ridge,KNP_2011
31,526649,4089176,10,/,Reconyx,yes,Skunk,barren,ridge_draw,KNP_2011
32,496367,4080390,10,/,Reconyx,yes,Castor,Scrub,ridge_draw,KNP_2011
33,496768,4082038,10,/,Reconyx,no,none,Forest,Cliff_base,KNP_2011
34,503198,4080526,10,/,Reconyx,no,none,Scrub,draw,KNP_2011
35,502802,4083215,10,/,Reconyx,no,none,Scrub,draw,KNP_2011
36,503128,4081838,10,/,Reconyx,no,none,Scrub,draw,KNP_2011
37,507476,4080955,10,/,Reconyx,yes,Skunk,Scrub,Cliff_base_draw,KNP_2011
38,507551,4079789,10,/,Reconyx,yes,Castor,barren,Cliff_base,KNP_2011
39,514212,4084748,11,/,Reconyx,no,none,Pasture,ridge,KNP_2011
40,514905,4084037,11,/,Reconyx,yes,Skunk,barren,ridge,KNP_2011
41,512041,4080693,10,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
42,517867,4084272,10,/,Reconyx,yes,Skunk,barren,ridge,KNP_2011
43,517087,4083622,10,/,Reconyx,yes,Castor,Pasture,ridge,KNP_2011
44,515111,4082053,10,/,Reconyx,yes,Castor,Scrub,draw,KNP_2011
45,524138,4084874,10,/,Reconyx,yes,Castor,barren,ridge,KNP_2011
46,525664,4080107,11,/,Reconyx,no,none,barren,draw,KNP_2011
47,525892,4080691,11,/,Reconyx,yes,Castor,barren,ridge,KNP_2011
48,487349,4075229,10,/,Reconyx,no,none,Pasture,draw,KNP_2011
49,487894,4076545,10,/,Reconyx,yes,Castor,Scrub,draw,KNP_2011
50,496902,4079630,10,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
51,499304,4079254,10,/,Reconyx,yes,Skunk,Scrub,valley_draw,KNP_2011
52,496106,4074695,10,/,Reconyx,no,none,Pasture,saddle,KNP_2011
53,502517,4078950,10,/,Reconyx,yes,Skunk,Scrub,ridge,KNP_2011
54,501743,4077085,10,/,Reconyx,yes,Castor,Pasture,ridge,KNP_2011
55,507683,4079046,10,/,Reconyx,no,none,Scrub,ridge,KNP_2011
56,507169,4077317,10,/,Reconyx,yes,Castor,Pasture,ridge,KNP_2011
57,509693,4079739,10,/,Reconyx,no,none,Pasture,draw,KNP_2011
58,512455,4079178,10,/,Reconyx,no,none,Forest,draw,KNP_2011
59,513732,4077251,10,/,Reconyx,yes,Skunk,Pasture,draw,KNP_2011
60,516886,4078104,12,/,Reconyx,yes,Skunk,Scrub,ridge,KNP_2011
61,517330,4076574,12,/,Reconyx,yes,Castor,Pasture,Cliff_base,KNP_2011
62,517653,4077984,10,/,Reconyx,yes,Castor,Pasture,draw,KNP_2011
63,522558,4077367,11,/,Reconyx,no,none,Pasture,ridge,KNP_2011
64,521480,4077186,11,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
65,526969,4078321,10,/,Reconyx,yes,Castor,Pasture,draw,KNP_2011
66,525894,4076855,10,/,Reconyx,no,none,Pasture,Cliff_base,KNP_2011
67,532932,4077201,12,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
68,534271,4077647,12,/,Reconyx,yes,Castor,barren,draw,KNP_2011
69,535585,4078190,12,/,Reconyx,yes,Skunk,Pasture,PLATEAU,KNP_2011
70,536709,4078382,12,/,Reconyx,no,none,Pasture,PLATEAU,KNP_2011
71,488492,4070872,9,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
72,487666,4071707,10,/,Reconyx,yes,Castor,Scrub,draw,KNP_2011
73,487886,4070178,10,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
74,493255,4072433,11,/,Reconyx,yes,Skunk,Scrub,ridge_draw,KNP_2011
75,492144,4072897,11,/,Reconyx,yes,Castor,Pasture,ridge,KNP_2011
76,494628,4073677,10,/,Reconyx,no,none,Pasture,ridge_draw,KNP_2011
77,498366,4072024,11,/,Reconyx,yes,Skunk,Pasture,ridge,KNP_2011
78,499046,4071369,11,/,Reconyx,no,none,Scrub,ridge,KNP_2011
79,495065,4072569,10,/,Reconyx,yes,Castor,Pasture,draw,KNP_2011
