#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
711,486221.6445,3863381.004,11,/,Reconyx,no,none,Forest,Cliff_base
712,485570.4478,3868834.295,12,/,Reconyx,no,none,Forest,SADDLE
713,485926.0244,3869357.834,11,/,Reconyx,no,none,Forest,Cliff_base
714,486057.7307,3864077.451,11,/,Reconyx,no,none,Scrub,Cliff_base
715,490842.2695,3868424.043,11,/,Reconyx,no,none,Forest,RIDGE
716,499053.7907,3865798.045,11,/,Reconyx,no,none,Forest,DRAW
717,486085.5546,3863994.238,11,/,Reconyx,no,none,Scrub,VALLEY
718,499375.9646,3865539.189,11,/,Reconyx,no,none,Forest,Cliff_base
719,497339.529,3867936.11,11,/,Reconyx,no,none,Forest,RIDGE
720,496984.4088,3867803.812,13,/,Reconyx,no,none,Forest,Cliff_base
721,491312.5995,3866944.903,11,/,Reconyx,no,none,Forest,RIDGE
722,493478.9401,3867251.166,11,/,Reconyx,no,none,Forest,VALLEY
723,492563.4159,3867298.109,11,/,Reconyx,no,none,Forest,VALLEY
724,493441.0887,3870993.921,11,/,Reconyx,no,none,Forest,Cliff_base
725,496809.5348,3867988.734,11,/,Reconyx,no,none,Forest,RIDGE
726,499525.337,3859523.155,11,/,Reconyx,no,none,Scrub,Cliff_base
727,493467.8661,3869512.223,11,/,Reconyx,no,none,Forest,RIDGE
728,497797.8791,3864948.03,11,/,Reconyx,no,none,Forest,RIDGE
729,497721.8137,3865006.601,11,/,Reconyx,no,none,Forest,Cliff_base
730,494789.9533,3866751.295,11,/,Reconyx,no,none,Forest,Cliff_base
731,495545.6845,3866399.69,11,/,Reconyx,no,none,Pasture,Cliff_base
732,488865.9663,3869867.886,10,/,Reconyx,no,none,Pasture,RIDGE
733,488691.7201,3870468.713,10,/,Reconyx,no,none,Forest,Cliff_base
734,489084.8902,3868515.247,11,/,Reconyx,no,none,Forest,Cliff_base
735,488699.4759,3868549.65,11,/,Reconyx,no,none,Forest,VALLEY
