#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
289,343711,4075594,14,/,Reconyx,yes,fish_skunk,Pasture,SADDLE
290,342626,4075121,14,/,Reconyx,no,none,Pasture,DRAW
291,345580,4073276,14,/,Reconyx,yes,fish_castor,Pasture,RIDGE
292,346704,4073304,14,/,Reconyx,yes,fish_skunk,BARREN,DRAW
293,349892,4074715,14,/,Reconyx,no,none,Pasture,Cliff_base
294,350204,4074444,14,/,Reconyx,yes,fish_castor,Pasture,DRAW
295,347421,4076867,14,/,Reconyx,no,none,Pasture,SADDLE
296,347184,4077664,14,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
297,349634,4078225,14,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU
298,350124,4078934,14,/,Reconyx,yes,fish_castor,Scrub,PLATEAU
299,355519,4079885,14,/,Reconyx,no,none,Pasture,DRAW
300,354588,4079625,14,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
301,354029,4077330,14,/,Reconyx,no,none,Pasture,RIDGE
302,354666,4076547,14,/,Reconyx,yes,fish_skunk,BARREN,RIDGE
303,363391,4078333,14,/,Reconyx,yes,fish_castor,Pasture,VALLEY
304,360615,4078525,14,/,Reconyx,yes,fish_castor,BARREN,RIDGE
305,365333,4080785,15,/,Reconyx,no,none,BARREN,RIDGE
306,367870,4079312,15,/,Reconyx,no,none,Pasture,RIDGE
307,363266,4076862,14,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
308,375797,4082352,15,/,Reconyx,no,none,Pasture,DRAW
309,372320,4079732,15,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
310,376134,4081125,15,/,Reconyx,yes,fish_castor,Pasture,RIDGE
311,377207,4081551,15,/,Reconyx,yes,fish_castor,Pasture,RIDGE
312,366181,4075762,14,/,Reconyx,yes,fish_skunk,BARREN,DRAW
313,367335,4075329,14,/,Reconyx,no,none,BARREN,DRAW
314,370042,4073617,14,/,Reconyx,yes,fish_castor,Pasture,DRAW
315,370034,4074254,14,/,Reconyx,no,none,Pasture,DRAW
316,373976,4074090,14,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
317,375269,4073720,14,/,Reconyx,yes,fish_castor,Pasture,RIDGE
318,370892,4077601,14,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU
319,380684,4082527,15,/,Reconyx,no,none,Pasture,VALLEY
320,382364,4082932,15,/,Reconyx,yes,fish_castor,Pasture,SADDLE
321,382956,4083105,15,/,Reconyx,yes,fish_skunk,Pasture,DRAW
322,380076,4080646,15,/,Reconyx,yes,fish_skunk,Pasture,DRAW
323,381259,4080808,15,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
324,388156,4082681,14,/,Reconyx,no,none,Pasture,Cliff_base
325,386381,4083145,14,/,Reconyx,no,none,Pasture,DRAW
326,388163,4081192,14,/,Reconyx,yes,fish_skunk,Pasture,DRAW
327,386143,4081998,14,/,Reconyx,yes,fish_skunk,Pasture,DRAW
328,389318,4081023,14,/,Reconyx,yes,fish_castor,Pasture,SADDLE
329,390829,4080836,14,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
330,394232,4080574,14,/,Reconyx,no,none,Pasture,DRAW
331,394946,4081509,14,/,Reconyx,yes,fish_castor,Pasture,DRAW
332,399287,4079284,14,/,Reconyx,yes,fish_castor,Pasture,RIDGE_CLIFF_BASE
333,399900,4078391,14,/,Reconyx,no,none,Pasture,RIDGE
334,403940,4076498,14,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base_draw
335,406108,4075108,14,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
336,410986,4072734,13,/,Reconyx,yes,fish_castor,Forest,RIDGE
337,410126,4073274,14,/,Reconyx,no,none,Forest,Cliff_base
338,407787,4070969,14,/,Reconyx,yes,fish_castor,Pasture,DRAW
339,408616,4071251,14,/,Reconyx,no,none,Pasture,DRAW
340,410804,4070400,14,/,Reconyx,no,none,Forest,DRAW
341,410406,4069420,14,/,Reconyx,yes,fish_castor,Forest,DRAW
342,411061,4065613,16,/,Reconyx,yes,fish_skunk,Forest,RIDGE
343,410700,4066723,16,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
344,408893,4061013,16,/,Reconyx,no,none,Forest,Cliff_base_draw
345,409879,4061286,16,/,Reconyx,yes,fish_castor,Scrub,RIDGE
346,414651,4058695,16,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
347,415556,4059132,16,/,Reconyx,no,none,Forest,RIDGE
348,413296,4060164,15,/,Reconyx,yes,fish_castor,Pasture,RIDGE
349,414902,4055598,15,/,Reconyx,no,none,Pasture,Cliff_base
350,417299,4054592,15,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
351,420932,4054667,14,/,Reconyx,yes,fish_castor,Scrub,Cliff_base
352,423508,4055771,14,/,Reconyx,no,none,Scrub,Cliff_base
353,424457,4055475,14,/,Reconyx,yes,fish_skunk,Scrub,RIDGE
354,425207,4054893,14,/,Reconyx,yes,fish_castor,Scrub,Cliff_base
355,412951,4050592,14,/,Reconyx,yes,fish_castor,Forest,DRAW
356,414115,4050639,14,/,Reconyx,yes,fish_skunk,Forest,DRAW
357,415676,4050782,14,/,Reconyx,no,none,Forest,Cliff_base
358,415648,4048864,14,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
359,423597,4057232,14,/,Reconyx,yes,fish_skunk,Scrub,DRAW
360,423525,4058261,14,/,Reconyx,no,none,BARREN,DRAW
361,418290,4046843,14,/,Reconyx,no,none,Forest,DRAW
