#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
515,749578.9942,3964621.446,40,/,Reconyx,yes,Skunk,Scrub,Ridge_draw
516,749256.4071,3964563.045,40,/,Reconyx,yes,Castor,Scrub,Ridge
517,739744.2317,3999198.45,40,/,Reconyx,yes,Skunk,Pasture,Ridge
518,746267.3051,3991437.147,40,/,Reconyx,yes,Castor,Pasture,Ridge
519,741042.0332,3998876.373,40,/,Reconyx,yes,Skunk,Pasture,draw
520,745857.3249,3991407.167,40,/,Reconyx,yes,Castor,Scrub,Ridge
521,729118.0811,3983181.919,40,/,Reconyx,yes,Skunk,Pasture,Cliff base
522,729290.1131,3983025.977,40,/,Reconyx,yes,Castor,Scrub,Cliff base
523,732885.065,3987388.959,40,/,Reconyx,yes,Skunk,Scrub,Ridge
524,769134.8505,3981002.962,40,/,Reconyx,yes,Skunk,Pasture,Cliff base
525,769404.8605,3981199.483,40,/,Reconyx,yes,Castor,Pasture,draw
526,763455.838,3981639.31,40,/,Reconyx,yes,Skunk,Pasture,draw
527,763781.7812,3982229.03,40,/,Reconyx,yes,Castor,Pasture,Ridge
528,754980.8491,3983937.517,40,/,Reconyx,yes,Castor,Pasture,Ridge
529,754574.0983,3984385.245,40,/,Reconyx,yes,Skunk,Pasture,Ridge
530,748701.3994,3974183.156,40,/,Reconyx,yes,Skunk,Forest,valley
531,746590.7654,3977667.901,41,/,Reconyx,yes,Skunk,Forest,Ridge
532,745395.6518,3976070.758,41,/,Reconyx,yes,Castor,Forest,Ridge
533,748377.0457,3973134.558,38,/,Reconyx,yes,Castor,Forest,draw
534,744608.3796,3975413.396,40,/,Reconyx,yes,Skunk,Forest,Ridge
535,754848.0086,3972748.535,42,/,Reconyx,yes,Skunk,Forest,Ridge
536,754641.1005,3972958.545,42,/,Reconyx,yes,Castor,Forest,Cliff base
