#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
537,540915.1578,3863649.826,17,/,Reconyx,yes,fish_castor,Pasture,DRAW_PLATEAU
538,550046.0992,3879030.649,19,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
539,556998.2856,3874634.322,19,/,Reconyx,yes,fish_castor,Pasture,SADDLE
540,554250.9878,3874171.714,19,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
541,550994.9642,3878306.183,19,/,Reconyx,yes,fish_castor,Pasture,RIDGE
542,535530.5054,3873877.616,16,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
543,535478.2892,3876038.835,16,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
544,545214.6949,3865371.273,16,/,Reconyx,yes,fish_castor,Pasture,valley_draw
545,541311.56,3869114.472,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
546,542344.471,3870216.001,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
547,547042.3464,3869965.099,16,/,Reconyx,yes,fish_castor,Pasture,RIDGE
548,545173.66,3868128.026,16,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
549,545915.0869,3866306.32,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
550,542177.8701,3865374.491,16,/,Reconyx,yes,fish_castor,BARREN,PLATEAU
551,529924.5132,3874389.786,16,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
552,531179.4168,3873754.112,16,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
553,534768.4992,3867677.68,16,/,Reconyx,yes,fish_castor,Pasture,SADDLE
554,531988.0097,3867464.57,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
555,535024.6414,3868980.6,16,/,Reconyx,yes,fish_castor,Pasture,RIDGE
556,533907.9304,3866076.409,16,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
557,531220.0756,3868271.462,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
558,537501.4927,3865419.526,16,/,Reconyx,yes,fish_castor,Scrub,VALLEY
559,540694.4836,3874210.85,15,/,Reconyx,yes,fish_castor,Pasture,DRAW
560,532349.4122,3863904.938,16,/,Reconyx,yes,fish_castor,Pasture,RIDGE
561,539446.1953,3875071.484,15,/,Reconyx,yes,fish_castor,Pasture,DRAW
562,538138.2329,3866474.584,16,/,Reconyx,yes,fish_castor,Pasture,VALLEY_PLATEAU
563,542183.474,3880532.3,16,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
564,532124.214,3879846.854,15,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
565,545537.1298,3875971.588,15,/,Reconyx,yes,fish_castor,Scrub,VALLEY
566,537530.9998,3878655.429,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
567,536753.1743,3880436.634,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
568,531034.5215,3881189.387,15,/,Reconyx,yes,fish_castor,Pasture,DRAW
569,545928.4855,3874163.653,15,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
570,540871.3054,3879941.857,16,/,Reconyx,yes,fish_castor,Pasture,DRAW
571,564984.9802,3869881.204,15,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
572,559917.4613,3873755.849,15,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
573,555717.9393,3880628.483,15,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
574,552102.3364,3869183.021,15,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
575,563349.0947,3870922.174,15,/,Reconyx,yes,fish_castor,Pasture,SADDLE
576,549976.4591,3873938.763,15,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
577,564711.7137,3868636.027,15,/,Reconyx,yes,fish_castor,Pasture,DRAW
578,562529.7979,3871261.429,15,/,Reconyx,yes,fish_castor,Pasture,DRAW
579,551621.6836,3871357.278,15,/,Reconyx,yes,fish_castor,Pasture,VALLEY
580,561050.525,3873663.559,15,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
581,551736.6103,3875390.315,15,/,Reconyx,yes,fish_castor,Pasture,VALLEY
582,554208.5205,3880993.099,15,/,Reconyx,yes,fish_castor,Pasture,PLATEAU
