#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
192,479408,4005396,51,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
193,477043,4003508,51,/,Reconyx,yes,fish_castor,Barren,Cliff_base
194,477502,4004585,51,/,Reconyx,yes,fish_castor,Pasture,Ridge
195,478092,4006208,51,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
196,487071,4001860,51,/,Reconyx,yes,fish_castor,Barren,Draw
197,488593,4000919,51,/,Reconyx,yes,fish_castor,Barren,Ridge
198,489498,4000441,51,/,Reconyx,yes,fish_castor,Forest,Valley
199,490384,3999596,51,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
200,485190,4006051,51,/,Reconyx,yes,fish_castor,Pasture,Ridge
201,486784,4005101,51,/,Reconyx,yes,fish_castor,Pasture,Ridge
202,484955,4003455,50,/,Reconyx,yes,fish_castor,Pasture,Ridge
203,481343,4006889,50,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
204,510249,4001631,63,/,Reconyx,yes,fish_castor,Barren,Ridge
205,508500,4002204,63,/,Reconyx,yes,fish_castor,Barren,Ridge
206,507436,4002111,63,/,Reconyx,yes,fish_castor,Barren,Ridge
207,507492,4002949,60,/,Reconyx,yes,fish_castor,Forest,Ridge
208,506450,4002841,60,/,Reconyx,yes,fish_castor,Pasture,Ridge
209,505395,4002440,60,/,Reconyx,yes,fish_castor,Pasture,Ridge
210,505036,4002836,60,/,Reconyx,yes,fish_castor,Barren,Cliff_base
211,504697,4000196,60,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
212,502842,4000933,60,/,Reconyx,yes,fish_castor,Pasture,Ridge
213,501405,3999669,60,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
214,496910,4003872,61,/,Reconyx,yes,fish_castor,Pasture,Ridge
215,498770,4002581,61,/,Reconyx,yes,fish_castor,Barren,Cliff_base
216,494840,4004589,60,/,Reconyx,yes,fish_castor,Pasture,Ridge
217,493863,4005631,61,/,Reconyx,yes,fish_castor,Pasture,Ridge
218,497431,4005944,63,/,Reconyx,yes,fish_castor,Barren,Ridge
219,511098,4002332,62,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
220,511233,4003774,62,/,Reconyx,yes,fish_castor,Pasture,Draw
221,510958,4005755,62,/,Reconyx,yes,fish_castor,Pasture,Ridge
222,512485,4003505,62,/,Reconyx,yes,fish_castor,Pasture,Draw
223,512348,4001696,62,/,Reconyx,yes,fish_castor,Pasture,Ridge
224,518476,3999586,62,/,Reconyx,yes,fish_castor,Barren,Draw
225,518338,3998524,62,/,Reconyx,yes,fish_castor,Barren,Cliff_base
226,517207,3998051,62,/,Reconyx,yes,fish_castor,Pasture,Ridge
227,516115,3998361,62,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
228,519030,3998583,62,/,Reconyx,yes,fish_castor,Pasture,Cliff_base
229,519514,3997230,62,/,Reconyx,yes,fish_castor,Pasture,Ridge
