#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
11,508740,4095458,10,/,Reconyx,no,none,Pasture,draw
12,499804,4089899,10,/,Reconyx,yes,Castor,Pasture,ridge
13,503482,4092938,11,/,Reconyx,no,none,Pasture,draw
14,502425,4091159,11,/,Reconyx,yes,Castor,Pasture,Cliff_base
15,501809,4089965,10,/,Reconyx,no,none,Pasture,draw
16,509578,4094619,10,/,Reconyx,yes,Skunk,Pasture,valley_plateau
17,513605,4091991,10,/,Reconyx,yes,Castor,Pasture,draw
18,511632,4093254,10,/,Reconyx,yes,Castor,Pasture,Cliff_base
19,515103,4091091,10,/,Reconyx,yes,Castor,Pasture,draw
20,515978,4090649,10,/,Reconyx,no,none,Pasture,ridge
21,501417,4086884,11,/,Reconyx,yes,Skunk,Scrub,draw
22,500913,4089356,11,/,Reconyx,yes,Castor,Pasture,draw
23,501451,4087920,10,/,Reconyx,yes,Skunk,Pasture,valley
24,512923,4086489,11,/,Reconyx,yes,Skunk,Pasture,ridge
25,513487,4085534,11,/,Reconyx,no,none,Pasture,ridge
26,516967,4088127,10,/,Reconyx,yes,Skunk,Pasture,valley_draw
27,518601,4085928,10,/,Reconyx,no,none,Pasture,ridge
28,522258,4086920,10,/,Reconyx,yes,Castor,Pasture,ridge
29,520872,4086214,10,/,Reconyx,no,none,Pasture,ridge
30,528457,4088641,10,/,Reconyx,no,none,Pasture,ridge
31,526649,4089176,10,/,Reconyx,yes,Skunk,barren,ridge_draw
32,496367,4080390,10,/,Reconyx,yes,Castor,Scrub,ridge_draw
33,496768,4082038,10,/,Reconyx,no,none,Forest,Cliff_base
34,503198,4080526,10,/,Reconyx,no,none,Scrub,draw
35,502802,4083215,10,/,Reconyx,no,none,Scrub,draw
36,503128,4081838,10,/,Reconyx,no,none,Scrub,draw
37,507476,4080955,10,/,Reconyx,yes,Skunk,Scrub,Cliff_base_draw
38,507551,4079789,10,/,Reconyx,yes,Castor,barren,Cliff_base
39,514212,4084748,11,/,Reconyx,no,none,Pasture,ridge
40,514905,4084037,11,/,Reconyx,yes,Skunk,barren,ridge
41,512041,4080693,10,/,Reconyx,yes,Skunk,Pasture,ridge
42,517867,4084272,10,/,Reconyx,yes,Skunk,barren,ridge
43,517087,4083622,10,/,Reconyx,yes,Castor,Pasture,ridge
44,515111,4082053,10,/,Reconyx,yes,Castor,Scrub,draw
45,524138,4084874,10,/,Reconyx,yes,Castor,barren,ridge
46,525664,4080107,11,/,Reconyx,no,none,barren,draw
47,525892,4080691,11,/,Reconyx,yes,Castor,barren,ridge
48,487349,4075229,10,/,Reconyx,no,none,Pasture,draw
49,487894,4076545,10,/,Reconyx,yes,Castor,Scrub,draw
50,496902,4079630,10,/,Reconyx,yes,Skunk,Pasture,ridge
51,499304,4079254,10,/,Reconyx,yes,Skunk,Scrub,valley_draw
52,496106,4074695,10,/,Reconyx,no,none,Pasture,saddle
53,502517,4078950,10,/,Reconyx,yes,Skunk,Scrub,ridge
54,501743,4077085,10,/,Reconyx,yes,Castor,Pasture,ridge
55,507683,4079046,10,/,Reconyx,no,none,Scrub,ridge
56,507169,4077317,10,/,Reconyx,yes,Castor,Pasture,ridge
57,509693,4079739,10,/,Reconyx,no,none,Pasture,draw
58,512455,4079178,10,/,Reconyx,no,none,Forest,draw
59,513732,4077251,10,/,Reconyx,yes,Skunk,Pasture,draw
60,516886,4078104,12,/,Reconyx,yes,Skunk,Scrub,ridge
61,517330,4076574,12,/,Reconyx,yes,Castor,Pasture,Cliff_base
62,517653,4077984,10,/,Reconyx,yes,Castor,Pasture,draw
63,522558,4077367,11,/,Reconyx,no,none,Pasture,ridge
64,521480,4077186,11,/,Reconyx,yes,Skunk,Pasture,ridge
65,526969,4078321,10,/,Reconyx,yes,Castor,Pasture,draw
66,525894,4076855,10,/,Reconyx,no,none,Pasture,Cliff_base
67,532932,4077201,12,/,Reconyx,yes,Skunk,Pasture,ridge
68,534271,4077647,12,/,Reconyx,yes,Castor,barren,draw
69,535585,4078190,12,/,Reconyx,yes,Skunk,Pasture,PLATEAU
70,536709,4078382,12,/,Reconyx,no,none,Pasture,PLATEAU
71,488492,4070872,9,/,Reconyx,yes,Skunk,Pasture,ridge
72,487666,4071707,10,/,Reconyx,yes,Castor,Scrub,draw
73,487886,4070178,10,/,Reconyx,yes,Skunk,Pasture,ridge
74,493255,4072433,11,/,Reconyx,yes,Skunk,Scrub,ridge_draw
75,492144,4072897,11,/,Reconyx,yes,Castor,Pasture,ridge
76,494628,4073677,10,/,Reconyx,no,none,Pasture,ridge_draw
77,498366,4072024,11,/,Reconyx,yes,Skunk,Pasture,ridge
78,499046,4071369,11,/,Reconyx,no,none,Scrub,ridge
79,495065,4072569,10,/,Reconyx,yes,Castor,Pasture,draw
80,500098,4070279,10,/,Reconyx,yes,Castor,Scrub,Cliff_base_draw
81,506513,4074752,10,/,Reconyx,no,none,Pasture,ridge
82,514716,4074328,10,/,Reconyx,yes,Castor,Pasture,draw
83,524466,4074840,11,/,Reconyx,yes,Castor,Scrub,draw
84,524525,4075785,10,/,Reconyx,yes,Skunk,Pasture,ridge
85,525912,4074442,11,/,Reconyx,no,none,Pasture,ridge
86,529180,4074077,11,/,Reconyx,yes,Castor,Pasture,ridge_draw
87,530019,4073259,11,/,Reconyx,yes,Skunk,Pasture,draw
88,530493,4071446,11,/,Reconyx,yes,Castor,Pasture,draw
89,532030,4069744,11,/,Reconyx,yes,Skunk,Pasture,ridge
90,532939,4069601,11,/,Reconyx,no,none,Pasture,draw
91,484779,4065240,10,/,Reconyx,yes,Skunk,Forest,draw
92,484877,4066301,10,/,Reconyx,yes,Skunk,Pasture,Cliff_base
93,484791,4067024,10,/,Reconyx,yes,Castor,Pasture,ridge
94,485857,4066078,10,/,Reconyx,yes,Castor,Scrub,ridge_draw
95,487203,4069441,10,/,Reconyx,no,none,Scrub,ridge
96,483803,4064782,10,/,Reconyx,no,none,Scrub,ridge_cliff_base
