#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
467,409531.5979,3951215.748,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
468,401653.5323,3952789.301,31,/,Reconyx,yes,fish_castor,Forest,VALLEY
469,405071.0715,3961288.048,32,/,Reconyx,yes,fish_castor,Forest,RIDGE
470,406092.0399,3961428.017,31,/,Reconyx,yes,fish_castor,Forest,RIDGE
471,403737.7858,3960357.329,31,/,Reconyx,yes,fish_castor,Forest,VALLEY
472,397103.671,3964840.44,31,/,Reconyx,yes,fish_castor,Pasture,VALLEY
473,395983.4694,3965387.144,31,/,Reconyx,yes,fish_castor,Pasture,VALLEY
474,395983.4694,3965387.144,31,/,Reconyx,yes,fish_castor,Pasture,VALLEY
475,398325.7313,3964104.125,31,/,Reconyx,yes,fish_castor,Pasture,VALLEY
476,408604.4777,3954935.741,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
477,408313.5056,3954610.401,31,/,Reconyx,yes,fish_castor,Scrub,VALLEY
478,408749.8599,3954561.53,30,/,Reconyx,yes,fish_castor,Forest,RIDGE
479,409374.2123,3953790.843,30,/,Reconyx,yes,fish_castor,Forest,RIDGE
480,400956.607,3961662.611,30,/,Reconyx,yes,fish_castor,Forest,RIDGE
481,400631.9039,3962365.119,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
482,401350.6873,3961989.892,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
483,404339.5188,3959412.342,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
484,399901.849,3963575.852,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
485,400427.158,3962882.144,30,/,Reconyx,yes,fish_skunk,Forest,RIDGE
486,403164.896,3960291.474,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
487,403375.2923,3958697.332,30,/,Reconyx,yes,fish_castor,Forest,DRAW
488,408212.3103,3949982.476,30,/,Reconyx,yes,fish_castor,Forest,DRAW
489,407026.7238,3950144.559,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
490,412701.3262,3952985.436,29,/,Reconyx,yes,fish_castor,BARREN,VALLEY
491,411776.8977,3951901.964,29,/,Reconyx,yes,none,Forest,Cliff_base
492,410804.3199,3951091.944,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
493,408719.466,3950020.511,30,/,Reconyx,yes,fish_castor,Forest,PLATEAU
494,406394.2194,3943352.52,30,/,Reconyx,yes,fish_castor,Forest,PLATEAU
495,395452.1322,3950430.793,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
496,395614.4141,3950378.965,31,/,Reconyx,yes,fish_castor,Forest,RIDGE
497,396336.5548,3950145.316,31,/,Reconyx,yes,fish_castor,Forest,VALLEY
498,396765.481,3951310.642,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
499,396264.5236,3951958.774,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
500,398345.8867,3953096.138,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
501,398871.2474,3952438.972,30,/,Reconyx,yes,fish_castor,Forest,VALLEY
502,410837.1616,3947149.333,31,/,Reconyx,yes,fish_castor,Forest,VALLEY
503,409895.6412,3946961.379,30,/,Reconyx,yes,fish_castor,Forest,Cliff_base
504,410702.4262,3945269.402,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
505,401183.5233,3950957.531,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
506,402127.1408,3950203.857,30,/,Reconyx,yes,fish_castor,Forest,RIDGE
507,404741.7514,3942109.926,30,/,Reconyx,yes,fish_castor,Forest,PLATEAU
508,393510.2338,3945680.462,31,/,Reconyx,yes,fish_castor,Forest,VALLEY
509,393418.8297,3945986.619,31,/,Reconyx,yes,fish_castor,Forest,RIDGE
510,392952.6632,3946448.148,31,/,Reconyx,yes,fish_castor,Forest,VALLEY
511,391875.0992,3945390.688,30,/,Reconyx,yes,fish_castor,Forest,RIDGE
512,391340.8129,3944422.102,30,/,Reconyx,yes,fish_castor,Forest,Cliff_base
513,396968.4489,3945086.191,29,/,Reconyx,yes,fish_castor,Forest,VALLEY
514,399307.2917,3947164.848,31,/,Reconyx,yes,fish_castor,Forest,Cliff_base
