#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
369,475511,3844050,36,/,Reconyx,yes,Castor,Forest,RIDGE
370,474653,3847841,33,/,Reconyx,yes,Castor,Forest,VALLEY
371,474565,3848310,33,/,Reconyx,yes,Castor,Forest,RIDGE
372,476244,3849316,33,/,Reconyx,yes,Castor,Pasture,RIDGE
373,475856,3848266,33,/,Reconyx,yes,Castor,Forest,RIDGE
374,475995,3845908,32,/,Reconyx,yes,Castor,Forest,RIDGE
375,475611,3847026,32,/,Reconyx,yes,Castor,Forest,RIDGE
376,476519,3846114,32,/,Reconyx,yes,Castor,Forest,RIDGE
378,477951,3844816,31,/,Reconyx,yes,Castor,Forest,VALLEY
379,481032,3847496,31,/,Reconyx,yes,Castor,Forest,RIDGE
380,481409,3848655,31,/,Reconyx,yes,Castor,Scrub,RIDGE
381,482159,3849145,31,/,Reconyx,yes,Castor,Scrub,Cliff_base
382,481241,3846819,31,/,Reconyx,yes,Castor,Forest,RIDGE
383,482266,3846332,31,/,Reconyx,yes,Castor,Forest,RIDGE
384,482887,3846857,31,/,Reconyx,yes,Castor,Forest,RIDGE
385,473630,3844321,32,/,Reconyx,yes,Castor,Forest,RIDGE
387,470131,3849112,32,/,Reconyx,yes,Castor,Forest,RIDGE
388,470897,3845679,32,/,Reconyx,yes,Castor,Forest,RIDGE
389,472277,3845250,30,/,Reconyx,yes,Castor,Forest,RIDGE
390,467247,3848823,30,/,Reconyx,yes,Castor,Forest,RIDGE
391,465814,3848545,30,/,Reconyx,yes,Castor,Forest,RIDGE
392,463143,3853202,30,/,Reconyx,yes,Castor,Forest,Cliff_base
393,463615,3854262,30,/,Reconyx,yes,Castor,Forest,RIDGE
394,464962,3854472,30,/,Reconyx,yes,Castor,Forest,RIDGE
395,465050,3855841,30,/,Reconyx,yes,Castor,Scrub,RIDGE
396,467815,3851593,21,/,Reconyx,yes,Castor,Pasture,RIDGE
398,466144,3851212,30,/,Reconyx,yes,Castor,Forest,RIDGE
400,463820,3851246,30,/,Reconyx,yes,Castor,Scrub,RIDGE
401,472761,3842360,30,/,Reconyx,yes,Castor,Forest,RIDGE
402,472038,3842950,30,/,Reconyx,yes,Castor,Forest,DRAW
403,471270,3843617,30,/,Reconyx,yes,Castor,Forest,DRAW
404,470361,3844082,30,/,Reconyx,yes,Castor,Forest,RIDGE
405,453312,3850595,19,/,Reconyx,yes,Castor,Forest,RIDGE
406,452466,3851024,19,/,Reconyx,yes,Castor,Forest,RIDGE
407,449987,3852125,19,/,Reconyx,yes,Castor,Forest,Cliff_base
408,450384,3851356,19,/,Reconyx,yes,Castor,Forest,RIDGE
