#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
133,480509,4073685,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
134,481025,4075606,30,/,Reconyx,yes,fish_skunk,Forest,RIDGE
135,481111,4077412,30,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU
136,481801,4078969,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base
137,476275,4072721,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW
138,478775,4070443,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW
139,480927,4068328,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
140,473922,4076830,33,/,Reconyx,yes,fish_skunk,BARREN,VALLEY
141,473657,4078453,30,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base
142,474504,4080566,34,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base
143,474627,4082315,34,/,Reconyx,yes,fish_skunk,Forest,VALLEY
144,474208,4083867,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
145,475105,4085105,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base
146,474882,4086292,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
147,477602,4088669,30,/,Reconyx,yes,fish_skunk,Forest,RIDGE
148,479459,4089567,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
149,480493,4091410,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
150,481545,4093273,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
151,482668,4094940,30,/,Reconyx,yes,fish_skunk,BARREN,VALLEY
152,485143,4095491,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base
153,475244,4089415,32,/,Reconyx,yes,fish_skunk,Pasture,DRAW
154,474739,4091089,32,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
155,473718,4092253,32,/,Reconyx,yes,fish_skunk,BARREN,VALLEY
156,472983,4093575,32,/,Reconyx,yes,fish_skunk,Pasture,DRAW
157,472245,4094909,30,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU
158,471861,4096352,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
159,471548,4098047,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW
160,475418,4087856,30,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base
161,475928,4087555,30,/,Reconyx,yes,fish_skunk,Forest,VALLEY
162,469611,4098761,30,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU
163,467859,4098267,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
164,466183,4097520,30,/,Reconyx,yes,fish_skunk,Pasture,SADDLE
165,463900,4096882,30,/,Reconyx,yes,fish_skunk,Pasture,DRAW
166,471050,4099395,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
167,471517,4100874,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
168,467115,4079354,30,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base
169,468085,4082405,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
170,467831,4080810,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
171,470959,4076310,30,/,Reconyx,yes,fish_skunk,Scrub,DRAW
172,468591,4077538,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
173,465670,4079809,32,/,Reconyx,yes,fish_skunk,Pasture,DRAW
174,463929,4080792,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
175,462092,4081629,30,/,Reconyx,yes,fish_skunk,Scrub,RIDGE
176,461324,4082022,30,/,Reconyx,yes,fish_skunk,Scrub,VALLEY
177,459793,4083046,30,/,Reconyx,yes,fish_skunk,Scrub,VALLEY
178,458146,4084209,31,/,Reconyx,yes,fish_skunk,Pasture,SADDLE
179,456874,4084910,31,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
180,455641,4086019,31,/,Reconyx,yes,fish_skunk,Pasture,DRAW
181,456475,4085782,31,/,Reconyx,yes,fish_skunk,Forest,Cliff_base
182,452704,4087881,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base
183,453034,4086601,31,/,Reconyx,yes,fish_skunk,BARREN,DRAW
184,450790,4087967,30,/,Reconyx,yes,fish_skunk,Pasture,SADDLE
185,449562,4088781,30,/,Reconyx,yes,fish_skunk,BARREN,SADDLE
186,449517,4089785,30,/,Reconyx,yes,fish_skunk,BARREN,DRAW
187,447892,4088646,31,/,Reconyx,yes,fish_skunk,Scrub,DRAW
188,447544,4087641,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
189,447099,4087427,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE
190,445681,4088428,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
191,445389,4089230,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY
