#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
97,524967,4033053,10,/,Reconyx,yes,Skunk,Pasture,ridge
98,523305,4033312,10,/,Reconyx,yes,Skunk,Pasture,ridge
99,529890,4040121,10,/,Reconyx,yes,Castor,Pasture,Cliff_base
100,530114,4041700,10,/,Reconyx,yes,Castor,Pasture,ridge
101,520532,4037484,10,/,Reconyx,no,none,Pasture,ridge
102,522131,4037407,10,/,Reconyx,yes,Castor,Pasture,ridge_cliff_base
103,529254,4034949,10,/,Reconyx,no,none,Pasture,ridge
104,527977,4035123,10,/,Reconyx,no,none,Pasture,draw
105,532125,4035759,10,/,Reconyx,no,none,Pasture,ridge
106,532211,4038226,10,/,Reconyx,yes,Skunk,Pasture,Cliff_base
107,537972,4036375,10,/,Reconyx,yes,Skunk,Pasture,ridge
108,534870,4037025,11,/,Reconyx,no,none,Pasture,ridge
109,541832,4035648,10,/,Reconyx,yes,Castor,Pasture,draw
110,540464,4036319,10,/,Reconyx,no,none,Scrub,PLATEAU
111,529832,4031425,12,/,Reconyx,no,none,Pasture,ridge
112,527219,4031913,12,/,Reconyx,no,none,Pasture,Cliff_base
113,531543,4033706,10,/,Reconyx,no,none,Pasture,draw
114,533240,4032326,10,/,Reconyx,yes,Skunk,Pasture,valley
115,536166,4032884,10,/,Reconyx,yes,Castor,Pasture,ridge
116,535739,4031378,10,/,Reconyx,yes,Skunk,Pasture,ridge
117,540704,4034301,10,/,Reconyx,yes,Castor,Forest,draw
118,541609,4034081,10,/,Reconyx,yes,Skunk,Pasture,ridge
119,530036,4029589,12,/,Reconyx,yes,Skunk,Scrub,ridge
120,526901,4029515,12,/,Reconyx,yes,Castor,Pasture,draw
121,534473,4025911,10,/,Reconyx,yes,Skunk,Pasture,ridge_draw
122,534231,4029400,10,/,Reconyx,no,none,Pasture,valley_draw
123,538286,4024561,10,/,Reconyx,no,none,Scrub,ridge
124,540146,4024433,10,/,Reconyx,yes,Castor,Pasture,draw
125,540753,4020237,10,/,Reconyx,yes,Skunk,Pasture,ridge
126,541234,4020607,10,/,Reconyx,yes,Castor,Pasture,ridge_draw
127,546712,4021177,10,/,Reconyx,yes,Skunk,Scrub,Cliff_base
128,546548,4021841,10,/,Reconyx,no,none,Forest,ridge
129,543579,4016162,10,/,Reconyx,yes,Castor,Pasture,draw
130,543557,4018506,10,/,Reconyx,no,none,Pasture,valley
131,543769,4011939,10,/,Reconyx,yes,Castor,Pasture,draw
132,543632,4013847,10,/,Reconyx,yes,Skunk,Pasture,draw
