#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
409,235209,4022504,41,/,Reconyx,yes,Castor,Pasture,SADDLE
410,236078,4022831,41,/,Reconyx,yes,Castor,Scrub,RIDGE
411,234003,4022690,41,/,Reconyx,yes,Castor,Pasture,VALLEY
412,236371,4023257,41,/,Reconyx,yes,Castor,Scrub,VALLEY
413,237443,4023862,41,/,Reconyx,yes,Castor,BARREN,VALLEY
414,238043,4025088,41,/,Reconyx,yes,Castor,BARREN,VALLEY
415,242060,4026512,41,/,Reconyx,yes,Castor,BARREN,Cliff_base
416,245396,4029110,41,/,Reconyx,yes,Castor,Pasture,VALLEY
417,241603,4025387,40,/,Reconyx,yes,Castor,Pasture,PLATEAU
418,240457,4025091,40,/,Reconyx,yes,Castor,BARREN,RIDGE
419,239058,4025070,40,/,Reconyx,yes,Castor,Scrub,RIDGE
420,256660,4035725,40,/,Reconyx,yes,Castor,BARREN,RIDGE
421,254082,4033557,40,/,Reconyx,yes,Castor,BARREN,Cliff_base
422,255026,4033829,40,/,Reconyx,yes,Castor,BARREN,DRAW
423,260235,4037346,40,/,Reconyx,yes,Castor,BARREN,Cliff_base
424,260908,4035561,41,/,Reconyx,yes,Castor,Pasture,SADDLE
425,264338,4035498,40,/,Reconyx,yes,Castor,Forest,DRAW
426,255590,4033209,40,/,Reconyx,yes,Castor,BARREN,VALLEY
427,258130,4034979,40,/,Reconyx,yes,Castor,Forest,VALLEY
428,261281,4043260,41,/,Reconyx,yes,Castor,BARREN,Cliff_base
429,260480,4043656,41,/,Reconyx,yes,Castor,Pasture,DRAW
430,260052,4043568,41,/,Reconyx,yes,Castor,BARREN,VALLEY
431,262042,4042545,41,/,Reconyx,yes,Castor,BARREN,SADDLE
432,262983,4041972,41,/,Reconyx,yes,Castor,Forest,VALLEY
433,247988,4032100,43,/,Reconyx,yes,Castor,Pasture,Cliff_base
434,247328,4032864,42,/,Reconyx,yes,Castor,BARREN,Cliff_base
435,246625,4034215,41,/,Reconyx,yes,Castor,Pasture,Cliff_base
436,244388,4037351,41,/,Reconyx,yes,Castor,Pasture,PLATEAU
