#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain
653,325449.5703,4073307.108,34,/,Reconyx,yes,Skunk,Barren,Ridge
654,327075.906,4075894.532,33,/,Reconyx,yes,Skunk,Scrub,Valley
655,330214.0725,4076943.568,33,/,Reconyx,yes,Skunk,Pasture,Cliff_base
656,324324.9497,4071713.001,33,/,Reconyx,yes,Skunk,Pasture,Ridge
657,330386.0351,4074508.329,32,/,Reconyx,yes,Skunk,Barren,Valley
658,322835.808,4074777.309,32,/,Reconyx,yes,Skunk,Pasture,Valley
659,321157.42,4073145.169,32,/,Reconyx,yes,Skunk,Pasture,Ridge
660,313794.6125,4069305.507,31,/,Reconyx,yes,Skunk,Pasture,Saddle
661,313851.7457,4068319.671,31,/,Reconyx,yes,Skunk,Pasture,Ridge
662,318140.2614,4069897.848,31,/,Reconyx,yes,Skunk,Barren,Cliff_base
663,317922.3221,4068346.284,31,/,Reconyx,yes,Skunk,Pasture,Valley
664,320444.5362,4070789.233,31,/,Reconyx,yes,Skunk,Pasture,Valley
665,321430.3795,4070786.315,31,/,Reconyx,yes,Skunk,Barren,Ridge
666,314216.5786,4063974.903,31,/,Reconyx,yes,Skunk,Scrub,Cliff_base
667,314518.7933,4065217.107,31,/,Reconyx,yes,Skunk,Scrub,Valley
668,313091.4216,4060991.264,31,/,Reconyx,yes,Skunk,Pasture,Valley
669,313777.0589,4060778.746,31,/,Reconyx,yes,Skunk,Pasture,Ridge
670,312819.3474,4045991.086,32,/,Reconyx,yes,Skunk,Pasture,Cliff_base
671,313064.3769,4055072.178,31,/,Reconyx,yes,Skunk,Pasture,Valley
672,311619.5652,4050550.511,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
673,310384.7273,4050454.456,31,/,Reconyx,yes,Skunk,Pasture,Ridge
674,315328.6291,4053768.869,31,/,Reconyx,yes,Skunk,Pasture,Valley
675,317840.6715,4053273.433,31,/,Reconyx,yes,Skunk,Forest,Ridge
676,303438.3023,4048375.954,31,/,Reconyx,yes,Skunk,Pasture,Ridge
677,303019.5438,4047921.525,31,/,Reconyx,yes,Skunk,Forest,Valley
678,304449.0295,4044971.679,31,/,Reconyx,yes,Skunk,Pasture,Ridge
679,304442.175,4051329.148,31,/,Reconyx,yes,Skunk,Pasture,Valley
680,305310.1515,4050641.181,31,/,Reconyx,yes,Skunk,Pasture,Valley
681,300471.2531,4045780.061,31,/,Reconyx,yes,Skunk,Pasture,Valley
682,302270.1562,4044380.932,31,/,Reconyx,yes,Skunk,Pasture,Ridge_valley
683,298190.8214,4043767.318,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
684,297218.0509,4042638.979,31,/,Reconyx,yes,Skunk,Pasture,Valley
685,295537.9617,4041515.272,31,/,Reconyx,yes,Skunk,Pasture,Valley
686,295639.1743,4041777.081,31,/,Reconyx,yes,Skunk,Pasture,Valley
687,299531.156,4041912.139,31,/,Reconyx,yes,Skunk,Pasture,Ridge
688,299826.191,4041417.954,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
689,297563.0068,4036751.769,31,/,Reconyx,yes,Skunk,Scrub,Valley
690,297565.0808,4035807.03,31,/,Reconyx,yes,Skunk,Scrub,Cliff_base
691,299670.4841,4036407.329,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
692,300581.6172,4035591.428,31,/,Reconyx,yes,Skunk,Pasture,Ridge
693,310844.8982,4040177.901,31,/,Reconyx,yes,Skunk,Pasture,Valley
694,300924.2838,4031659.454,31,/,Reconyx,yes,Skunk,Pasture,Valley
695,291230.5098,4039044.066,31,/,Reconyx,yes,Skunk,Barren,Valley
696,290802.8899,4038158.528,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
697,288750.9149,4037632.335,31,/,Reconyx,yes,Skunk,Barren,Valley
698,288395.9374,4038004.059,31,/,Reconyx,yes,Skunk,Barren,Valley
699,284515.8507,4030884.838,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
700,285460.6145,4030691.496,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
701,287949.6715,4032972.586,31,/,Reconyx,yes,Skunk,Pasture,Ridge
702,287567.6284,4032395.794,31,/,Reconyx,yes,Skunk,Pasture,Draw
703,278545.4369,4022908.62,31,/,Reconyx,yes,Skunk,Barren,Cliff_base
704,280969.2945,4020203.651,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
705,293022.0664,4033399.161,31,/,Reconyx,yes,Skunk,Pasture,Saddle
706,294000.9444,4033402.417,31,/,Reconyx,yes,Skunk,Barren,Valley
707,290542.1276,4024933.01,31,/,Reconyx,yes,Skunk,Pasture,Cliff_base
708,289605.2627,4024296.277,31,/,Reconyx,yes,Skunk,Pasture,Draw
709,288744.6189,4024139.584,31,/,Reconyx,yes,Skunk,Pasture,Ridge
710,288090.3418,4023681.516,31,/,Reconyx,yes,Skunk,Pasture,Draw
