,sno,x,y,villdist,rugged,WP.numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity,Z.LargeLSDensity,Z.rugged,Z.SmallLSDensity,Z.villdist,Z.WPDensity
1,25,8696250,3736360,15891.61,62.12,86,0.25,0,0,0,0,-0.196790175,1.301163972,-0.232904202,0.432108825,0.097022695
2,26,8699250,3736360,13474.82,46.88,86,0.25,177,116,13.82,9.06,-0.042792475,0.491746827,-0.138280423,0.14601829,0.097022695
3,27,8702250,3736360,11209.47,29.45,86,0.25,177,116,6.15,4.03,-0.128260084,-0.433984198,-0.190814375,-0.122145347,0.097022695
4,28,8705250,3736360,9297.94,43.06,86,0.25,177,116,6.15,4.03,-0.128260084,0.288861427,-0.190814375,-0.348425099,0.097022695
5,29,8708250,3736360,8077.84,42.18,86,0.25,331,218,16.82,11.08,-0.009363162,0.24212343,-0.117183289,-0.492855961,0.097022695
6,58,8690250,3739360,19150,62.13,86,0.25,0,0,0,0,-0.196790175,1.301695085,-0.232904202,0.817824813,0.097022695
7,59,8693250,3739360,17021.93,60.3,86,0.25,0,0,0,0,-0.196790175,1.204501294,-0.232904202,0.565911868,0.097022695
8,61,8699250,3739360,11774.89,90.9,86,0.25,0,0,0,0,-0.196790175,2.829708947,-0.232904202,-0.055213048,0.097022695
9,62,8702250,3739360,9256.12,25.03,86,0.25,177,116,6.15,4.03,-0.128260084,-0.668736415,-0.190814375,-0.353375594,0.097022695
10,64,8708250,3739360,5229.25,49.4,86,0.25,177,116,22.13,14.5,0.049806721,0.625587457,-0.081464379,-0.830061361,0.097022695
11,65,8711250,3739360,4913.73,19.13,86,0.25,0,0,0,0,-0.196790175,-0.982093446,-0.232904202,-0.867411435,0.097022695
12,66,8714250,3739360,6240.54,17.01,117,0.23,0,0,0,0,-0.196790175,-1.094689531,-0.232904202,-0.710348644,0.009826128
13,90,8681250,3742360,25083.13,25.69,86,0.25,0,0,0,0,-0.196790175,-0.633682916,-0.232904202,1.520166489,0.097022695
14,91,8684250,3742360,22526.68,59.76,86,0.25,0,0,0,0,-0.196790175,1.175821159,-0.232904202,1.217543527,0.097022695
15,92,8687250,3742360,19861.39,65.35,86,0.25,0,0,0,0,-0.196790175,1.472713668,-0.232904202,0.902036493,0.097022695
16,93,8690250,3742360,17306.03,25.33,86,0.25,0,0,0,0,-0.196790175,-0.652803006,-0.232904202,0.59954256,0.097022695
17,94,8693250,3742360,14917.18,81.18,86,0.25,0,0,0,0,-0.196790175,2.313466516,-0.232904202,0.316759457,0.097022695
18,95,8696250,3742360,12788.51,52.52,86,0.25,0,0,0,0,-0.196790175,0.791294904,-0.232904202,0.064775486,0.097022695
19,96,8699250,3742360,10664.21,28.77,86,0.25,0,0,0,0,-0.196790175,-0.470099924,-0.232904202,-0.186691181,0.097022695
20,97,8702250,3742360,7794.42,49.13,86,0.25,177,116,11.63,7.62,-0.067195873,0.61124739,-0.153319964,-0.526406157,0.097022695
21,98,8705250,3742360,5077.45,34.18,86,0.25,177,116,11.63,7.62,-0.067195873,-0.18276746,-0.153319964,-0.848030876,0.097022695
22,99,8708250,3742360,2727.41,47.97,86,0.25,0,0,0,0,-0.196790175,0.549638211,-0.232904202,-1.126219797,0.097022695
23,100,8711250,3742360,2058.75,41.62,117,0.23,177,116,19.65,12.88,0.022171823,0.212381067,-0.098383862,-1.20537326,0.009826128
24,101,8714250,3742360,4363.27,8.48,117,0.23,331,218,148.29,97.67,1.45562075,-1.547729442,0.787173559,-0.932572826,0.009826128
25,102,8717250,3742360,7199.84,32.88,117,0.23,137,521,6.37,24.22,-0.125808601,-0.251812229,0.020052524,-0.596790308,0.009826128
26,123,8675250,3745360,26555.36,28.11,86,0.25,0,0,0,0,-0.196790175,-0.505153422,-0.232904202,1.694443555,0.097022695
27,124,8678250,3745360,24494.72,23.59,86,0.25,0,0,0,0,-0.196790175,-0.745216775,-0.232904202,1.45051272,0.097022695
28,125,8681250,3745360,22644.99,45.76,86,0.25,0,0,0,0,-0.196790175,0.432262103,-0.232904202,1.231548621,0.097022695
29,126,8684250,3745360,20841.3,57.24,86,0.25,0,0,0,0,-0.196790175,1.041980529,-0.232904202,1.018034563,0.097022695
30,127,8687250,3745360,18573.05,60.36,86,0.25,0,0,0,0,-0.196790175,1.207687976,-0.232904202,0.749527636,0.097022695
31,128,8690250,3745360,15820.07,36.81,86,0.25,0,0,0,0,-0.196790175,-0.04308458,-0.232904202,0.423640189,0.097022695
32,129,8693250,3745360,13164.28,49.01,86,0.25,0,0,0,0,-0.196790175,0.604874026,-0.232904202,0.109257729,0.097022695
33,130,8696250,3745360,10692.15,42.31,86,0.25,0,0,0,0,-0.196790175,0.249027907,-0.232904202,-0.183383748,0.097022695
34,131,8699250,3745360,8564.21,40.54,86,0.25,0,0,0,0,-0.196790175,0.155020797,-0.232904202,-0.435281304,0.097022695
35,132,8702250,3745360,7042.44,62.92,86,0.25,0,0,0,0,-0.196790175,1.343653061,-0.232904202,-0.61542273,0.097022695
36,133,8705250,3745360,4342.56,52.12,86,0.25,0,0,0,0,-0.196790175,0.77005036,-0.232904202,-0.935024398,0.097022695
37,134,8708250,3745360,1373.1,42.64,86,0.25,0,0,0,0,-0.196790175,0.266554656,-0.232904202,-1.286537935,0.097022695
38,135,8711250,3745360,1527.13,28.16,117,0.23,0,0,0,0,-0.196790175,-0.502497854,-0.232904202,-1.268304442,0.009826128
39,136,8714250,3745360,4139.05,49.33,117,0.23,0,0,0,0,-0.196790175,0.621869662,-0.232904202,-0.959115148,0.009826128
40,137,8717250,3745360,4722.23,91.36,117,0.23,137,521,6.37,24.22,-0.125808601,2.854140173,0.020052524,-0.890080487,0.009826128
41,138,8720250,3745360,3734.85,18.33,117,0.23,137,521,34.81,132.38,0.191101283,-1.024582535,1.149689164,-1.006962828,0.009826128
42,158,8675250,3748360,24393.47,9.28,169,0.29,0,0,0,0,-0.196790175,-1.505240353,-0.232904202,1.438527125,0.271415828
43,159,8678250,3748360,22313.2,39.71,169,0.29,0,0,0,0,-0.196790175,0.110938367,-0.232904202,1.192272565,0.271415828
44,160,8681250,3748360,20265.31,30.29,169,0.29,0,0,0,0,-0.196790175,-0.389370655,-0.232904202,0.949851027,0.271415828
45,161,8684250,3748360,18479.36,13.82,169,0.29,0,0,0,0,-0.196790175,-1.264114774,-0.232904202,0.738436965,0.271415828
46,162,8687250,3748360,16599.89,40.01,169,0.29,0,0,0,0,-0.196790175,0.126871776,-0.232904202,0.515952355,0.271415828
47,163,8690250,3748360,14420.98,19.13,169,0.29,0,0,0,0,-0.196790175,-0.982093446,-0.232904202,0.258021162,0.271415828
48,164,8693250,3748360,11919.5,31.88,169,0.29,0,0,0,0,-0.196790175,-0.304923591,-0.232904202,-0.038094659,0.271415828
49,165,8696250,3748360,9115.82,46.99,169,0.29,0,0,0,0,-0.196790175,0.497589077,-0.232904202,-0.369983782,0.271415828
50,166,8699250,3748360,6490.13,35.22,169,0.29,177,116,11.98,7.85,-0.063295787,-0.127531644,-0.150917815,-0.680803116,0.271415828
51,167,8702250,3748360,4375.56,37.94,169,0.29,177,116,11.98,7.85,-0.063295787,0.016931258,-0.150917815,-0.931117982,0.271415828
52,168,8705250,3748360,3067.29,44.24,169,0.29,34,66,5.27,10.23,-0.138066016,0.351532834,-0.126060796,-1.085986077,0.271415828
53,169,8708250,3748360,3600.38,14.07,117,0.23,198,524,112.37,297.39,1.055360446,-1.250836933,2.873074353,-1.022880883,0.009826128
54,170,8711250,3748360,3740.36,15.82,117,0.23,198,524,54.84,145.12,0.41429766,-1.157892051,1.282747326,-1.006310575,0.009826128
55,171,8714250,3748360,5746.12,63.77,117,0.23,0,0,0,0,-0.196790175,1.388797718,-0.232904202,-0.768876229,0.009826128
56,172,8717250,3748360,2983.26,24.3,117,0.23,137,521,7.94,30.21,-0.108313928,-0.707507708,0.082612837,-1.095933234,0.009826128
57,173,8720250,3748360,741.23,22.93,117,0.23,28,0,11.32,0,-0.070650235,-0.780270273,-0.232904202,-1.361336336,0.009826128
58,174,8723250,3748360,1680.04,34.01,117,0.23,115,0,9.25,0,-0.093716461,-0.191796391,-0.232904202,-1.250203529,0.009826128
59,191,8669250,3751360,26847.41,48.67,15,0.01,0,0,0,0,-0.196790175,0.586816164,-0.232904202,1.729015339,-0.949336105
60,192,8672250,3751360,24455.17,43.57,169,0.29,0,0,0,0,-0.196790175,0.315948222,-0.232904202,1.44583094,0.271415828
61,193,8675250,3751360,22210.97,23.93,169,0.29,0,0,0,0,-0.196790175,-0.727158912,-0.232904202,1.180170961,0.271415828
62,194,8678250,3751360,20164.3,84.1,169,0.29,0,0,0,0,-0.196790175,2.46855169,-0.232904202,0.937893843,0.271415828
63,195,8681250,3751360,18071.25,41.89,169,0.29,0,0,0,0,-0.196790175,0.226721135,-0.232904202,0.690126434,0.271415828
64,196,8684250,3751360,16042.88,34.91,169,0.29,0,0,0,0,-0.196790175,-0.143996166,-0.232904202,0.450015601,0.271415828
65,197,8687250,3751360,14358.9,35.13,169,0.29,0,0,0,0,-0.196790175,-0.132311667,-0.232904202,0.250672364,0.271415828
66,198,8690250,3751360,12359.31,24.58,169,0.29,0,0,0,0,-0.196790175,-0.692636527,-0.232904202,0.0139684,0.271415828
67,199,8693250,3751360,10342.68,49.75,169,0.29,0,0,0,0,-0.196790175,0.644176434,-0.232904202,-0.224752696,0.271415828
68,200,8696250,3751360,7759.45,36.88,169,0.29,0,0,0,0,-0.196790175,-0.039366785,-0.232904202,-0.530545775,0.271415828
69,201,8699250,3751360,5375.68,53.13,169,0.29,0,0,0,0,-0.196790175,0.823692835,-0.232904202,-0.812727527,0.271415828
70,202,8702250,3751360,2433.44,59.21,169,0.29,34,66,5.09,9.88,-0.140071775,1.146609911,-0.12971624,-1.161018863,0.271415828
