"","x","y"
"155",8699000,3734110
"156",8699500,3734110
"157",8700000,3734110
"158",8700500,3734110
"159",8701000,3734110
"160",8701500,3734110
"161",8702000,3734110
"162",8702500,3734110
"163",8703000,3734110
"164",8703500,3734110
"165",8704000,3734110
"166",8704500,3734110
"167",8705000,3734110
"168",8705500,3734110
"361",8696500,3734610
"362",8697000,3734610
"363",8697500,3734610
"364",8698000,3734610
"365",8698500,3734610
"366",8699000,3734610
"367",8699500,3734610
"368",8700000,3734610
"369",8700500,3734610
"370",8701000,3734610
"371",8701500,3734610
"372",8702000,3734610
"373",8702500,3734610
"374",8703000,3734610
"375",8703500,3734610
"376",8704000,3734610
"377",8704500,3734610
"378",8705000,3734610
"379",8705500,3734610
"380",8706000,3734610
"381",8706500,3734610
"382",8707000,3734610
"383",8707500,3734610
"384",8708000,3734610
"568",8694500,3735110
"569",8695000,3735110
"570",8695500,3735110
"571",8696000,3735110
"572",8696500,3735110
"573",8697000,3735110
"574",8697500,3735110
"575",8698000,3735110
"576",8698500,3735110
"577",8699000,3735110
"578",8699500,3735110
"579",8700000,3735110
"580",8700500,3735110
"581",8701000,3735110
"582",8701500,3735110
"583",8702000,3735110
"584",8702500,3735110
"585",8703000,3735110
"586",8703500,3735110
"587",8704000,3735110
"588",8704500,3735110
"589",8705000,3735110
"590",8705500,3735110
"591",8706000,3735110
"592",8706500,3735110
"593",8707000,3735110
"594",8707500,3735110
"595",8708000,3735110
"596",8708500,3735110
"597",8709000,3735110
"598",8709500,3735110
"776",8693000,3735610
"777",8693500,3735610
"778",8694000,3735610
"779",8694500,3735610
"780",8695000,3735610
"781",8695500,3735610
"782",8696000,3735610
"783",8696500,3735610
"784",8697000,3735610
"785",8697500,3735610
"786",8698000,3735610
"787",8698500,3735610
"788",8699000,3735610
"789",8699500,3735610
"790",8700000,3735610
"791",8700500,3735610
"792",8701000,3735610
"793",8701500,3735610
"794",8702000,3735610
"795",8702500,3735610
"796",8703000,3735610
"797",8703500,3735610
"798",8704000,3735610
"799",8704500,3735610
"800",8705000,3735610
"801",8705500,3735610
"802",8706000,3735610
"803",8706500,3735610
"804",8707000,3735610
"805",8707500,3735610
"806",8708000,3735610
"807",8708500,3735610
"808",8709000,3735610
"809",8709500,3735610
"810",8710000,3735610
"811",8710500,3735610
"812",8711000,3735610
"985",8692000,3736110
"986",8692500,3736110
"987",8693000,3736110
"988",8693500,3736110
"989",8694000,3736110
"990",8694500,3736110
"991",8695000,3736110
"992",8695500,3736110
"993",8696000,3736110
"994",8696500,3736110
"995",8697000,3736110
"996",8697500,3736110
"997",8698000,3736110
"998",8698500,3736110
"999",8699000,3736110
"1000",8699500,3736110
"1001",8700000,3736110
"1002",8700500,3736110
"1003",8701000,3736110
"1004",8701500,3736110
"1005",8702000,3736110
"1006",8702500,3736110
"1007",8703000,3736110
"1008",8703500,3736110
"1009",8704000,3736110
"1010",8704500,3736110
"1011",8705000,3736110
"1012",8705500,3736110
"1013",8706000,3736110
"1014",8706500,3736110
"1015",8707000,3736110
"1016",8707500,3736110
"1017",8708000,3736110
"1018",8708500,3736110
"1019",8709000,3736110
"1020",8709500,3736110
"1021",8710000,3736110
"1022",8710500,3736110
"1023",8711000,3736110
"1024",8711500,3736110
"1025",8712000,3736110
"1194",8691000,3736610
"1195",8691500,3736610
"1196",8692000,3736610
"1197",8692500,3736610
"1198",8693000,3736610
"1199",8693500,3736610
"1200",8694000,3736610
