"","x","y"
"1",8696500,3735610
"2",8697000,3735610
"3",8698500,3735610
"4",8699000,3735610
"5",8699500,3735610
"6",8700000,3735610
"7",8700500,3735610
"8",8701000,3735610
"9",8701500,3735610
"10",8702000,3735610
"11",8702500,3735610
"12",8703000,3735610
"13",8703500,3735610
"14",8704000,3735610
"15",8704500,3735610
"16",8705000,3735610
"17",8705500,3735610
"18",8706000,3735610
"19",8706500,3735610
"20",8707000,3735610
"21",8695500,3736110
"22",8696000,3736110
"23",8696500,3736110
"24",8697000,3736110
"25",8699000,3736110
"26",8699500,3736110
"27",8700000,3736110
"28",8700500,3736110
"29",8701000,3736110
"30",8701500,3736110
"31",8702000,3736110
"32",8702500,3736110
"33",8703000,3736110
"34",8703500,3736110
"35",8704500,3736110
"36",8705000,3736110
"37",8705500,3736110
"38",8706000,3736110
"39",8706500,3736110
"40",8707000,3736110
"41",8707500,3736110
"42",8708000,3736110
"43",8708500,3736110
"44",8709000,3736110
"45",8694000,3736610
"46",8694500,3736610
"47",8695000,3736610
"48",8695500,3736610
"49",8696000,3736610
"50",8696500,3736610
"51",8698500,3736610
"52",8699000,3736610
"53",8699500,3736610
"54",8700500,3736610
"55",8701000,3736610
"56",8701500,3736610
"57",8702000,3736610
"58",8702500,3736610
"59",8703000,3736610
"60",8704000,3736610
"61",8704500,3736610
"62",8705000,3736610
"63",8705500,3736610
"64",8706000,3736610
"65",8706500,3736610
"66",8707000,3736610
"67",8707500,3736610
"68",8708000,3736610
"69",8708500,3736610
"70",8709000,3736610
"71",8709500,3736610
"72",8710000,3736610
"73",8710500,3736610
"74",8692500,3737110
"75",8693000,3737110
"76",8693500,3737110
"77",8694000,3737110
"78",8694500,3737110
"79",8695000,3737110
"80",8695500,3737110
"81",8696000,3737110
"82",8697000,3737110
"83",8697500,3737110
"84",8698000,3737110
"85",8698500,3737110
"86",8699000,3737110
"87",8699500,3737110
"88",8700000,3737110
"89",8700500,3737110
"90",8701000,3737110
"91",8701500,3737110
"92",8702000,3737110
"93",8703500,3737110
"94",8704000,3737110
"95",8704500,3737110
"96",8705000,3737110
"97",8705500,3737110
"98",8706000,3737110
"99",8706500,3737110
"100",8707000,3737110
"101",8707500,3737110
"102",8708000,3737110
"103",8708500,3737110
"104",8709000,3737110
"105",8709500,3737110
"106",8710000,3737110
"107",8710500,3737110
"108",8711000,3737110
"109",8711500,3737110
"110",8691000,3737610
"111",8691500,3737610
"112",8692000,3737610
"113",8692500,3737610
"114",8693000,3737610
"115",8693500,3737610
"116",8694000,3737610
"117",8694500,3737610
"118",8695000,3737610
"119",8695500,3737610
"120",8696000,3737610
"121",8697500,3737610
"122",8698000,3737610
"123",8698500,3737610
"124",8699000,3737610
"125",8699500,3737610
"126",8700000,3737610
"127",8700500,3737610
"128",8703500,3737610
"129",8704000,3737610
"130",8704500,3737610
"131",8705000,3737610
"132",8705500,3737610
"133",8706000,3737610
"134",8706500,3737610
"135",8707000,3737610
"136",8707500,3737610
"137",8708000,3737610
"138",8708500,3737610
"139",8709000,3737610
"140",8709500,3737610
"141",8710000,3737610
"142",8710500,3737610
"143",8711000,3737610
"144",8711500,3737610
"145",8712000,3737610
"146",8712500,3737610
"147",8690000,3738110
"148",8690500,3738110
"149",8691000,3738110
"150",8691500,3738110
"151",8692000,3738110
"152",8692500,3738110
"153",8693000,3738110
"154",8693500,3738110
"155",8694000,3738110
"156",8694500,3738110
"157",8695000,3738110
"158",8695500,3738110
"159",8696500,3738110
"160",8697000,3738110
"161",8697500,3738110
"162",8698000,3738110
"163",8698500,3738110
"164",8699000,3738110
"165",8699500,3738110
"166",8700000,3738110
"167",8700500,3738110
"168",8701000,3738110
"169",8701500,3738110
"170",8702000,3738110
"171",8704000,3738110
"172",8704500,3738110
"173",8705000,3738110
"174",8705500,3738110
"175",8706000,3738110
"176",8706500,3738110
"177",8707000,3738110
"178",8707500,3738110
"179",8708000,3738110
"180",8708500,3738110
"181",8709000,3738110
"182",8709500,3738110
"183",8710000,3738110
"184",8710500,3738110
"185",8711000,3738110
"186",8711500,3738110
"187",8712000,3738110
"188",8712500,3738110
"189",8713000,3738110
"190",8713500,3738110
"191",8688500,3738610
"192",8689000,3738610
"193",8689500,3738610
"194",8690000,3738610
"195",8690500,3738610
"196",8691000,3738610
"197",8691500,3738610
"198",8692000,3738610
"199",8692500,3738610
"200",8693000,3738610
"201",8693500,3738610
"202",8694000,3738610
"203",8694500,3738610
"204",8695000,3738610
"205",8695500,3738610
"206",8697500,3738610
"207",8698000,3738610
"208",8698500,3738610
"209",8699000,3738610
"210",8699500,3738610
"211",8700000,3738610
"212",8700500,3738610
"213",8701000,3738610
"214",8701500,3738610
"215",8702000,3738610
"216",8702500,3738610
"217",8703500,3738610
"218",8704000,3738610
"219",8704500,3738610
"220",8705000,3738610
"221",8705500,3738610
"222",8706000,3738610
"223",8706500,3738610
"224",8707000,3738610
"225",8707500,3738610
"226",8708000,3738610
"227",8708500,3738610
"228",8709000,3738610
"229",8709500,3738610
"230",8710000,3738610
"231",8710500,3738610
"232",8711000,3738610
"233",8711500,3738610
"234",8712000,3738610
"235",8712500,3738610
"236",8713000,3738610
"237",8713500,3738610
"238",8714000,3738610
"239",8714500,3738610
"240",8687500,3739110
"241",8688000,3739110
"242",8688500,3739110
"243",8689000,3739110
"244",8689500,3739110
"245",8690000,3739110
"246",8690500,3739110
"247",8691000,3739110
"248",8691500,3739110
"249",8692000,3739110
"250",8692500,3739110
"251",8693000,3739110
"252",8693500,3739110
"253",8694000,3739110
"254",8694500,3739110
"255",8695000,3739110
"256",8697500,3739110
"257",8698000,3739110
"258",8698500,3739110
"259",8699000,3739110
"260",8699500,3739110
"261",8700000,3739110
"262",8700500,3739110
"263",8701000,3739110
"264",8701500,3739110
"265",8702000,3739110
"266",8702500,3739110
"267",8703000,3739110
"268",8703500,3739110
"269",8704000,3739110
"270",8704500,3739110
"271",8705000,3739110
"272",8705500,3739110
"273",8706000,3739110
"274",8706500,3739110
"275",8707000,3739110
"276",8707500,3739110
"277",8708000,3739110
"278",8708500,3739110
"279",8709000,3739110
"280",8709500,3739110
"281",8710000,3739110
"282",8710500,3739110
"283",8711000,3739110
"284",8711500,3739110
"285",8712000,3739110
"286",8712500,3739110
"287",8713000,3739110
"288",8713500,3739110
"289",8714000,3739110
"290",8714500,3739110
"291",8715000,3739110
"292",8686000,3739610
"293",8686500,3739610
"294",8687000,3739610
"295",8687500,3739610
"296",8688000,3739610
"297",8688500,3739610
"298",8689000,3739610
"299",8689500,3739610
"300",8690000,3739610
"301",8690500,3739610
"302",8691000,3739610
"303",8691500,3739610
"304",8692000,3739610
"305",8692500,3739610
"306",8693000,3739610
"307",8693500,3739610
"308",8694000,3739610
"309",8694500,3739610
"310",8695000,3739610
"311",8695500,3739610
"312",8696000,3739610
"313",8696500,3739610
"314",8697500,3739610
"315",8698000,3739610
"316",8698500,3739610
"317",8699000,3739610
"318",8699500,3739610
"319",8700000,3739610
"320",8700500,3739610
"321",8701000,3739610
"322",8701500,3739610
"323",8702000,3739610
"324",8702500,3739610
"325",8703000,3739610
"326",8705000,3739610
"327",8705500,3739610
"328",8706000,3739610
"329",8706500,3739610
"330",8707000,3739610
"331",8707500,3739610
"332",8708000,3739610
"333",8708500,3739610
"334",8709000,3739610
"335",8709500,3739610
"336",8710000,3739610
"337",8710500,3739610
"338",8711000,3739610
"339",8711500,3739610
"340",8712000,3739610
"341",8712500,3739610
"342",8713000,3739610
"343",8713500,3739610
"344",8714000,3739610
"345",8714500,3739610
"346",8715000,3739610
"347",8715500,3739610
"348",8716000,3739610
"349",8684500,3740110
"350",8685000,3740110
"351",8685500,3740110
"352",8686000,3740110
"353",8686500,3740110
"354",8687000,3740110
"355",8687500,3740110
"356",8688000,3740110
"357",8688500,3740110
"358",8689000,3740110
"359",8689500,3740110
"360",8690000,3740110
"361",8690500,3740110
"362",8691000,3740110
"363",8691500,3740110
"364",8692000,3740110
"365",8692500,3740110
"366",8693000,3740110
"367",8693500,3740110
"368",8694000,3740110
"369",8694500,3740110
"370",8695000,3740110
"371",8695500,3740110
"372",8696000,3740110
"373",8696500,3740110
"374",8697000,3740110
"375",8697500,3740110
"376",8698000,3740110
"377",8698500,3740110
"378",8699000,3740110
"379",8699500,3740110
"380",8700000,3740110
"381",8700500,3740110
"382",8701000,3740110
"383",8701500,3740110
"384",8702000,3740110
"385",8702500,3740110
"386",8703000,3740110
"387",8703500,3740110
"388",8704500,3740110
"389",8705000,3740110
"390",8705500,3740110
"391",8706000,3740110
"392",8706500,3740110
"393",8707000,3740110
"394",8707500,3740110
"395",8708000,3740110
"396",8708500,3740110
"397",8709000,3740110
"398",8709500,3740110
"399",8710000,3740110
"400",8710500,3740110
"401",8711000,3740110
"402",8711500,3740110
"403",8712000,3740110
"404",8712500,3740110
"405",8713000,3740110
"406",8713500,3740110
"407",8714000,3740110
"408",8714500,3740110
"409",8715000,3740110
"410",8715500,3740110
"411",8716000,3740110
"412",8716500,3740110
"413",8683500,3740610
"414",8684000,3740610
"415",8684500,3740610
"416",8685000,3740610
"417",8685500,3740610
"418",8686000,3740610
"419",8686500,3740610
"420",8687000,3740610
"421",8687500,3740610
"422",8688000,3740610
"423",8688500,3740610
"424",8689000,3740610
"425",8689500,3740610
"426",8690000,3740610
"427",8690500,3740610
"428",8691000,3740610
"429",8691500,3740610
"430",8692000,3740610
"431",8692500,3740610
"432",8693000,3740610
"433",8693500,3740610
"434",8694000,3740610
"435",8694500,3740610
"436",8695000,3740610
"437",8695500,3740610
"438",8696000,3740610
"439",8696500,3740610
"440",8697500,3740610
"441",8698000,3740610
"442",8698500,3740610
"443",8699000,3740610
"444",8699500,3740610
"445",8700000,3740610
"446",8700500,3740610
"447",8701000,3740610
"448",8701500,3740610
"449",8702000,3740610
"450",8702500,3740610
"451",8703000,3740610
"452",8703500,3740610
"453",8704000,3740610
"454",8704500,3740610
"455",8705000,3740610
"456",8705500,3740610
"457",8706000,3740610
"458",8706500,3740610
"459",8707000,3740610
"460",8707500,3740610
"461",8708000,3740610
"462",8708500,3740610
"463",8709000,3740610
"464",8709500,3740610
"465",8710000,3740610
"466",8710500,3740610
"467",8711000,3740610
"468",8711500,3740610
"469",8712000,3740610
"470",8712500,3740610
"471",8713000,3740610
"472",8713500,3740610
"473",8714000,3740610
"474",8714500,3740610
"475",8715000,3740610
"476",8715500,3740610
"477",8716000,3740610
"478",8716500,3740610
"479",8717000,3740610
"480",8682000,3741110
"481",8683000,3741110
"482",8683500,3741110
"483",8684000,3741110
"484",8684500,3741110
"485",8685000,3741110
"486",8685500,3741110
"487",8686000,3741110
"488",8686500,3741110
"489",8687000,3741110
"490",8687500,3741110
"491",8688000,3741110
"492",8688500,3741110
"493",8689000,3741110
"494",8689500,3741110
"495",8690000,3741110
"496",8690500,3741110
"497",8691000,3741110
"498",8691500,3741110
"499",8692000,3741110
"500",8692500,3741110
"501",8693000,3741110
"502",8693500,3741110
"503",8694000,3741110
"504",8694500,3741110
"505",8695000,3741110
"506",8695500,3741110
"507",8696000,3741110
"508",8696500,3741110
"509",8697500,3741110
"510",8698000,3741110
"511",8698500,3741110
"512",8699000,3741110
"513",8699500,3741110
"514",8700000,3741110
"515",8700500,3741110
"516",8701000,3741110
"517",8701500,3741110
"518",8702000,3741110
"519",8702500,3741110
"520",8703000,3741110
"521",8703500,3741110
"522",8704000,3741110
"523",8704500,3741110
"524",8705000,3741110
"525",8705500,3741110
"526",8706000,3741110
"527",8706500,3741110
"528",8707000,3741110
"529",8707500,3741110
"530",8708000,3741110
"531",8708500,3741110
"532",8709000,3741110
"533",8709500,3741110
"534",8710000,3741110
"535",8710500,3741110
"536",8711000,3741110
"537",8711500,3741110
"538",8712000,3741110
"539",8712500,3741110
"540",8713000,3741110
"541",8713500,3741110
"542",8714000,3741110
"543",8714500,3741110
"544",8715000,3741110
"545",8715500,3741110
"546",8716000,3741110
"547",8716500,3741110
"548",8717000,3741110
"549",8717500,3741110
"550",8718000,3741110
"551",8681000,3741610
"552",8681500,3741610
"553",8682000,3741610
"554",8682500,3741610
"555",8683000,3741610
"556",8683500,3741610
"557",8684000,3741610
"558",8684500,3741610
"559",8685000,3741610
"560",8685500,3741610
"561",8686000,3741610
"562",8686500,3741610
"563",8687000,3741610
"564",8687500,3741610
"565",8688000,3741610
"566",8688500,3741610
"567",8689000,3741610
"568",8689500,3741610
"569",8690000,3741610
"570",8690500,3741610
"571",8691000,3741610
"572",8691500,3741610
"573",8692000,3741610
"574",8692500,3741610
"575",8693000,3741610
"576",8693500,3741610
"577",8694000,3741610
"578",8694500,3741610
"579",8695000,3741610
"580",8695500,3741610
"581",8696000,3741610
"582",8696500,3741610
"583",8697000,3741610
"584",8697500,3741610
"585",8698000,3741610
"586",8698500,3741610
"587",8699000,3741610
"588",8699500,3741610
"589",8700000,3741610
"590",8700500,3741610
"591",8701000,3741610
"592",8701500,3741610
"593",8702000,3741610
"594",8702500,3741610
"595",8703000,3741610
"596",8703500,3741610
"597",8704000,3741610
"598",8704500,3741610
"599",8705000,3741610
"600",8705500,3741610
"601",8706000,3741610
"602",8706500,3741610
"603",8707000,3741610
"604",8707500,3741610
"605",8708000,3741610
"606",8708500,3741610
"607",8709000,3741610
"608",8709500,3741610
"609",8710000,3741610
"610",8710500,3741610
"611",8711000,3741610
"612",8711500,3741610
"613",8712000,3741610
"614",8712500,3741610
"615",8713000,3741610
"616",8713500,3741610
"617",8714000,3741610
"618",8714500,3741610
"619",8715000,3741610
"620",8715500,3741610
"621",8716000,3741610
"622",8716500,3741610
"623",8717000,3741610
"624",8717500,3741610
"625",8718000,3741610
"626",8680500,3742110
"627",8681000,3742110
"628",8681500,3742110
"629",8682000,3742110
"630",8682500,3742110
"631",8683000,3742110
"632",8683500,3742110
"633",8684000,3742110
"634",8684500,3742110
"635",8685000,3742110
"636",8685500,3742110
"637",8686000,3742110
"638",8686500,3742110
"639",8687000,3742110
"640",8687500,3742110
"641",8688000,3742110
"642",8688500,3742110
"643",8689000,3742110
"644",8689500,3742110
"645",8690000,3742110
"646",8690500,3742110
"647",8691000,3742110
"648",8691500,3742110
"649",8692000,3742110
"650",8692500,3742110
"651",8693000,3742110
"652",8693500,3742110
"653",8694000,3742110
"654",8694500,3742110
"655",8695000,3742110
"656",8695500,3742110
"657",8696000,3742110
"658",8696500,3742110
"659",8697000,3742110
"660",8697500,3742110
"661",8698000,3742110
"662",8698500,3742110
"663",8699000,3742110
"664",8699500,3742110
"665",8700000,3742110
"666",8700500,3742110
"667",8701000,3742110
"668",8701500,3742110
"669",8702000,3742110
"670",8702500,3742110
"671",8703000,3742110
"672",8703500,3742110
"673",8704000,3742110
"674",8704500,3742110
"675",8705000,3742110
"676",8705500,3742110
"677",8706000,3742110
"678",8706500,3742110
"679",8707000,3742110
"680",8707500,3742110
"681",8708000,3742110
"682",8708500,3742110
"683",8709000,3742110
"684",8709500,3742110
"685",8710000,3742110
"686",8710500,3742110
"687",8711000,3742110
"688",8711500,3742110
"689",8712000,3742110
"690",8712500,3742110
"691",8713000,3742110
"692",8713500,3742110
"693",8714000,3742110
"694",8714500,3742110
"695",8715000,3742110
"696",8715500,3742110
"697",8716000,3742110
"698",8716500,3742110
"699",8717000,3742110
"700",8717500,3742110
"701",8718000,3742110
"702",8718500,3742110
"703",8719000,3742110
"704",8679500,3742610
"705",8680000,3742610
"706",8680500,3742610
"707",8681000,3742610
"708",8681500,3742610
"709",8682000,3742610
"710",8682500,3742610
"711",8683000,3742610
"712",8683500,3742610
"713",8684000,3742610
"714",8684500,3742610
"715",8685000,3742610
"716",8685500,3742610
"717",8686000,3742610
"718",8686500,3742610
"719",8687000,3742610
"720",8687500,3742610
"721",8688000,3742610
"722",8688500,3742610
"723",8689000,3742610
"724",8689500,3742610
"725",8690000,3742610
"726",8690500,3742610
"727",8691000,3742610
"728",8691500,3742610
"729",8692000,3742610
"730",8692500,3742610
"731",8693000,3742610
"732",8693500,3742610
"733",8694000,3742610
"734",8694500,3742610
"735",8695000,3742610
"736",8695500,3742610
"737",8696000,3742610
"738",8696500,3742610
"739",8697000,3742610
"740",8697500,3742610
"741",8698000,3742610
"742",8698500,3742610
"743",8699000,3742610
"744",8699500,3742610
"745",8700000,3742610
"746",8700500,3742610
"747",8701000,3742610
"748",8701500,3742610
"749",8702000,3742610
"750",8702500,3742610
"751",8703000,3742610
"752",8703500,3742610
"753",8704000,3742610
"754",8704500,3742610
"755",8705000,3742610
"756",8705500,3742610
"757",8706000,3742610
"758",8706500,3742610
"759",8707000,3742610
"760",8707500,3742610
"761",8708000,3742610
"762",8708500,3742610
"763",8709000,3742610
"764",8709500,3742610
"765",8710000,3742610
"766",8710500,3742610
"767",8711000,3742610
"768",8711500,3742610
"769",8712000,3742610
"770",8712500,3742610
"771",8713000,3742610
"772",8713500,3742610
"773",8714000,3742610
"774",8714500,3742610
"775",8715000,3742610
"776",8715500,3742610
"777",8716000,3742610
"778",8716500,3742610
"779",8717000,3742610
"780",8717500,3742610
"781",8718000,3742610
"782",8718500,3742610
"783",8719000,3742610
"784",8679000,3743110
"785",8679500,3743110
"786",8680000,3743110
"787",8680500,3743110
"788",8681000,3743110
"789",8681500,3743110
"790",8682000,3743110
"791",8682500,3743110
"792",8683000,3743110
"793",8683500,3743110
"794",8684000,3743110
"795",8684500,3743110
"796",8685000,3743110
"797",8685500,3743110
"798",8686000,3743110
"799",8686500,3743110
"800",8687000,3743110
"801",8687500,3743110
"802",8688000,3743110
"803",8688500,3743110
"804",8689000,3743110
"805",8689500,3743110
"806",8690000,3743110
"807",8690500,3743110
"808",8691000,3743110
"809",8691500,3743110
"810",8692000,3743110
"811",8692500,3743110
"812",8693000,3743110
"813",8693500,3743110
"814",8694000,3743110
"815",8694500,3743110
"816",8695000,3743110
"817",8695500,3743110
"818",8696000,3743110
"819",8696500,3743110
"820",8697000,3743110
"821",8697500,3743110
"822",8698000,3743110
"823",8698500,3743110
"824",8699000,3743110
"825",8699500,3743110
"826",8700000,3743110
"827",8700500,3743110
"828",8701000,3743110
"829",8701500,3743110
"830",8702000,3743110
"831",8702500,3743110
"832",8703000,3743110
"833",8703500,3743110
"834",8704000,3743110
"835",8704500,3743110
"836",8705000,3743110
"837",8705500,3743110
"838",8706000,3743110
"839",8706500,3743110
"840",8707000,3743110
"841",8707500,3743110
"842",8708000,3743110
"843",8708500,3743110
"844",8709000,3743110
"845",8709500,3743110
"846",8710000,3743110
"847",8710500,3743110
"848",8711000,3743110
"849",8711500,3743110
"850",8712000,3743110
"851",8712500,3743110
"852",8713000,3743110
"853",8713500,3743110
"854",8714000,3743110
"855",8714500,3743110
"856",8715000,3743110
"857",8715500,3743110
"858",8716000,3743110
"859",8716500,3743110
"860",8717000,3743110
"861",8717500,3743110
"862",8718000,3743110
"863",8718500,3743110
"864",8719000,3743110
"865",8719500,3743110
"866",8678000,3743610
"867",8678500,3743610
"868",8679000,3743610
"869",8679500,3743610
"870",8680000,3743610
"871",8680500,3743610
"872",8681000,3743610
"873",8681500,3743610
"874",8682000,3743610
"875",8682500,3743610
"876",8683000,3743610
"877",8683500,3743610
"878",8684000,3743610
"879",8684500,3743610
