"","FID","Field1","WPreyD","Rgd","Alt","StdAlt","StdRgd","StdWPreyD","D.0"
"1",76,783,0.25,35.9025993,4828,0.100705181494799,-0.233861745812711,0.111978978601875,4.49158394357688e-05
"2",77,784,0.25,49.3558998,5076,0.587984285299003,0.398474148546146,0.111978978601875,4.49158394357688e-05
"3",80,787,0.25,67.520401,5318,1.0634743785273,1.25224725142781,0.111978978601875,4.49158394357688e-05
"4",81,788,0.25,34.2490997,5311,1.04972053285541,-0.311580008954756,0.111978978601875,4.49158394357688e-05
"5",82,789,0.25,55.1271019,5007,0.452410663676059,0.669733847341189,0.111978978601875,4.49158394357688e-05
"6",83,790,0.25,67.6608963,4884,0.210735946869942,1.25885085187357,0.111978978601875,4.49158394357688e-05
"7",84,791,0.25,87.5214005,4867,0.177333750238202,2.19233997491255,0.111978978601875,4.49158394357688e-05
"8",85,792,0.25,26.9444008,4754,-0.0446926156080689,-0.654917564817248,0.111978978601875,4.49158394357688e-05
"9",86,793,0.25,85.2291031,4626,-0.29619150789411,2.08459675408986,0.111978978601875,4.49158394357688e-05
"10",87,794,0.25,59.1016006,4573,-0.400327767981299,0.856544376853453,0.111978978601875,4.49158394357688e-05
"11",88,795,0.25,42.801899,4700,-0.150793710791242,0.0904211204065705,0.111978978601875,4.49158394357688e-05
"12",89,796,0.25,48.7545013,4897,0.236278803117743,0.370207043506488,0.111978978601875,4.49158394357688e-05
"13",90,797,0.25,39.3191986,5111,0.656753513658468,-0.0732737641474425,0.111978978601875,4.49158394357688e-05
"14",91,798,0.25,77.8331985,5340,1.10670075063896,1.7369723217185,0.111978978601875,4.49158394357688e-05
"15",92,799,0.25,38.7168999,5329,1.08508756458313,-0.101583180646069,0.111978978601875,4.49158394357688e-05
"16",93,800,0.25,23.0216999,5183,0.798221640569366,-0.839293479255775,0.111978978601875,4.49158394357688e-05
"17",94,801,0.25,59.9416008,5291,1.01042383093571,0.896026307531254,0.111978978601875,4.49158394357688e-05
"18",95,802,0.25,30.1329994,5229,0.888604054984662,-0.505046137543146,0.111978978601875,4.49158394357688e-05
"19",96,803,0.25,66.0151978,5082,0.599773295874911,1.18149925827448,0.111978978601875,4.49158394357688e-05
"20",97,804,0.25,61.9193001,4760,-0.0329036050321607,0.988982698094178,0.111978978601875,4.49158394357688e-05
"21",113,992,0.25,43.4971008,4735,-0.0820244824317781,0.123097195096412,0.111978978601875,4.49158394357688e-05
"22",114,993,0.25,78.4601974,4828,0.100705181494799,1.76644270411229,0.111978978601875,4.49158394357688e-05
"23",115,994,0.25,64.7687988,5010,0.458305168964013,1.12291565446714,0.111978978601875,4.49158394357688e-05
"24",116,995,0.25,148.6880035,5308,1.04382602756745,5.06731021830361,0.111978978601875,4.49158394357688e-05
"25",120,999,0.25,55.3263016,5289,1.00649416074374,0.679096688857701,0.111978978601875,4.49158394357688e-05
"26",121,1000,0.25,43.7835999,5142,0.717663401633993,0.136563308087162,0.111978978601875,4.49158394357688e-05
"27",122,1001,0.25,58.3951988,5225,0.880744714600723,0.82334187654658,0.111978978601875,4.49158394357688e-05
"28",123,1002,0.25,55.8121986,5138,0.709804061250054,0.701934959218293,0.111978978601875,4.49158394357688e-05
"29",124,1003,0.25,45.2879982,4895,0.232349132925773,0.207273469099505,0.111978978601875,4.49158394357688e-05
"30",125,1004,0.25,32.4037018,4794,0.033900788231319,-0.398317931113296,0.111978978601875,4.49158394357688e-05
"31",126,1005,0.25,46.3140984,4863,0.169474409854263,0.255502525431727,0.111978978601875,4.49158394357688e-05
"32",127,1006,0.25,69.0652008,4913,0.267716164653498,1.32485637534788,0.111978978601875,4.49158394357688e-05
"33",128,1007,0.25,65.6125031,5096,0.627280987218697,1.16257168631709,0.111978978601875,4.49158394357688e-05
"34",129,1008,0.25,83.0962982,5261,0.951478778056172,1.98435004556399,0.111978978601875,4.49158394357688e-05
"35",131,1010,0.25,76.1708984,5499,1.41910953090053,1.65884041494765,0.111978978601875,4.49158394357688e-05
"36",132,1011,0.25,31.4006004,5191,0.813940321337243,-0.445465991241859,0.111978978601875,4.49158394357688e-05
"37",133,1012,0.25,48.0415993,5125,0.684261205002253,0.336699018932131,0.111978978601875,4.49158394357688e-05
"38",134,1013,0.25,48.3632011,5069,0.57423043962711,0.351815039111002,0.111978978601875,4.49158394357688e-05
"39",135,1014,0.25,50.5964012,4911,0.263786494461528,0.456780551664281,0.111978978601875,4.49158394357688e-05
"40",136,1015,0.25,40.7062988,4760,-0.0329036050321607,-0.00807688212341072,0.111978978601875,4.49158394357688e-05
"41",137,1016,0.25,34.2929001,4560,-0.4258706242291,-0.309521289972951,0.111978978601875,4.49158394357688e-05
"42",138,1017,0.25,52.0191994,4436,-0.669510176131202,0.523655321338025,0.111978978601875,4.49158394357688e-05
"43",139,1018,0.25,50.8821983,4649,-0.251000300686462,0.470213669049391,0.111978978601875,4.49158394357688e-05
"44",140,1019,0.25,97.9745026,4589,-0.368890406445544,2.68365968231282,0.111978978601875,4.49158394357688e-05
"45",153,1200,0.25,29.2233009,4281,-0.97405961600883,-0.547804047737333,0.111978978601875,4.49158394357688e-05
"46",154,1201,0.25,36.0694008,4476,-0.590916772291814,-0.226021693798493,0.111978978601875,4.49158394357688e-05
"47",155,1202,0.25,35.6090012,4675,-0.19991458819086,-0.247661528040541,0.111978978601875,4.49158394357688e-05
"48",156,1203,0.25,45.3100014,4869,0.181263420430171,0.208307669825993,0.111978978601875,4.49158394357688e-05
"49",157,1204,0.25,58.6856003,5128,0.690155710290207,0.836991411263035,0.111978978601875,4.49158394357688e-05
"50",158,1205,0.25,127.5699997,5482,1.38570733426879,4.07471573786762,0.111978978601875,4.49158394357688e-05
"51",162,1209,0.25,127.4680023,5431,1.28550074437357,4.0699216267756,0.111978978601875,4.49158394357688e-05
