FID,Field1,x,y,WPreyD,Rgd,Alt
76,783,8696500,3735610,0.2500000,35.9025993,4828.0000000
77,784,8697000,3735610,0.2500000,49.3558998,5076.0000000
80,787,8698500,3735610,0.2500000,67.5204010,5318.0000000
81,788,8699000,3735610,0.2500000,34.2490997,5311.0000000
82,789,8699500,3735610,0.2500000,55.1271019,5007.0000000
83,790,8700000,3735610,0.2500000,67.6608963,4884.0000000
84,791,8700500,3735610,0.2500000,87.5214005,4867.0000000
85,792,8701000,3735610,0.2500000,26.9444008,4754.0000000
86,793,8701500,3735610,0.2500000,85.2291031,4626.0000000
87,794,8702000,3735610,0.2500000,59.1016006,4573.0000000
88,795,8702500,3735610,0.2500000,42.8018990,4700.0000000
89,796,8703000,3735610,0.2500000,48.7545013,4897.0000000
90,797,8703500,3735610,0.2500000,39.3191986,5111.0000000
91,798,8704000,3735610,0.2500000,77.8331985,5340.0000000
92,799,8704500,3735610,0.2500000,38.7168999,5329.0000000
93,800,8705000,3735610,0.2500000,23.0216999,5183.0000000
94,801,8705500,3735610,0.2500000,59.9416008,5291.0000000
95,802,8706000,3735610,0.2500000,30.1329994,5229.0000000
96,803,8706500,3735610,0.2500000,66.0151978,5082.0000000
97,804,8707000,3735610,0.2500000,61.9193001,4760.0000000
113,992,8695500,3736110,0.2500000,43.4971008,4735.0000000
114,993,8696000,3736110,0.2500000,78.4601974,4828.0000000
115,994,8696500,3736110,0.2500000,64.7687988,5010.0000000
116,995,8697000,3736110,0.2500000,148.6880035,5308.0000000
120,999,8699000,3736110,0.2500000,55.3263016,5289.0000000
121,1000,8699500,3736110,0.2500000,43.7835999,5142.0000000
122,1001,8700000,3736110,0.2500000,58.3951988,5225.0000000
123,1002,8700500,3736110,0.2500000,55.8121986,5138.0000000
124,1003,8701000,3736110,0.2500000,45.2879982,4895.0000000
125,1004,8701500,3736110,0.2500000,32.4037018,4794.0000000
126,1005,8702000,3736110,0.2500000,46.3140984,4863.0000000
127,1006,8702500,3736110,0.2500000,69.0652008,4913.0000000
128,1007,8703000,3736110,0.2500000,65.6125031,5096.0000000
129,1008,8703500,3736110,0.2500000,83.0962982,5261.0000000
131,1010,8704500,3736110,0.2500000,76.1708984,5499.0000000
132,1011,8705000,3736110,0.2500000,31.4006004,5191.0000000
133,1012,8705500,3736110,0.2500000,48.0415993,5125.0000000
134,1013,8706000,3736110,0.2500000,48.3632011,5069.0000000
135,1014,8706500,3736110,0.2500000,50.5964012,4911.0000000
136,1015,8707000,3736110,0.2500000,40.7062988,4760.0000000
137,1016,8707500,3736110,0.2500000,34.2929001,4560.0000000
138,1017,8708000,3736110,0.2500000,52.0191994,4436.0000000
139,1018,8708500,3736110,0.2500000,50.8821983,4649.0000000
140,1019,8709000,3736110,0.2500000,97.9745026,4589.0000000
153,1200,8694000,3736610,0.2500000,29.2233009,4281.0000000
154,1201,8694500,3736610,0.2500000,36.0694008,4476.0000000
155,1202,8695000,3736610,0.2500000,35.6090012,4675.0000000
156,1203,8695500,3736610,0.2500000,45.3100014,4869.0000000
157,1204,8696000,3736610,0.2500000,58.6856003,5128.0000000
158,1205,8696500,3736610,0.2500000,127.5699997,5482.0000000
162,1209,8698500,3736610,0.2500000,127.4680023,5431.0000000
163,1210,8699000,3736610,0.2500000,118.9919968,5297.0000000
164,1211,8699500,3736610,0.2500000,59.5483017,5413.0000000
166,1213,8700500,3736610,0.2500000,52.5833015,5425.0000000
167,1214,8701000,3736610,0.2500000,43.4165993,5181.0000000
168,1215,8701500,3736610,0.2500000,42.3083992,5029.0000000
169,1216,8702000,3736610,0.2500000,33.1661987,5203.0000000
170,1217,8702500,3736610,0.2500000,49.0407982,5154.0000000
171,1218,8703000,3736610,0.2500000,91.0768967,5307.0000000
173,1220,8704000,3736610,0.2500000,43.2204018,5489.0000000
174,1221,8704500,3736610,0.2500000,19.6977005,5252.0000000
175,1222,8705000,3736610,0.2500000,20.4206009,5205.0000000
176,1223,8705500,3736610,0.2500000,41.2188988,5104.0000000
177,1224,8706000,3736610,0.2500000,70.0286026,5070.0000000
178,1225,8706500,3736610,0.2500000,33.6006012,4861.0000000
179,1226,8707000,3736610,0.2500000,45.4091988,4596.0000000
180,1227,8707500,3736610,0.2500000,24.3925991,4460.0000000
181,1228,8708000,3736610,0.2500000,38.9743004,4335.0000000
182,1229,8708500,3736610,0.2500000,90.6035004,4355.0000000
183,1230,8709000,3736610,0.2500000,168.6529999,4342.0000000
184,1231,8709500,3736610,0.2500000,36.9864998,4228.0000000
185,1232,8710000,3736610,0.2495290,41.2673988,4439.0000000
186,1233,8710500,3736610,0.2488960,30.1329994,4587.0000000
197,1408,8692500,3737110,0.2500000,33.8231010,4091.0000000
198,1409,8693000,3737110,0.2500000,30.0000000,4242.0000000
199,1410,8693500,3737110,0.2500000,45.4091988,4348.0000000
200,1411,8694000,3737110,0.2500000,56.7626991,4406.0000000
201,1412,8694500,3737110,0.2500000,66.5581970,4587.0000000
202,1413,8695000,3737110,0.2500000,44.5646019,4766.0000000
203,1414,8695500,3737110,0.2500000,48.7955017,4987.0000000
204,1415,8696000,3737110,0.2500000,57.0614014,5253.0000000
206,1417,8697000,3737110,0.2500000,39.9625015,5343.0000000
207,1418,8697500,3737110,0.2500000,9.7979603,5276.0000000
208,1419,8698000,3737110,0.2500000,30.7409000,5265.0000000
209,1420,8698500,3737110,0.2500000,24.0207996,5099.0000000
210,1421,8699000,3737110,0.2500000,15.9687004,5059.0000000
211,1422,8699500,3737110,0.2500000,32.3573990,5289.0000000
