FID,Field1,x,y,WPreyD,Rgd,Alt,LargeLS,Small_LS,LS_Biomass,Village_LC
0,783,8696500,3735610,0.2500000,35.9025993,4828.0000000,0.1282940,0.0840800,28.0883999,79442000.0000000
1,784,8697000,3735610,0.2500000,49.3558998,5076.0000000,0.5466460,0.3582540,119.6819992,77989400.0000000
2,787,8698500,3735610,0.2500000,67.5204010,5318.0000000,1.7682300,1.1588399,387.1319885,72897000.0000000
3,788,8699000,3735610,0.2500000,34.2490997,5311.0000000,1.7682300,1.1588399,387.1319885,71246304.0000000
4,789,8699500,3735610,0.2500000,55.1271019,5007.0000000,1.7682300,1.1588399,387.1319885,69407296.0000000
5,790,8700000,3735610,0.2500000,67.6608963,4884.0000000,1.7124500,1.1222800,374.9200134,66951000.0000000
6,791,8700500,3735610,0.2500000,87.5214005,4867.0000000,1.5060600,0.9870260,329.7340088,64874500.0000000
7,792,8701000,3735610,0.2500000,26.9444008,4754.0000000,1.1992700,0.7859650,262.5660095,62491300.0000000
8,793,8701500,3735610,0.2500000,85.2291031,4626.0000000,1.0542500,0.6909180,230.8150024,60160600.0000000
9,794,8702000,3735610,0.2500000,59.1016006,4573.0000000,1.0542500,0.6909180,230.8150024,58376100.0000000
10,795,8702500,3735610,0.2500000,42.8018990,4700.0000000,1.2104300,0.7932760,265.0090027,56794400.0000000
11,796,8703000,3735610,0.2500000,48.7545013,4897.0000000,1.4893301,0.9760590,326.0710144,55634300.0000000
12,797,8703500,3735610,0.2500000,39.3191986,5111.0000000,1.7180300,1.1259400,376.1419983,53944900.0000000
13,798,8704000,3735610,0.2500000,77.8331985,5340.0000000,1.7682300,1.1588399,387.1319885,52578000.0000000
14,799,8704500,3735610,0.2500000,38.7168999,5329.0000000,1.6770600,1.0991200,367.1730042,50768700.0000000
15,800,8705000,3735610,0.2500000,23.0216999,5183.0000000,1.7812600,1.1690000,390.0419922,49325700.0000000
16,801,8705500,3735610,0.2500000,59.9416008,5291.0000000,2.0730700,1.3627200,454.0169983,47882400.0000000
17,802,8706000,3735610,0.2500000,30.1329994,5229.0000000,2.4221699,1.5941401,530.5399780,46203600.0000000
18,803,8706500,3735610,0.2500000,66.0151978,5082.0000000,2.7594199,1.8172899,604.4509888,44743600.0000000
19,804,8707000,3735610,0.2500000,61.9193001,4760.0000000,2.9253199,1.9266500,640.7949829,43203400.0000000
20,992,8695500,3736110,0.2500000,43.4971008,4735.0000000,0.0000000,0.0000000,0.0000000,81802496.0000000
21,993,8696000,3736110,0.2500000,78.4601974,4828.0000000,0.0000000,0.0000000,0.0000000,79395600.0000000
22,994,8696500,3736110,0.2500000,64.7687988,5010.0000000,0.1171380,0.0767687,25.6459999,77354400.0000000
23,995,8697000,3736110,0.2500000,148.6880035,5308.0000000,0.5076000,0.3326640,111.1330032,75873904.0000000
