sno,x,y,villdist,rugged,WP numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity
25,8696250,3736360,15891.61,62.12,86,0.25,0,0,0,0
26,8699250,3736360,13474.82,46.88,86,0.25,177,116,13.82,9.06
27,8702250,3736360,11209.47,29.45,86,0.25,177,116,6.15,4.03
28,8705250,3736360,9297.94,43.06,86,0.25,177,116,6.15,4.03
29,8708250,3736360,8077.84,42.18,86,0.25,331,218,16.82,11.08
58,8690250,3739360,19150,62.13,86,0.25,0,0,0,0
59,8693250,3739360,17021.93,60.3,86,0.25,0,0,0,0
61,8699250,3739360,11774.89,90.9,86,0.25,0,0,0,0
62,8702250,3739360,9256.12,25.03,86,0.25,177,116,6.15,4.03
64,8708250,3739360,5229.25,49.4,86,0.25,177,116,22.13,14.5
65,8711250,3739360,4913.73,19.13,86,0.25,0,0,0,0
66,8714250,3739360,6240.54,17.01,117,0.23,0,0,0,0
90,8681250,3742360,25083.13,25.69,86,0.25,0,0,0,0
91,8684250,3742360,22526.68,59.76,86,0.25,0,0,0,0
92,8687250,3742360,19861.39,65.35,86,0.25,0,0,0,0
93,8690250,3742360,17306.03,25.33,86,0.25,0,0,0,0
94,8693250,3742360,14917.18,81.18,86,0.25,0,0,0,0
95,8696250,3742360,12788.51,52.52,86,0.25,0,0,0,0
96,8699250,3742360,10664.21,28.77,86,0.25,0,0,0,0
97,8702250,3742360,7794.42,49.13,86,0.25,177,116,11.63,7.62
98,8705250,3742360,5077.45,34.18,86,0.25,177,116,11.63,7.62
99,8708250,3742360,2727.41,47.97,86,0.25,0,0,0,0
100,8711250,3742360,2058.75,41.62,117,0.23,177,116,19.65,12.88
101,8714250,3742360,4363.27,8.48,117,0.23,331,218,148.29,97.67
102,8717250,3742360,7199.84,32.88,117,0.23,137,521,6.37,24.22
123,8675250,3745360,26555.36,28.11,86,0.25,0,0,0,0
124,8678250,3745360,24494.72,23.59,86,0.25,0,0,0,0
125,8681250,3745360,22644.99,45.76,86,0.25,0,0,0,0
126,8684250,3745360,20841.3,57.24,86,0.25,0,0,0,0
127,8687250,3745360,18573.05,60.36,86,0.25,0,0,0,0
128,8690250,3745360,15820.07,36.81,86,0.25,0,0,0,0
129,8693250,3745360,13164.28,49.01,86,0.25,0,0,0,0
130,8696250,3745360,10692.15,42.31,86,0.25,0,0,0,0
131,8699250,3745360,8564.21,40.54,86,0.25,0,0,0,0
132,8702250,3745360,7042.44,62.92,86,0.25,0,0,0,0
133,8705250,3745360,4342.56,52.12,86,0.25,0,0,0,0
134,8708250,3745360,1373.1,42.64,86,0.25,0,0,0,0
135,8711250,3745360,1527.13,28.16,117,0.23,0,0,0,0
136,8714250,3745360,4139.05,49.33,117,0.23,0,0,0,0
137,8717250,3745360,4722.23,91.36,117,0.23,137,521,6.37,24.22
138,8720250,3745360,3734.85,18.33,117,0.23,137,521,34.81,132.38
158,8675250,3748360,24393.47,9.28,169,0.29,0,0,0,0
159,8678250,3748360,22313.2,39.71,169,0.29,0,0,0,0
160,8681250,3748360,20265.31,30.29,169,0.29,0,0,0,0
161,8684250,3748360,18479.36,13.82,169,0.29,0,0,0,0
162,8687250,3748360,16599.89,40.01,169,0.29,0,0,0,0
163,8690250,3748360,14420.98,19.13,169,0.29,0,0,0,0
164,8693250,3748360,11919.5,31.88,169,0.29,0,0,0,0
165,8696250,3748360,9115.82,46.99,169,0.29,0,0,0,0
166,8699250,3748360,6490.13,35.22,169,0.29,177,116,11.98,7.85
167,8702250,3748360,4375.56,37.94,169,0.29,177,116,11.98,7.85
