"sno","LargeLS","Ruggedness","SmallLS","DisFromVill","WildPrey","D.0","lcl.0","ucl.0"
191,-0.196790175,0.586816164,-0.232904202,1.729015339,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
225,-0.196790175,-0.721316662,-0.232904202,1.822368033,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
226,-0.196790175,-0.360159406,-0.232904202,1.536619604,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
261,-0.196790175,-0.717067753,-0.232904202,1.329989126,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
296,-0.196790175,0.2994837,-0.232904202,1.090510422,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
297,-0.196790175,1.435535715,-0.232904202,0.829989156,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
330,-0.196790175,-1.262521433,-0.232904202,1.095865764,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
331,-0.196790175,-0.021840035,-0.232904202,0.869522088,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
332,-0.196790175,0.431199875,-0.232904202,0.590650136,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
333,-0.196790175,-0.465851015,-0.232904202,0.32781935,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
367,-0.196790175,0.220878885,-0.232904202,0.367409103,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
368,-0.196790175,1.987893872,-0.232904202,0.092329925,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
400,-0.196790175,-1.636956529,-0.232904202,0.553404233,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
402,-0.196790175,-0.254467797,-0.232904202,0.117797392,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
403,-0.196790175,0.247434566,-0.232904202,-0.134615101,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
404,-0.196790175,1.361710923,-0.232904202,-0.402248412,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
431,-0.196790175,-1.121776326,-0.232904202,1.357808728,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
432,-0.196790175,-1.316163908,-0.232904202,1.05870154,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
434,-0.196790175,-0.537020239,-0.232904202,0.517222533,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
435,-0.196790175,-0.771772455,-0.232904202,0.292582292,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
438,-0.196790175,-0.266683411,-0.232904202,-0.377617866,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
439,-0.196790175,3.533434482,-0.232904202,-0.636387163,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
440,-0.196790175,0.116780617,-0.232904202,-0.883189806,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
441,0.100730708,-0.172145188,-0.232904202,-1.177418709,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
461,-0.196790175,0.676574364,-0.232904202,1.865371757,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
462,-0.196790175,2.781377608,-0.232904202,1.674636841,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
463,-0.196790175,-0.920484267,-0.232904202,1.514338827,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
466,-0.196790175,-0.202418664,-0.232904202,1.194695727,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
467,-0.196790175,-0.179580778,-0.232904202,0.874686844,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
469,-0.196790175,1.919380216,-0.232904202,0.276397891,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
470,-0.196790175,-0.72237889,-0.232904202,0.015266987,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
471,-0.196790175,0.69516334,-0.232904202,-0.198645998,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
472,-0.196790175,0.377026287,-0.232904202,-0.45046661,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
473,-0.196790175,-0.605533895,-0.232904202,-0.675671505,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
474,-0.196790175,-0.522149058,-0.232904202,-0.862801864,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
475,-0.196790175,1.88326449,-0.232904202,-1.136692544,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
476,-0.196790175,-0.638994052,-0.232904202,-1.227555785,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
494,-0.196790175,0.466784487,-0.232904202,2.072095752,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
495,-0.196790175,1.072785119,-0.232904202,1.816839862,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
496,-0.196790175,-0.986342355,-0.232904202,1.581764755,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
497,-0.196790175,-0.865779565,-0.232904202,1.371919177,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
499,-0.196790175,0.78917045,-0.232904202,1.052672638,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
502,-0.196790175,-0.127531644,-0.232904202,0.733360991,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
503,-0.196790175,0.758896974,-0.232904202,0.401764258,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
505,-0.196790175,0.795543813,-0.232904202,-0.221289007,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
506,-0.196790175,-0.503028968,-0.232904202,-0.486404455,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
507,-0.196790175,0.501837986,-0.232904202,-0.675613501,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
508,-0.196790175,-0.334134839,-0.232904202,-0.951514209,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
509,-0.196790175,0.72012568,-0.232904202,-1.146880004,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
510,-0.196790175,0.170954206,-0.232904202,-1.239602936,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
528,-0.196790175,2.375606808,-0.232904202,2.133659688,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
529,-0.196790175,1.065880642,-0.232904202,1.845058392,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
530,-0.196790175,-0.872152928,-0.232904202,1.570670532,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
531,-0.196790175,1.038793847,-0.232904202,1.314736346,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
532,-0.196790175,0.817319471,-0.232904202,1.08285503,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
533,-0.196790175,-0.669798642,-0.232904202,0.882217941,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
534,-0.196790175,-0.805232613,-0.232904202,0.721503242,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
535,-0.196790175,-0.788768091,-0.232904202,0.610081598,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
537,-0.196790175,-0.752121252,-0.232904202,0.52120471,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
538,-0.196790175,-0.288459069,-0.232904202,0.294771068,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
539,-0.196790175,0.147054093,-0.232904202,-0.050572699,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
540,-0.196790175,2.071278709,-0.232904202,-0.389428264,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
541,-0.196790175,0.843344038,-0.232904202,-0.712781276,-0.949336105,2.17394674123785e-05,6.7601879062529e-06,6.99099566354843e-05
