"sno","LargeLS","Ruggedness","SmallLS","DisFromVill","WildPrey","D.0","lcl.0","ucl.0"
25,-0.196790175,1.301163972,-0.232904202,0.432108825,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
26,-0.042792475,0.491746827,-0.138280423,0.14601829,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
27,-0.128260084,-0.433984198,-0.190814375,-0.122145347,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
28,-0.128260084,0.288861427,-0.190814375,-0.348425099,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
29,-0.009363162,0.24212343,-0.117183289,-0.492855961,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
58,-0.196790175,1.301695085,-0.232904202,0.817824813,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
59,-0.196790175,1.204501294,-0.232904202,0.565911868,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
61,-0.196790175,2.829708947,-0.232904202,-0.055213048,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
62,-0.128260084,-0.668736415,-0.190814375,-0.353375594,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
64,0.049806721,0.625587457,-0.081464379,-0.830061361,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
65,-0.196790175,-0.982093446,-0.232904202,-0.867411435,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
66,-0.196790175,-1.094689531,-0.232904202,-0.710348644,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
90,-0.196790175,-0.633682916,-0.232904202,1.520166489,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
91,-0.196790175,1.175821159,-0.232904202,1.217543527,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
92,-0.196790175,1.472713668,-0.232904202,0.902036493,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
93,-0.196790175,-0.652803006,-0.232904202,0.59954256,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
94,-0.196790175,2.313466516,-0.232904202,0.316759457,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
95,-0.196790175,0.791294904,-0.232904202,0.064775486,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
96,-0.196790175,-0.470099924,-0.232904202,-0.186691181,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
97,-0.067195873,0.61124739,-0.153319964,-0.526406157,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
98,-0.067195873,-0.18276746,-0.153319964,-0.848030876,0.097022695,4.13743081322524e-05,2.14102539450407e-05,7.99539032940375e-05
