#SessionID	ID	Occasion	TrapID
1	W	1	24
1	V	1	24
1	C	1	10
1	C	1	1
1	C	1	10
1	6A	1	21
1	F	1	19
1	G	1	19
1	6A	1	15
1	V	1	11
1	1A	1	5
1	V	1	24
1	W	1	13
1	1A	1	19
1	W	1	7
1	W	1	24
1	V	1	6
1	V	1	18
1	6A	1	22
1	1A	1	20
1	1A	1	5
1	5A	1	25
1	V	1	6
1	C	1	4
1	V	1	6
1	V	1	4
1	V	1	23
1	V	1	7
1	V	1	11
1	V	1	4
1	6A	1	9
1	1A	1	5
1	C	1	4
1	V	1	4
1	C	1	2
1	6A	1	21
1	V	1	5
1	V	1	11
1	W	1	6
1	6A	1	15
1	C	1	4
1	V	1	4
1	V	1	17
1	C	1	4
1	V	1	7
1	W	1	23
1	C	1	4
1	V	1	23
1	1A	1	12
1	6A	1	15
1	10A	1	22
1	C	1	4
1	V	1	17
1	V	1	23
1	6A	1	15
1	V	1	5
1	1A	1	19
1	C	1	4
1	8A	1	25
1	9A	1	25
1	V	1	4
1	11A	1	10
1	12A	1	10
1	F	1	13
1	G	1	13
1	V	1	18
1	6A	1	21
1	W	1	4
1	V	1	4
1	1A	1	19
1	V	1	4
1	1A	1	5
1	8A	1	25
1	U	1	14
1	Z	1	14
1	V	1	5
1	5A	1	25
1	V	1	3
1	6A	1	10
1	W	1	11
1	C	1	3
1	6A	1	8
1	W	1	11
1	V	1	17
1	1A	1	18
1	V	1	23
1	1A	1	13
1	1A	1	13
1	1A	1	13
1	W	1	5
1	W	1	23
1	V	1	11
1	F	1	23
1	C	1	4
1	V	1	4
1	V	1	4
1	V	1	18
1	C	1	4
1	C	1	1
1	6A	1	16
1	V	1	4
1	V	1	17
1	V	1	4
1	W	1	18
1	W	1	17
1	C	1	4
1	A	1	1
1	W	1	17
1	C	1	4
1	C	1	4
1	C	1	4
1	6A	1	16
