sno	x	y	LargeLS	Ruggedness	SmallLS	DisFromVill	WildPrey	StdAlt
25	8696250	3736360	-0.196790175	1.301163972	-0.232904202	0.432108825	1.337654701	0.814934
26	8699250	3736360	-0.042792475	0.491746827	-0.138280423	0.14601829	1.337654701	1.323483
27	8702250	3736360	-0.128260084	-0.433984198	-0.190814375	-0.122145347	1.337654701	0.581789
28	8705250	3736360	-0.128260084	0.288861427	-0.190814375	-0.348425099	1.337654701	0.814605
29	8708250	3736360	-0.009363162	0.24212343	-0.117183289	-0.492855961	1.337654701	-0.644573
58	8690250	3739360	-0.196790175	1.301695085	-0.232904202	0.817824813	1.337654701	-1.332755
59	8693250	3739360	-0.196790175	1.204501294	-0.232904202	0.565911868	1.337654701	-0.888108
61	8699250	3739360	-0.196790175	2.829708947	-0.232904202	-0.055213048	1.337654701	0.125376
62	8702250	3739360	-0.128260084	-0.668736415	-0.190814375	-0.353375594	1.337654701	0.257554
64	8708250	3739360	0.049806721	0.625587457	-0.081464379	-0.830061361	1.337654701	0.376837
65	8711250	3739360	-0.196790175	-0.982093446	-0.232904202	-0.867411435	1.337654701	-0.358203
66	8714250	3739360	-0.196790175	-1.094689531	-0.232904202	-0.710348644	-0.109726215	0.179319
90	8681250	3742360	-0.196790175	-0.633682916	-0.232904202	1.520166489	1.337654701	1.122330
91	8684250	3742360	-0.196790175	1.175821159	-0.232904202	1.217543527	1.337654701	1.258492
92	8687250	3742360	-0.196790175	1.472713668	-0.232904202	0.902036493	1.337654701	0.028393
93	8690250	3742360	-0.196790175	-0.652803006	-0.232904202	0.59954256	1.337654701	-2.160220
94	8693250	3742360	-0.196790175	2.313466516	-0.232904202	0.316759457	1.337654701	-0.297566
95	8696250	3742360	-0.196790175	0.791294904	-0.232904202	0.064775486	1.337654701	0.294639
96	8699250	3742360	-0.196790175	-0.470099924	-0.232904202	-0.186691181	1.337654701	0.649511
97	8702250	3742360	-0.067195873	0.61124739	-0.153319964	-0.526406157	1.337654701	-0.655353
98	8705250	3742360	-0.067195873	-0.18276746	-0.153319964	-0.848030876	1.337654701	0.332196
99	8708250	3742360	-0.196790175	0.549638211	-0.232904202	-1.126219797	1.337654701	-0.338080
100	8711250	3742360	0.022171823	0.212381067	-0.098383862	-1.20537326	-0.109726215	-1.811550
101	8714250	3742360	1.45562075	-1.547729442	0.787173559	-0.932572826	-0.109726215	-1.320742
102	8717250	3742360	-0.125808601	-0.251812229	0.020052524	-0.596790308	-0.109726215	0.456325
123	8675250	3745360	-0.196790175	-0.505153422	-0.232904202	1.694443555	0.37273409	-1.653354
124	8678250	3745360	-0.196790175	-0.745216775	-0.232904202	1.45051272	0.37273409	-1.875883
125	8681250	3745360	-0.196790175	0.432262103	-0.232904202	1.231548621	1.337654701	-1.172691
126	8684250	3745360	-0.196790175	1.041980529	-0.232904202	1.018034563	1.337654701	-0.973284
127	8687250	3745360	-0.196790175	1.207687976	-0.232904202	0.749527636	1.337654701	-1.986398
128	8690250	3745360	-0.196790175	-0.04308458	-0.232904202	0.423640189	1.337654701	-2.073524
129	8693250	3745360	-0.196790175	0.604874026	-0.232904202	0.109257729	1.337654701	-1.871571
130	8696250	3745360	-0.196790175	0.249027907	-0.232904202	-0.183383748	1.337654701	-1.069630
131	8699250	3745360	-0.196790175	0.155020797	-0.232904202	-0.435281304	1.337654701	0.104554
132	8702250	3745360	-0.196790175	1.343653061	-0.232904202	-0.61542273	1.337654701	-0.668331
133	8705250	3745360	-0.196790175	0.77005036	-0.232904202	-0.935024398	1.337654701	0.106423
134	8708250	3745360	-0.196790175	0.266554656	-0.232904202	-1.286537935	1.337654701	-1.703252
135	8711250	3745360	-0.196790175	-0.502497854	-0.232904202	-1.268304442	-0.109726215	-2.723184
136	8714250	3745360	-0.196790175	0.621869662	-0.232904202	-0.959115148	-0.109726215	-2.711931
137	8717250	3745360	-0.125808601	2.854140173	0.020052524	-0.890080487	-0.109726215	-1.863234
138	8720250	3745360	0.191101283	-1.024582535	1.149689164	-1.006962828	-0.109726215	-0.783938
158	8675250	3748360	-0.196790175	-1.505240353	-0.232904202	1.438527125	0.37273409	1.043602
159	8678250	3748360	-0.196790175	0.110938367	-0.232904202	1.192272565	0.37273409	-0.703732
160	8681250	3748360	-0.196790175	-0.389370655	-0.232904202	0.949851027	0.37273409	-0.648844
161	8684250	3748360	-0.196790175	-1.264114774	-0.232904202	0.738436965	0.37273409	-1.729700
