#ID	X	Y	Effort	Covariates	Z
1	8685870	3787160	29	/	N
2	8677180	3786120	31	/	R
3	8690780	3781770	32	/	N
4	8685330	3779670	44	/	R
5	8692910	3772060	27	/	R
6	8693790	3780050	25	/	C
7	8699740	3776300	14	/	N
8	8669630	3783660	15	/	R
9	8652340	3804000	28	/	R
10	8677190	3791860	31	/	R
11	8696720	3778290	19	/	N
12	8698230	3771040	17	/	C
13	8701690	3773120	22	/	R
14	8702100	3758860	21	/	R
15	8664270	3797130	44	/	N
16	8672050	3799160	30	/	N
17	8688110	3774850	29	/	N
18	8692040	3777660	27	/	N
19	8702260	3767680	19	/	C
20	8696530	3764790	22	/	C
21	8646750	3797860	28	/	R
22	8676560	3797110	31	/	N
23	8692720	3772230	20	/	N
24	8690050	3778040	34	/	C
25	8691240	3763180	14	/	N
26	8654850	3799880	44	/	C
27	8675310	3792580	14	/	R
28	8683410	3770510	14	/	C
29	8687880	3787300	44	/	R
30	8700770	3762080	20	/	R
