#ID,X,Y,/,Effort,Topo,Altidute,Rgd
SLT006,632706.0195,4778936.777,/,111,TBD,2120,51.93264771
SLT019,636021.798,4780144.324,/,111,TBD,2267,66.14378357
SLT035,627435.7052,4777608.495,/,113,TBD,2041,44.68780518
SLT037,637807.9759,4786073.048,/,112,TBD,2316,67.19374847
SLT018,630428.78,4777095.25,/,118,TBD,2036,40.98780441
SLT016,645666.9474,4783490.499,/,115,TBD,2105,49.33558655
SLT036,641043.4293,4780209.897,/,116,TBD,1937,74.30342865
SLT101,630316.2736,4781951.277,/,123,TBD,2134,64.39720154
SLT034,625204.5293,4780908.741,/,112,TBD,2178,45.23273087
SLT033,624047.3018,4778150.262,/,119,TBD,2106,65.64297485
SLT024,645765.2428,4780153.863,/,112,TBD,1934,49.0917511
SLT029,649006.9571,4780135.192,/,107,TBD,2032,38.05259705
SLT040,651589.6022,4778486.695,/,114,TBD,2001,72.49137878
SLT009,649597.8285,4776822.679,/,103,TBD,1868,106.193222
SLT022,645967.0394,4776619.471,/,114,TBD,1953,71.88880157
SLT032,617691.9321,4784643.799,/,65,TBD,2324,46.84015274
SLT011,619235.8337,4776852.336,/,110,TBD,2102,48.07286072
SLT015,629351.8749,4791345.998,/,102,TBD,2366,59.42221832
SLT021,614960.1243,4777460.891,/,107,TBD,2049,44.83302307
SLT014,603942.7749,4774276.924,/,104,TBD,1863,27.12932014
SLT104,635280.1868,4777026.569,/,115,TBD,1986,66.603302
SLT003,613134.2732,4786335.972,/,110,TBD,2163,33.54101944
SLT012,634034.2081,4793235.649,/,109,TBD,2212,90.10549164
SLT020,631573.4078,4790375.53,/,103,TBD,2367,37.24245071
SLT023,647597.3403,4797696.358,/,111,TBD,2150,19.23538399
SLT028,648263.3037,4794253.146,/,91,TBD,2130,29.27456284
SLT027,643920.6003,4791126.276,/,72,TBD,2223,61.07372665
SLT017,635780.6376,4794024.795,/,89,TBD,2240,51.12729263
SLT001,641240.8144,4790506.631,/,104,TBD,2421,64.05466461
SLT030,632284.2264,4781261.591,/,122,TBD,2202,35.08560944
SLT007,606967.7549,4789725.138,/,86,TBD,2203,25.3771553
SLT031,607668.2519,4787844.478,/,102,TBD,2244,48.53864288
SLT103,610347.4634,4787656.451,/,102,TBD,2234,75.31268311
SLT039,609563.3585,4789688.804,/,102,TBD,2240,57.33236313
SLT008,659047.476,4773985.54,/,102,TBD,1921,54.30469513
SLT025,665714.0264,4776415.626,/,102,TBD,1942,91.94020081
SLT002,631345.0936,4781344.489,/,103,TBD,2202,81.67619324
SLT005,628775.2306,4780165.522,/,102,TBD,2000,44.84417343
SLT026,589888.8505,4783075.06,/,102,TBD,1684,14.6287384
SLT102,630425.0274,4782682.149,/,102,TBD,2190,58.65151215
