#ID,X,Y,Effort,/,Rgd,Topo,Altidute,Water,Level
SLT111,331359,4815237,90,/,414.365784,saddle,2015,No,Moderately_rugged
SLT025,326021,4817231,90,/,331.781555,saddle,2051,No,Moderately_rugged
SLT009,333573,4810778,90,/,470.700531,saddle,1916,No,Moderately_rugged
SLT124,338924,4809177,90,/,539.825928,ridge,1980,No,Highly_Tugged
SLT030,335585,4817904,90,/,400.85907,ridge,1859,No,Moderately_rugged
SLT115,331492,4821321,90,/,445.924896,valley,1912,Yes,Moderately_rugged
SLT017,327096,4824073,90,/,472.634094,ridge,1987,No,Moderately_rugged
SLT006,320998,4820897,90,/,304.840942,saddle,2107,No,Moderately_rugged
SLT108,320767,4826092,90,/,456.446045,ridge,1991,No,Moderately_rugged
SLT102,316004,4828181,90,/,426.031677,saddle,2107,No,Moderately_rugged
SLT123,314020,4832528,90,/,442.592377,saddle,2237,No,Moderately_rugged
SLT018,305003,4835618,90,/,544.665039,saddle,2141,No,Highly_Tugged
SLT021,308561,4834308,90,/,510.050964,ridge,2142,No,Highly_Tugged
SLT122,298879,4831507,90,/,337.247681,saddle,2049,No,Moderately_rugged
SLT022,308571,4827073,90,/,410.03537,saddle,2174,No,Moderately_rugged
SLT128,289789,4834963,90,/,349.38089,saddle,2266,No,Moderately_rugged
SLT105,294141,4834761,90,/,354.626556,saddle,1949,No,Moderately_rugged
SLT003,299863,4836279,90,/,479.733246,saddle,1990,No,Moderately_rugged
SLT029,302122,4824616,90,/,421.870819,saddle,2003,No,Moderately_rugged
SLT012,282652,4836505,90,/,407.657959,ridge,1841,No,Moderately_rugged
